policy,total_value,energy_j,useful_tasks,j_per_task,raw_bits,transmitted_bits,bw_saving,median_latency_min,p95_latency_min,oom_count,energy_violation_count,on_count,pre_count,down_count,drop_count,on_pct,pre_pct,down_pct,drop_pct,residual_energy_j,min_energy_j,energy_overrun_j,mean_decision_ms,lambda_energy_final,lambda_bandwidth_final,lambda_energy_mean,lambda_bandwidth_mean,seed,horizon_h,variant,normalized_value
Heuristic-TVD,3882.4923318618953,149952.72988789337,255,588.0499211289936,141896346105.7374,42621549426.45103,69.96289855505471,1.0218073941260324,76.23202046570702,0,0,168,0,92,0,64.61538461538461,0.0,35.38461538461539,0.0,47.27011210666029,47.27011210666029,0.0,0.016473846559305318,,,,,0,24,Full,1.0
Heuristic-TVD,3707.687173587154,149988.27086005345,255,588.1892974904057,141896346105.7374,46748126961.900055,67.05473520293145,1.144565976654216,727.6005784624597,0,1,158,0,102,0,60.76923076923077,0.0,39.23076923076923,0.0,11.729139946674024,11.729139946674024,0.0,0.015350768808275461,,,,,0,24,No prefill/decode split,0.9549760454540521
Heuristic-TVD,3882.4923318618953,149952.72988789337,255,588.0499211289936,141896346105.7374,42621549426.45103,69.96289855505471,1.0218073941260324,76.23202046570702,0,0,168,0,92,0,64.61538461538461,0.0,35.38461538461539,0.0,47.27011210666029,47.27011210666029,0.0,0.011651539870609458,,,,,0,24,No PRE action,1.0
Heuristic-TVD,3950.892861546158,149571.7581421866,258,579.7354966751418,138183152908.2682,39288217251.275154,71.56801214591164,0.9832486245364028,79.30292719235098,0,0,169,0,91,0,65.0,0.0,35.0,0.0,428.24185781330334,428.24185781330334,0.0,0.015881539058262624,,,,,1,24,Full,1.0
Heuristic-TVD,3789.9570883062393,149738.6528477866,257,582.640672559481,138183152908.2682,42823544795.97364,69.0095761352314,1.0389123766081108,111.53873491587875,0,1,161,0,99,0,61.92307692307692,0.0,38.07692307692308,0.0,261.3471522133045,261.3471522133045,0.0,0.0156242304141275,,,,,1,24,No prefill/decode split,0.9592659738242212
Heuristic-TVD,3950.892861546158,149571.7581421866,258,579.7354966751418,138183152908.2682,39288217251.275154,71.56801214591164,0.9832486245364028,79.30292719235098,0,0,169,0,91,0,65.0,0.0,35.0,0.0,428.24185781330334,428.24185781330334,0.0,0.011390770445219599,,,,,1,24,No PRE action,1.0
Heuristic-TVD,3832.618429904604,149875.4171290666,254,590.0606973585299,143551818802.25815,42153956555.43225,70.63502440641376,0.7668729075820011,111.32618025258745,0,0,167,0,93,0,64.23076923076923,0.0,35.76923076923077,0.0,124.58287093335002,124.58287093335002,0.0,0.015535768314013975,,,,,2,24,Full,1.0
Heuristic-TVD,3686.7256644377812,149636.9355066666,253,591.4503379710143,143551818802.25815,45307109647.63311,68.43849835853113,0.9832486245364028,754.0107986472566,0,0,160,0,100,0,61.53846153846154,0.0,38.46153846153846,0.0,363.0644933333697,363.0644933333697,0.0,0.014491153258579569,,,,,2,24,No prefill/decode split,0.961933918511566
Heuristic-TVD,3832.618429904604,149875.4171290666,254,590.0606973585299,143551818802.25815,42153956555.43225,70.63502440641376,0.7668729075820011,111.32618025258745,0,0,167,0,93,0,64.23076923076923,0.0,35.76923076923077,0.0,124.58287093335002,124.58287093335002,0.0,0.010643077369492788,,,,,2,24,No PRE action,1.0
Heuristic-TVD,3985.6767826770415,149921.3306329599,257,583.3514810621008,145714942829.99643,48351527943.053314,66.81772850196677,1.0025280093312177,67.95993451600984,0,0,165,0,95,0,63.46153846153846,0.0,36.53846153846154,0.0,78.66936704002819,78.66936704002819,0.0,0.016281537402671978,,,,,3,24,Full,1.0
