policy,total_value,energy_j,useful_tasks,j_per_task,raw_bits,transmitted_bits,bw_saving,median_latency_min,p95_latency_min,oom_count,energy_violation_count,on_count,pre_count,down_count,drop_count,on_pct,pre_pct,down_pct,drop_pct,residual_energy_j,min_energy_j,energy_overrun_j,mean_decision_ms,lambda_energy_final,lambda_bandwidth_final,lambda_energy_mean,lambda_bandwidth_mean,seed,variant,normalized_value
Heuristic-TVD,3882.4923318618953,149952.72988789337,255,588.0499211289936,141896346105.7374,42621549426.45103,69.96289855505471,1.0218073941260324,76.23202046570702,0,0,168,0,92,0,64.61538461538461,0.0,35.38461538461539,0.0,47.27011210666029,47.27011210666029,0.0,0.01452730682033759,,,,,0,Heuristic-TVD,0.964243801051405
Adaptive-TVD,4026.46335670341,149669.84209802662,256,584.6478206954165,141896346105.7374,47783321455.584045,66.32519246127933,0.7175219706068219,70.84213514766138,0,0,170,0,90,0,65.38461538461539,0.0,34.61538461538461,0.0,330.1579019733599,330.1579019733599,0.0,0.014403462074159715,0.5105160236844795,0.0,1.1060496249892773,0.018035502958579884,0,Adaptive-TVD,1.0
Heuristic-TVD,3950.892861546158,149571.7581421866,258,579.7354966751418,138183152908.2682,39288217251.275154,71.56801214591164,0.9832486245364028,79.30292719235098,0,0,169,0,91,0,65.0,0.0,35.0,0.0,428.24185781330334,428.24185781330334,0.0,0.01376923061728191,,,,,1,Heuristic-TVD,0.9528816325229449
Adaptive-TVD,4146.257758254169,149106.16831232002,260,573.4852627396924,138183152908.2682,49856205188.97087,63.92020001015064,0.7193005514126904,59.521557832546115,0,0,161,0,99,0,61.92307692307692,0.0,38.07692307692308,0.0,893.8316876800719,893.8316876800719,0.0,0.01461346244188742,0.0077899485390779954,0.0,1.344467835497307,0.018035502958579884,1,Adaptive-TVD,1.0
Heuristic-TVD,3832.618429904604,149875.4171290666,254,590.0606973585299,143551818802.25815,42153956555.43225,70.63502440641376,0.7668729075820011,111.32618025258745,0,0,167,0,93,0,64.23076923076923,0.0,35.76923076923077,0.0,124.58287093335002,124.58287093335002,0.0,0.014180770421472307,,,,,2,Heuristic-TVD,0.960978174200237
Adaptive-TVD,3988.2471140348807,149880.12625237324,257,583.1911527329698,143551818802.25815,45036412048.59972,68.62706970600134,0.7193005514126924,65.50469660809404,0,0,163,0,97,0,62.69230769230769,0.0,37.30769230769231,0.0,119.87374762670413,119.87374762670413,0.0,0.014314998854668094,0.3768588536425872,0.0,1.3971972412133822,0.018035502958579884,2,Adaptive-TVD,1.0
Heuristic-TVD,3985.6767826770415,149921.3306329599,257,583.3514810621008,145714942829.99643,48351527943.053314,66.81772850196677,1.0025280093312177,67.95993451600984,0,0,165,0,95,0,63.46153846153846,0.0,36.53846153846154,0.0,78.66936704002819,78.66936704002819,0.0,0.013917308667889582,,,,,3,Heuristic-TVD,0.9758444819796653
Adaptive-TVD,4084.3360353807843,149289.00088106657,257,580.8910540119322,145714942829.99643,52107296402.39721,64.24025196702712,0.9764344490892352,71.76298182240028,0,0,162,0,98,0,62.30769230769231,0.0,37.69230769230769,0.0,710.9991189332673,710.9991189332673,0.0,0.013968845283111127,0.0815440292472216,0.0,1.9845550442695683,0.018035502958579884,3,Adaptive-TVD,1.0
Heuristic-TVD,3949.284705215973,149888.1055233066,259,578.718554144041,143751290598.0329,39489818184.92574,72.52906876825902,1.0777419947470057,722.8285196627825,0,0,167,0,93,0,64.23076923076923,0.0,35.76923076923077,0.0,111.89447669336346,111.89447669336346,0.0,0.01418846066091926,,,,,4,Heuristic-TVD,0.9556305305632316
Adaptive-TVD,4132.648109189579,149688.8113844266,260,575.72619763241,143751290598.0329,49346726948.115814,65.67215032099956,1.079645548510598,60.7379180511336,0,0,160,0,100,0,61.53846153846154,0.0,38.46153846153846,0.0,311.18861557336095,311.18861557336095,0.0,0.013954615412960546,0.15192261938617868,0.0,1.3699618656827786,0.018035502958579884,4,Adaptive-TVD,1.0
Heuristic-TVD,3937.198584043962,149787.40836597333,259,578.3297620307851,145966253614.7567,52641966177.041336,63.935522853126514,0.9832486245364028,61.70983823207116,0,0,166,0,94,0,63.84615384615385,0.0,36.15384615384615,0.0,212.5916340266608,212.5916340266608,0.0,0.01452730883521816,,,,,5,Heuristic-TVD,0.9705374777095032
Adaptive-TVD,4056.7197810185194,148830.9770170667,260,572.4268346810258,145966253614.7567,51609114256.938545,64.64311922867559,0.9832486245364028,50.33193309209585,0,0,161,0,99,0,61.92307692307692,0.0,38.07692307692308,0.0,1169.0229829332634,1169.0229829332634,0.0,0.01393307701129323,0.0,0.0,1.217596698274849,0.018035502958579884,5,Adaptive-TVD,1.0
Heuristic-TVD,3955.5243328804604,149715.49098826657,257,582.550548592477,136511684238.74997,41220788579.558304,69.80420481263285,1.1445659766542198,75.21373487501121,0,0,166,0,94,0,63.84615384615385,0.0,36.15384615384615,0.0,284.50901173332545,284.50901173332545,0.0,0.01441192412480282,,,,,6,Heuristic-TVD,0.976063107445146
Adaptive-TVD,4052.529291096844,149415.56301301328,259,576.89406568731,136511684238.74997,48782382881.613785,64.26504943247451,1.0218073941260513,61.96235503907005,0,0,160,0,100,0,61.53846153846154,0.0,38.46153846153846,0.0,584.4369869867173,584.4369869867173,0.0,0.01383230712515517,0.3372213844088159,0.0,1.521696606245084,0.018035502958579884,6,Adaptive-TVD,1.0
Heuristic-TVD,4106.0933977159775,149688.3898704532,258,580.1875576374155,139247165035.33093,47359515028.27628,65.98888385536623,1.0218073941260437,59.41933453479224,0,0,169,1,90,0,65.0,0.38461538461538464,34.61538461538461,0.0,311.6101295466981,311.6101295466981,0.0,0.013609616367970236,,,,,7,Heuristic-TVD,0.9871120921545501
Adaptive-TVD,4159.703270125775,149834.49966431994,258,580.7538746679068,139247165035.33093,48131635794.62514,65.4343872764571,1.000107804039059,58.34892690603609,0,0,155,0,105,0,59.61538461538461,0.0,40.38461538461539,0.0,165.50033568009258,165.50033568009258,0.0,0.01370461630778244,0.08434007799826992,0.0,1.4647962361441138,0.018035502958579884,7,Adaptive-TVD,1.0
Heuristic-TVD,3837.9870690586226,149719.9602573866,257,582.567938744695,147675122448.8456,61385932170.2414,58.43177161305191,1.1445659766542424,75.53968085804092,0,0,155,0,105,0,59.61538461538461,0.0,40.38461538461539,0.0,280.0397426132629,280.0397426132629,0.0,0.014484231808007909,,,,,8,Heuristic-TVD,0.9389191821748483
Adaptive-TVD,4087.6649896198433,149941.14229834662,260,576.696701147487,147675122448.8456,63367961385.334816,57.08961649428437,1.1445659766541212,67.88318093123827,0,0,149,0,111,0,57.30769230769231,0.0,42.69230769230769,0.0,58.857701653285915,58.857701653285915,0.0,0.014214230647597175,0.11131060561624073,0.0,1.2566604774906693,0.018035502958579884,8,Adaptive-TVD,1.0
Heuristic-TVD,4021.416388909796,149539.87916986653,257,581.8672341239943,145047080871.27374,40555041023.97266,72.04008465364124,0.9832486245364028,70.43976702267629,0,0,172,1,87,0,66.15384615384616,0.38461538461538464,33.46153846153846,0.0,460.12083013330334,460.12083013330334,0.0,0.014359229624880334,,,,,9,Heuristic-TVD,0.9583358006867014
Adaptive-TVD,4196.249775943073,149835.66875829332,258,580.7584060398966,145047080871.27374,45692575250.99077,68.49810766509532,0.9832486245364028,59.188460856156865,0,0,172,0,88,0,66.15384615384616,0.0,33.84615384615385,0.0,164.33124170675057,164.33124170675057,0.0,0.013781923469370948,0.32789625958684243,0.0,0.9222521039791188,0.018035502958579884,9,Adaptive-TVD,1.0
