policy,total_value,energy_j,useful_tasks,j_per_task,raw_bits,transmitted_bits,bw_saving,median_latency_min,p95_latency_min,oom_count,energy_violation_count,on_count,pre_count,down_count,drop_count,on_pct,pre_pct,down_pct,drop_pct,residual_energy_j,min_energy_j,energy_overrun_j,mean_decision_ms,lambda_energy_final,lambda_bandwidth_final,lambda_energy_mean,lambda_bandwidth_mean,seed,variant,decode_mean_est,normalized_value
Deadline-Energy,3747.037656026518,58049.70900277334,260,223.26811154912824,141896346105.7374,105779966974.30736,25.452649150329123,15.415767963420148,71.4423141796664,0,0,65,0,195,0,25.0,0.0,75.0,0.0,91950.2909972267,91950.2909972267,0.0,0.009163462024074621,,,,,0,known,171,0.9651114118825784
Priority-Aware,3617.477246642703,71807.82541055996,259,277.2502911604632,141896346105.7374,89315751073.92041,37.05563707231426,20.631380747971463,110.33912208829416,0,0,78,12,170,0,30.0,4.615384615384615,65.38461538461539,0.0,78192.17458944001,78192.17458944001,0.0,0.0013646155891295236,,,,,0,known,171,0.9317409894040664
Heuristic-TVD,3882.4923318618953,149952.72988789337,255,588.0499211289936,141896346105.7374,42621549426.45103,69.96289855505471,1.0218073941260324,76.23202046570702,0,0,168,0,92,0,64.61538461538461,0.0,35.38461538461539,0.0,47.27011210666029,47.27011210666029,0.0,0.013361537891726654,,,,,0,known,171,1.0
Deadline-Energy,3747.037656026518,58049.70900277334,260,223.26811154912824,141896346105.7374,105779966974.30736,25.452649150329123,15.415767963420148,71.4423141796664,0,0,65,0,195,0,25.0,0.0,75.0,0.0,91950.2909972267,91950.2909972267,0.0,0.009344231959683104,,,,,0,expected-only,171,0.9849695132310228
Priority-Aware,3617.477246642703,71807.82541055996,259,277.2502911604632,141896346105.7374,89315751073.92041,37.05563707231426,20.631380747971463,110.33912208829416,0,0,78,12,170,0,30.0,4.615384615384615,65.38461538461539,0.0,78192.17458944001,78192.17458944001,0.0,0.001351537447100362,,,,,0,expected-only,171,0.9509124620136316
Heuristic-TVD,3804.216887622244,149384.86726058676,254,588.1293986637274,141896346105.7374,48276644222.80509,65.97752828192587,1.079645548510598,727.2933025048802,0,0,157,0,103,0,60.38461538461539,0.0,39.61538461538461,0.0,615.1327394133332,615.1327394133332,0.0,0.012836923549632328,,,,,0,expected-only,171,1.0
Deadline-Energy,3747.037656026518,58049.70900277334,260,223.26811154912824,141896346105.7374,105779966974.30736,25.452649150329123,15.415767963420148,71.4423141796664,0,0,65,0,195,0,25.0,0.0,75.0,0.0,91950.2909972267,91950.2909972267,0.0,0.008978461398958014,,,,,0,noisy-estimate,171,0.969942425725924
Priority-Aware,3617.477246642703,71807.82541055996,259,277.2502911604632,141896346105.7374,89315751073.92041,37.05563707231426,20.631380747971463,110.33912208829416,0,0,78,12,170,0,30.0,4.615384615384615,65.38461538461539,0.0,78192.17458944001,78192.17458944001,0.0,0.0013796140242797823,,,,,0,noisy-estimate,171,0.9364049624571289
Heuristic-TVD,3863.15471582982,149589.87267957334,254,588.9365066124934,141896346105.7374,41937916123.17055,70.4446821400746,0.9832486245364028,724.3631319727727,0,1,168,0,92,0,64.61538461538461,0.0,35.38461538461539,0.0,410.12732042666266,410.12732042666266,0.0,0.013844232195809197,,,,,0,noisy-estimate,171,1.0
Deadline-Energy,3751.5517368579794,23741.914275200004,260,91.31505490461541,141896346105.7374,105779966974.30736,25.452649150329123,15.415767963420148,71.4423141796664,0,0,65,0,195,0,25.0,0.0,75.0,0.0,126258.08572480024,126258.08572480024,0.0,0.009033846324130606,,,,,0,cap-64,171,0.8707997757880916
Priority-Aware,3624.700617530663,29515.684403413357,259,113.96017144175042,141896346105.7374,89315751073.92041,37.05563707231426,20.631380747971463,110.33912208829416,0,0,78,12,170,0,30.0,4.615384615384615,65.38461538461539,0.0,120484.31559658691,120484.31559658691,0.0,0.001346537632903514,,,,,0,cap-64,171,0.8413554460768851
Heuristic-TVD,4308.1680096469345,98493.6969484801,260,378.8219113403081,141896346105.7374,0.0,100.0,0.582986601118076,1.2473552171411635,0,0,260,0,0,0,100.0,0.0,0.0,0.0,51506.30305151965,51506.30305151965,0.0,0.012980769343602542,,,,,0,cap-64,171,1.0
Deadline-Energy,3749.030466074939,42254.51370474667,260,162.51736040287182,141896346105.7374,105779966974.30736,25.452649150329123,15.415767963420148,71.4423141796664,0,0,65,0,195,0,25.0,0.0,75.0,0.0,107745.48629525334,107745.48629525334,0.0,0.009388846564643945,,,,,0,cap-128,171,0.8995580159815671
Priority-Aware,3620.564731524403,52760.901406080025,259,203.71004403891902,141896346105.7374,89315751073.92041,37.05563707231426,20.631380747971463,110.33912208829416,0,0,78,12,170,0,30.0,4.615384615384615,65.38461538461539,0.0,97239.09859392005,97239.09859392005,0.0,0.0014296148527556886,,,,,0,cap-128,171,0.8687334115032571
Heuristic-TVD,4167.636105142284,149540.77505130653,258,579.6154071756067,141896346105.7374,14605178504.618141,89.70714968676167,0.6278317242809862,29.379321664541923,0,0,223,0,37,0,85.76923076923077,0.0,14.23076923076923,0.0,459.22494869337226,459.22494869337226,0.0,0.014328076772821637,,,,,0,cap-128,171,1.0
Deadline-Energy,3747.037656026518,58049.70900277334,260,223.26811154912824,141896346105.7374,105779966974.30736,25.452649150329123,15.415767963420148,71.4423141796664,0,0,65,0,195,0,25.0,0.0,75.0,0.0,91950.2909972267,91950.2909972267,0.0,0.009422690625517415,,,,,0,cap-256,171,0.9651114118825784
Priority-Aware,3617.477246642703,71807.82541055996,259,277.2502911604632,141896346105.7374,89315751073.92041,37.05563707231426,20.631380747971463,110.33912208829416,0,0,78,12,170,0,30.0,4.615384615384615,65.38461538461539,0.0,78192.17458944001,78192.17458944001,0.0,0.0013684633393915226,,,,,0,cap-256,171,0.9317409894040664
Heuristic-TVD,3882.4923318618953,149952.72988789337,255,588.0499211289936,141896346105.7374,42621549426.45103,69.96289855505471,1.0218073941260324,76.23202046570702,0,0,168,0,92,0,64.61538461538461,0.0,35.38461538461539,0.0,47.27011210666029,47.27011210666029,0.0,0.014069229431557827,,,,,0,cap-256,171,1.0
Deadline-Energy,3857.038359997837,69168.98741205335,260,266.03456696943596,138183152908.2682,97623791629.69403,29.35188583046674,10.28411112853179,72.25500075728323,0,0,72,0,188,0,27.692307692307693,0.0,72.3076923076923,0.0,80831.01258794659,80831.01258794659,0.0,0.010134614533923853,,,,,1,known,171,0.9762447363577478
Priority-Aware,3730.4177721467545,81370.69273706671,260,312.96420283487197,138183152908.2682,83081342987.12921,39.87592464163695,12.934506397489773,79.30292719235098,0,0,87,10,163,0,33.46153846153846,3.8461538461538463,62.69230769230769,0.0,68629.3072629333,68629.3072629333,0.0,0.0014084639797846859,,,,,1,known,171,0.9441961356266385
Heuristic-TVD,3950.892861546158,149571.7581421866,258,579.7354966751418,138183152908.2682,39288217251.275154,71.56801214591164,0.9832486245364028,79.30292719235098,0,0,169,0,91,0,65.0,0.0,35.0,0.0,428.24185781330334,428.24185781330334,0.0,0.01370346211702921,,,,,1,known,171,1.0
Deadline-Energy,3857.038359997837,69168.98741205335,260,266.03456696943596,138183152908.2682,97623791629.69403,29.35188583046674,10.28411112853179,72.25500075728323,0,0,72,0,188,0,27.692307692307693,0.0,72.3076923076923,0.0,80831.01258794659,80831.01258794659,0.0,0.010243846918456256,,,,,1,expected-only,171,0.9736468310047285
Priority-Aware,3730.4177721467545,81370.69273706671,260,312.96420283487197,138183152908.2682,83081342987.12921,39.87592464163695,12.934506397489773,79.30292719235098,0,0,87,10,163,0,33.46153846153846,3.8461538461538463,62.69230769230769,0.0,68629.3072629333,68629.3072629333,0.0,0.001529999896704864,,,,,1,expected-only,171,0.9416835154775188
Heuristic-TVD,3961.4347186008613,149704.1661182933,258,580.2487058848577,138183152908.2682,43271517014.74693,68.68538884514209,0.9886162274237601,78.04393456202088,0,0,162,0,98,0,62.30769230769231,0.0,37.69230769230769,0.0,295.8338817066423,295.8338817066423,0.0,0.015798845561221242,,,,,1,expected-only,171,1.0
Deadline-Energy,3857.038359997837,69168.98741205335,260,266.03456696943596,138183152908.2682,97623791629.69403,29.35188583046674,10.28411112853179,72.25500075728323,0,0,72,0,188,0,27.692307692307693,0.0,72.3076923076923,0.0,80831.01258794659,80831.01258794659,0.0,0.009709230709212044,,,,,1,noisy-estimate,171,0.9596141474880987
Priority-Aware,3730.4177721467545,81370.69273706671,260,312.96420283487197,138183152908.2682,83081342987.12921,39.87592464163695,12.934506397489773,79.30292719235098,0,0,87,10,163,0,33.46153846153846,3.8461538461538463,62.69230769230769,0.0,68629.3072629333,68629.3072629333,0.0,0.0015311548710227585,,,,,1,noisy-estimate,171,0.9281115031988088
Heuristic-TVD,4019.363793347651,149730.0509491199,259,578.1083048228568,138183152908.2682,39548309619.21015,71.37978922404238,0.9832486245364028,72.3896206896573,0,0,173,2,85,0,66.53846153846153,0.7692307692307693,32.69230769230769,0.0,269.94905087997154,269.94905087997154,0.0,0.01497769329804354,,,,,1,noisy-estimate,171,1.0
Deadline-Energy,3862.507893381318,26678.48185493335,260,102.6095455958975,138183152908.2682,97623791629.69403,29.35188583046674,10.28411112853179,72.25500075728323,0,0,72,0,188,0,27.692307692307693,0.0,72.3076923076923,0.0,123321.51814506677,123321.51814506677,0.0,0.01020730649962878,,,,,1,cap-64,171,0.8889978177156709
Priority-Aware,3738.2070266046944,32066.228070933354,260,123.33164642666675,138183152908.2682,83081342987.12921,39.87592464163695,12.934506397489773,79.30292719235098,0,0,87,10,163,0,33.46153846153846,3.8461538461538463,62.69230769230769,0.0,117933.77192906685,117933.77192906685,0.0,0.0014146161937298109,,,,,1,cap-64,171,0.8603886336428203
Heuristic-TVD,4344.788948195897,95823.52806741341,260,368.5520310285131,138183152908.2682,0.0,100.0,0.5829866011180457,1.247355217141168,0,0,260,0,0,0,100.0,0.0,0.0,0.0,54176.471932586486,54176.471932586486,0.0,0.014138845346259097,,,,,1,cap-64,171,1.0
Deadline-Energy,3859.7381846956955,49213.12080074667,260,189.28123384902565,138183152908.2682,97623791629.69403,29.35188583046674,10.28411112853179,72.25500075728323,0,0,72,0,188,0,27.692307692307693,0.0,72.3076923076923,0.0,100786.8791992533,100786.8791992533,0.0,0.0105857698005051,,,,,1,cap-128,171,0.9015910436622936
Priority-Aware,3734.21580642497,58863.282486933334,260,226.39724033435897,138183152908.2682,83081342987.12921,39.87592464163695,12.934506397489773,79.30292719235098,0,0,87,10,163,0,33.46153846153846,3.8461538461538463,62.69230769230769,0.0,91136.71751306675,91136.71751306675,0.0,0.0016919240946523272,,,,,1,cap-128,171,0.8722704403952617
Heuristic-TVD,4281.02986584395,147077.15415498658,260,565.6813621345638,138183152908.2682,17573613098.839046,87.2823765205986,0.6278317242809862,29.494340895069076,0,0,225,0,35,0,86.53846153846153,0.0,13.461538461538462,0.0,2922.8458450134344,2922.8458450134344,0.0,0.0150384620960372,,,,,1,cap-128,171,1.0
Deadline-Energy,3857.038359997837,69168.98741205335,260,266.03456696943596,138183152908.2682,97623791629.69403,29.35188583046674,10.28411112853179,72.25500075728323,0,0,72,0,188,0,27.692307692307693,0.0,72.3076923076923,0.0,80831.01258794659,80831.01258794659,0.0,0.00991846273581569,,,,,1,cap-256,171,0.9762447363577478
Priority-Aware,3730.4177721467545,81370.69273706671,260,312.96420283487197,138183152908.2682,83081342987.12921,39.87592464163695,12.934506397489773,79.30292719235098,0,0,87,10,163,0,33.46153846153846,3.8461538461538463,62.69230769230769,0.0,68629.3072629333,68629.3072629333,0.0,0.0014265393614410781,,,,,1,cap-256,171,0.9441961356266385
Heuristic-TVD,3950.892861546158,149571.7581421866,258,579.7354966751418,138183152908.2682,39288217251.275154,71.56801214591164,0.9832486245364028,79.30292719235098,0,0,169,0,91,0,65.0,0.0,35.0,0.0,428.24185781330334,428.24185781330334,0.0,0.014090768504851999,,,,,1,cap-256,171,1.0
Deadline-Energy,3772.396708012707,71163.84858981332,260,273.70710996082045,143551818802.25815,100349432288.78314,30.09532507072311,12.860969370166428,71.43436513271442,0,0,71,1,188,0,27.307692307692307,0.38461538461538464,72.3076923076923,0.0,78836.15141018668,78836.15141018668,0.0,0.009965384602904893,,,,,2,known,171,0.9842870551834726
Priority-Aware,3584.112271606004,70468.98847098667,260,271.03457104225646,143551818802.25815,81765352376.60277,43.0412285550808,21.402373422387853,78.4072189003879,0,0,74,15,171,0,28.46153846153846,5.769230769230769,65.76923076923077,0.0,79531.01152901343,79531.01152901343,0.0,0.0015030778460921003,,,,,2,known,171,0.9351602141346522
Heuristic-TVD,3832.618429904604,149875.4171290666,254,590.0606973585299,143551818802.25815,42153956555.43225,70.63502440641376,0.7668729075820011,111.32618025258745,0,0,167,0,93,0,64.23076923076923,0.0,35.76923076923077,0.0,124.58287093335002,124.58287093335002,0.0,0.014336154205151476,,,,,2,known,171,1.0
Deadline-Energy,3772.396708012707,71163.84858981332,260,273.70710996082045,143551818802.25815,100349432288.78314,30.09532507072311,12.860969370166428,71.43436513271442,0,0,71,1,188,0,27.307692307692307,0.38461538461538464,72.3076923076923,0.0,78836.15141018668,78836.15141018668,0.0,0.010013846062625257,,,,,2,expected-only,171,0.9867143445586469
Priority-Aware,3584.112271606004,70468.98847098667,260,271.03457104225646,143551818802.25815,81765352376.60277,43.0412285550808,21.402373422387853,78.4072189003879,0,0,74,15,171,0,28.46153846153846,5.769230769230769,65.76923076923077,0.0,79531.01152901343,79531.01152901343,0.0,0.0014257699009389258,,,,,2,expected-only,171,0.9374663548482793
Heuristic-TVD,3823.1902969851767,149734.81502111998,254,589.5071457524409,143551818802.25815,47693453903.840675,66.77614097698188,0.9832486245364028,111.32618025258745,0,0,160,0,100,0,61.53846153846154,0.0,38.46153846153846,0.0,265.184978880038,265.184978880038,0.0,0.013729231655955888,,,,,2,expected-only,171,1.0
Deadline-Energy,3772.396708012707,71163.84858981332,260,273.70710996082045,143551818802.25815,100349432288.78314,30.09532507072311,12.860969370166428,71.43436513271442,0,0,71,1,188,0,27.307692307692307,0.38461538461538464,72.3076923076923,0.0,78836.15141018668,78836.15141018668,0.0,0.010386152448168455,,,,,2,noisy-estimate,171,0.993429118203467
Priority-Aware,3584.112271606004,70468.98847098667,260,271.03457104225646,143551818802.25815,81765352376.60277,43.0412285550808,21.402373422387853,78.4072189003879,0,0,74,15,171,0,28.46153846153846,5.769230769230769,65.76923076923077,0.0,79531.01152901343,79531.01152901343,0.0,0.0018076919681894092,,,,,2,noisy-estimate,171,0.9438459868128439
Heuristic-TVD,3797.3486370469686,149923.21600762662,254,590.2488819197898,143551818802.25815,40052553592.018486,72.09888810451739,0.721079132218559,736.1451219664093,0,0,168,1,91,0,64.61538461538461,0.38461538461538464,35.0,0.0,76.78399237335884,76.78399237335884,0.0,0.01579038451801842,,,,,2,noisy-estimate,171,1.0
Deadline-Energy,3777.9909824329184,26294.633132320017,260,101.13320435507698,143551818802.25815,100349432288.78314,30.09532507072311,12.860969370166428,71.43436513271442,0,0,71,1,188,0,27.307692307692307,0.38461538461538464,72.3076923076923,0.0,123705.36686768006,123705.36686768006,0.0,0.01069846027978481,,,,,2,cap-64,171,0.8818505306204713
Priority-Aware,3590.386404582318,28398.50408176002,260,109.225015699077,143551818802.25815,81765352376.60277,43.0412285550808,21.402373422387853,78.4072189003879,0,0,74,15,171,0,28.46153846153846,5.769230769230769,65.76923076923077,0.0,121601.49591824008,121601.49591824008,0.0,0.0019903840998617504,,,,,2,cap-64,171,0.8380602734987236
Heuristic-TVD,4284.162509688256,94076.91391680014,260,361.83428429538515,143551818802.25815,0.0,100.0,0.500776444246488,1.2473552171411333,0,0,260,0,0,0,100.0,0.0,0.0,0.0,55923.08608319992,55923.08608319992,0.0,0.01492307760949748,,,,,2,cap-64,171,1.0
Deadline-Energy,3775.293891635759,47528.51415354666,260,182.801977513641,143551818802.25815,100349432288.78314,30.09532507072311,12.860969370166428,71.43436513271442,0,0,71,1,188,0,27.307692307692307,0.38461538461538464,72.3076923076923,0.0,102471.48584645335,102471.48584645335,0.0,0.009370384325918097,,,,,2,cap-128,171,0.8881339473125845
Priority-Aware,3587.181494593402,49624.64201701332,260,190.86400775774354,143551818802.25815,81765352376.60277,43.0412285550808,21.402373422387853,78.4072189003879,0,0,74,15,171,0,28.46153846153846,5.769230769230769,65.76923076923077,0.0,100375.35798298677,100375.35798298677,0.0,0.0015646168881525786,,,,,2,cap-128,171,0.8438807022622309
Heuristic-TVD,4250.815885441005,149300.65063317315,260,574.2332716660505,143551818802.25815,17722770160.26528,87.65409570694587,0.5613074467860012,6.425783314291526,0,0,232,0,28,0,89.23076923076923,0.0,10.76923076923077,0.0,699.3493668267699,699.3493668267699,0.0,0.014273461979778053,,,,,2,cap-128,171,1.0
Deadline-Energy,3772.396708012707,71163.84858981332,260,273.70710996082045,143551818802.25815,100349432288.78314,30.09532507072311,12.860969370166428,71.43436513271442,0,0,71,1,188,0,27.307692307692307,0.38461538461538464,72.3076923076923,0.0,78836.15141018668,78836.15141018668,0.0,0.009944230483737417,,,,,2,cap-256,171,0.9842870551834726
Priority-Aware,3584.112271606004,70468.98847098667,260,271.03457104225646,143551818802.25815,81765352376.60277,43.0412285550808,21.402373422387853,78.4072189003879,0,0,74,15,171,0,28.46153846153846,5.769230769230769,65.76923076923077,0.0,79531.01152901343,79531.01152901343,0.0,0.0016334617752223634,,,,,2,cap-256,171,0.9351602141346522
Heuristic-TVD,3832.618429904604,149875.4171290666,254,590.0606973585299,143551818802.25815,42153956555.43225,70.63502440641376,0.7668729075820011,111.32618025258745,0,0,167,0,93,0,64.23076923076923,0.0,35.76923076923077,0.0,124.58287093335002,124.58287093335002,0.0,0.013910384418872686,,,,,2,cap-256,171,1.0
Deadline-Energy,3844.9481927810575,71697.5270752,260,275.75971952000003,145714942829.99643,109056964346.36604,25.157322764350077,15.42668608128982,77.05464053457004,0,0,73,0,187,0,28.076923076923077,0.0,71.92307692307692,0.0,78302.47292479995,78302.47292479995,0.0,0.010398461241633274,,,,,3,known,171,0.9646914194077069
Priority-Aware,3776.5955203922576,77461.86944597335,260,297.9302670998975,145714942829.99643,96411603040.62616,33.83547276060204,16.769847643845956,78.1803292091174,0,0,81,12,167,0,31.153846153846153,4.615384615384615,64.23076923076923,0.0,72538.1305540266,72538.1305540266,0.0,0.0014080748839590412,,,,,3,known,171,0.9475418420295608
Heuristic-TVD,3985.6767826770415,149921.3306329599,257,583.3514810621008,145714942829.99643,48351527943.053314,66.81772850196677,1.0025280093312177,67.95993451600984,0,0,165,0,95,0,63.46153846153846,0.0,36.53846153846154,0.0,78.66936704002819,78.66936704002819,0.0,0.013776922647733815,,,,,3,known,171,1.0
Deadline-Energy,3844.9481927810575,71697.5270752,260,275.75971952000003,145714942829.99643,109056964346.36604,25.157322764350077,15.42668608128982,77.05464053457004,0,0,73,0,187,0,28.076923076923077,0.0,71.92307692307692,0.0,78302.47292479995,78302.47292479995,0.0,0.010058077280588735,,,,,3,expected-only,171,0.9631643725680826
Priority-Aware,3776.5955203922576,77461.86944597335,260,297.9302670998975,145714942829.99643,96411603040.62616,33.83547276060204,16.769847643845956,78.1803292091174,0,0,81,12,167,0,31.153846153846153,4.615384615384615,64.23076923076923,0.0,72538.1305540266,72538.1305540266,0.0,0.0014984594040120451,,,,,3,expected-only,171,0.9460419419100269
Heuristic-TVD,3991.995865180605,149512.88615935994,257,581.762202954708,145714942829.99643,54828579603.296974,62.3727130941782,1.0218073941260324,67.95993451600984,0,0,157,0,103,0,60.38461538461539,0.0,39.61538461538461,0.0,487.1138406400287,487.1138406400287,0.0,0.013613074686593162,,,,,3,expected-only,171,1.0
Deadline-Energy,3844.9481927810575,71697.5270752,260,275.75971952000003,145714942829.99643,109056964346.36604,25.157322764350077,15.42668608128982,77.05464053457004,0,0,73,0,187,0,28.076923076923077,0.0,71.92307692307692,0.0,78302.47292479995,78302.47292479995,0.0,0.01064384671805713,,,,,3,noisy-estimate,171,0.961859001043105
Priority-Aware,3776.5955203922576,77461.86944597335,260,297.9302670998975,145714942829.99643,96411603040.62616,33.83547276060204,16.769847643845956,78.1803292091174,0,0,81,12,167,0,31.153846153846153,4.615384615384615,64.23076923076923,0.0,72538.1305540266,72538.1305540266,0.0,0.0015392314078501211,,,,,3,noisy-estimate,171,0.944759776323782
Heuristic-TVD,3997.413538378635,149514.16562527991,257,581.7671814213227,145714942829.99643,50423642193.10791,65.3956957235769,0.9832486245364028,64.2860010873058,0,2,169,0,91,0,65.0,0.0,35.0,0.0,485.8343747200297,485.8343747200297,0.0,0.013681538537359582,,,,,3,noisy-estimate,171,1.0
Deadline-Energy,3851.6511351443087,27569.645014186677,260,106.03709620841029,145714942829.99643,109056964346.36604,25.157322764350077,15.42668608128982,77.05464053457004,0,0,73,0,187,0,28.076923076923077,0.0,71.92307692307692,0.0,122430.35498581346,122430.35498581346,0.0,0.009631153303556718,,,,,3,cap-64,171,0.8808631593528833
Priority-Aware,3784.128810762501,30327.798440106693,260,116.64537861579497,145714942829.99643,96411603040.62616,33.83547276060204,16.769847643845956,78.1803292091174,0,0,81,12,167,0,31.153846153846153,4.615384615384615,64.23076923076923,0.0,119672.20155989352,119672.20155989352,0.0,0.0014811533709199955,,,,,3,cap-64,171,0.8654209695244472
Heuristic-TVD,4372.587381193105,94729.70688704011,260,364.3450264886158,145714942829.99643,0.0,100.0,0.582986601118076,1.2851783849623155,0,0,260,0,0,0,100.0,0.0,0.0,0.0,55270.29311295977,55270.29311295977,0.0,0.013668076784457438,,,,,3,cap-64,171,1.0
Deadline-Energy,3848.207117375645,49154.54893728,260,189.05595745107692,145714942829.99643,109056964346.36604,25.157322764350077,15.42668608128982,77.05464053457004,0,0,73,0,187,0,28.076923076923077,0.0,71.92307692307692,0.0,100845.45106271995,100845.45106271995,0.0,0.01073461406541845,,,,,3,cap-128,171,0.892871250822353
Priority-Aware,3780.2331830807493,53822.12989034666,260,207.0081918859487,145714942829.99643,96411603040.62616,33.83547276060204,16.769847643845956,78.1803292091174,0,0,81,12,167,0,31.153846153846153,4.615384615384615,64.23076923076923,0.0,96177.87010965326,96177.87010965326,0.0,0.0015111532635413683,,,,,3,cap-128,171,0.8770997577904005
Heuristic-TVD,4309.923870693973,145607.89687423987,260,560.0303725932303,145714942829.99643,16058076431.010904,88.97980116579696,0.6278317242809862,17.69079812324053,0,0,228,0,32,0,87.6923076923077,0.0,12.307692307692308,0.0,4392.103125760186,4392.103125760186,0.0,0.015400384794562481,,,,,3,cap-128,171,1.0
Deadline-Energy,3844.9481927810575,71697.5270752,260,275.75971952000003,145714942829.99643,109056964346.36604,25.157322764350077,15.42668608128982,77.05464053457004,0,0,73,0,187,0,28.076923076923077,0.0,71.92307692307692,0.0,78302.47292479995,78302.47292479995,0.0,0.010194231267982664,,,,,3,cap-256,171,0.9646914194077069
Priority-Aware,3776.5955203922576,77461.86944597335,260,297.9302670998975,145714942829.99643,96411603040.62616,33.83547276060204,16.769847643845956,78.1803292091174,0,0,81,12,167,0,31.153846153846153,4.615384615384615,64.23076923076923,0.0,72538.1305540266,72538.1305540266,0.0,0.0014780757527870054,,,,,3,cap-256,171,0.9475418420295608
Heuristic-TVD,3985.6767826770415,149921.3306329599,257,583.3514810621008,145714942829.99643,48351527943.053314,66.81772850196677,1.0025280093312177,67.95993451600984,0,0,165,0,95,0,63.46153846153846,0.0,36.53846153846154,0.0,78.66936704002819,78.66936704002819,0.0,0.015089616555577287,,,,,3,cap-256,171,1.0
Deadline-Energy,3856.879439805607,72710.54138586667,260,279.6559284071795,143751290598.0329,96634432667.29465,32.77665037630138,11.325929860212394,73.14807775617477,0,0,79,1,180,0,30.384615384615383,0.38461538461538464,69.23076923076923,0.0,77289.45861413333,77289.45861413333,0.0,0.009773461631714152,,,,,4,known,171,0.976602024845582
Priority-Aware,3747.2334643115846,79116.98688778667,260,304.29610341456413,143751290598.0329,78843845988.82722,45.15259956218708,14.598307059213402,722.8285196627825,0,0,88,14,158,0,33.84615384615385,5.384615384615385,60.76923076923077,0.0,70883.01311221336,70883.01311221336,0.0,0.0016749994336770703,,,,,4,known,171,0.9488385224196342
