policy,total_value,energy_j,useful_tasks,j_per_task,raw_bits,transmitted_bits,bw_saving,median_latency_min,p95_latency_min,oom_count,energy_violation_count,on_count,pre_count,down_count,drop_count,on_pct,pre_pct,down_pct,drop_pct,residual_energy_j,min_energy_j,energy_overrun_j,mean_decision_ms,lambda_energy_final,lambda_bandwidth_final,lambda_energy_mean,lambda_bandwidth_mean,seed,workload,contact_model,task_count,training_seed_count,training_q_states,ua_training_seed_count,ua_training_q_states,normalized_value
Deadline-Energy,195.9534079534245,6898.929454501177,260,26.53434405577376,7057576.0,5003888.0,29.099056106515896,14.697692500618118,56.94793502071535,0,0,72,0,188,0,27.692307692307693,0.0,72.3076923076923,0.0,8101.070545498777,8101.070545498777,0.0,0.0106965376359697,,,,,0,EuroSAT-image-bytes+MobileSAM-encoded-bytes+per-image-eta,fixed-window,260,10,12,10,36,0.898160465874671
Energy-WSRPT,212.30360898704228,14947.680484752593,260,57.49107878750997,7057576.0,2339808.0,66.84686073518726,0.0140707677437603,727.4328664651222,0,0,156,0,104,0,60.0,0.0,40.0,0.0,52.31951524740708,52.31951524740708,0.0,0.0134546149638481,,,,,0,EuroSAT-image-bytes+MobileSAM-encoded-bytes+per-image-eta,fixed-window,260,10,12,10,36,0.9731022815382656
ActiveInf-inspired,209.20292721496543,14981.414949676564,260,57.62082672952525,7057576.0,2294944.0,67.48254641536981,0.0140707677437603,727.4328664651222,0,0,156,1,103,0,60.0,0.3846153846153846,39.61538461538461,0.0,18.585050323435794,18.585050323435794,0.0,0.0314411533718857,,,,,0,EuroSAT-image-bytes+MobileSAM-encoded-bytes+per-image-eta,fixed-window,260,10,12,10,36,0.9588901797227178
LEO-DRL-inspired,209.20292721496543,14981.414949676564,260,57.62082672952525,7057576.0,2294944.0,67.48254641536981,0.0140707677437603,727.4328664651222,0,0,156,1,103,0,60.0,0.3846153846153846,39.61538461538461,0.0,18.585050323435794,18.585050323435794,0.0,0.0609976905532396,,,,,0,EuroSAT-image-bytes+MobileSAM-encoded-bytes+per-image-eta,fixed-window,260,10,12,10,36,0.9588901797227178
Hierarchical-RA-inspired,209.20292721496543,14981.414949676564,260,57.62082672952525,7057576.0,2294944.0,67.48254641536981,0.0140707677437603,727.4328664651222,0,0,156,1,103,0,60.0,0.3846153846153846,39.61538461538461,0.0,18.585050323435794,18.585050323435794,0.0,0.0178380762988056,,,,,0,EuroSAT-image-bytes+MobileSAM-encoded-bytes+per-image-eta,fixed-window,260,10,12,10,36,0.9588901797227178
DRL-UA-inspired,212.710505422071,14992.18480992869,260,57.6622492689565,7057576.0,2235648.0,68.32272156899197,0.0140707677437603,727.4328664651222,0,0,154,7,99,0,59.23076923076923,2.6923076923076925,38.07692307692308,0.0,7.815190071307256,7.815190071307256,0.0,0.0648357688288132,,,,,0,EuroSAT-image-bytes+MobileSAM-encoded-bytes+per-image-eta,fixed-window,260,10,12,10,36,0.9749673080027964
QoS-Multihop-projected,212.30360968525227,14981.414949676564,260,57.62082672952525,7057576.0,2327136.0,67.0264124679635,0.0140707677437603,727.4328664651222,0,0,156,1,103,0,60.0,0.3846153846153846,39.61538461538461,0.0,18.585050323435794,18.585050323435794,0.0,0.0169365390320308,,,,,0,EuroSAT-image-bytes+MobileSAM-encoded-bytes+per-image-eta,fixed-window,260,10,12,10,36,0.9731022847385395
DelayCost-adapted,209.20292721496543,14981.414949676564,260,57.62082672952525,7057576.0,2294944.0,67.48254641536981,0.0140707677437603,727.4328664651222,0,0,156,1,103,0,60.0,0.3846153846153846,39.61538461538461,0.0,18.585050323435794,18.585050323435794,0.0,0.0145584619111524,,,,,0,EuroSAT-image-bytes+MobileSAM-encoded-bytes+per-image-eta,fixed-window,260,10,12,10,36,0.9588901797227178
Heuristic-TVD,218.171936306054,14912.52113566103,260,57.35585052177319,7057576.0,2406784.0,65.89786634957952,0.0140707677437603,62.264963263874094,0,0,150,16,94,0,57.69230769230769,6.153846153846154,36.15384615384615,0.0,87.47886433896593,87.47886433896593,0.0,0.0140426923350717,,,,,0,EuroSAT-image-bytes+MobileSAM-encoded-bytes+per-image-eta,fixed-window,260,10,12,10,36,1.0
Deadline-Energy,205.326514440458,6132.381737334382,260,23.58608360513224,7049544.0,5342824.0,24.21036027294815,9.016656948485888,52.83692747161343,0,0,64,0,196,0,24.615384615384617,0.0,75.38461538461539,0.0,8867.61826266558,8867.61826266558,0.0,0.0100307689325955,,,,,1,EuroSAT-image-bytes+MobileSAM-encoded-bytes+per-image-eta,fixed-window,260,10,12,10,36,0.9031116152904384
Energy-WSRPT,223.76218066118312,14947.680484752593,260,57.49107878750997,7049544.0,2455040.0,65.17448504470644,0.0140707677437603,110.45270410353098,0,0,156,0,104,0,60.0,0.0,40.0,0.0,52.31951524740708,52.31951524740708,0.0,0.0134823083779058,,,,,1,EuroSAT-image-bytes+MobileSAM-encoded-bytes+per-image-eta,fixed-window,260,10,12,10,36,0.9841993615317188
ActiveInf-inspired,214.1956650195919,14981.414949676564,260,57.62082672952525,7049544.0,2463576.0,65.05339919858646,0.0140707677437603,111.06506723864028,0,0,156,1,103,0,60.0,0.3846153846153846,39.61538461538461,0.0,18.585050323435794,18.585050323435794,0.0,0.0310188463817422,,,,,1,EuroSAT-image-bytes+MobileSAM-encoded-bytes+per-image-eta,fixed-window,260,10,12,10,36,0.9421218372659276
LEO-DRL-inspired,213.9880258906113,14981.414949676564,260,57.62082672952525,7049544.0,2457208.0,65.14373128247728,0.0140707677437603,111.06506723864028,0,0,156,1,103,0,60.0,0.3846153846153846,39.61538461538461,0.0,18.585050323435794,18.585050323435794,0.0,0.0610319232621874,,,,,1,EuroSAT-image-bytes+MobileSAM-encoded-bytes+per-image-eta,fixed-window,260,10,12,10,36,0.941208553807714
Hierarchical-RA-inspired,214.1956650195919,14981.414949676564,260,57.62082672952525,7049544.0,2463576.0,65.05339919858646,0.0140707677437603,111.06506723864028,0,0,156,1,103,0,60.0,0.3846153846153846,39.61538461538461,0.0,18.585050323435794,18.585050323435794,0.0,0.0164696162056106,,,,,1,EuroSAT-image-bytes+MobileSAM-encoded-bytes+per-image-eta,fixed-window,260,10,12,10,36,0.9421218372659276
DRL-UA-inspired,217.90729058533395,14979.990065508977,260,57.61534640580375,7049544.0,2261072.0,67.92598216281792,0.0140707677437603,110.45270410353098,0,0,150,18,92,0,57.69230769230769,6.923076923076923,35.38461538461539,0.0,20.009934491021227,20.009934491021227,0.0,0.0617057695098293,,,,,1,EuroSAT-image-bytes+MobileSAM-encoded-bytes+per-image-eta,fixed-window,260,10,12,10,36,0.9584471139559124
QoS-Multihop-projected,223.76218117938345,14981.414949676564,260,57.62082672952525,7049544.0,2443832.0,65.33347405165497,0.0140707677437603,110.45270410353098,0,0,156,1,103,0,60.0,0.3846153846153846,39.61538461538461,0.0,18.585050323435794,18.585050323435794,0.0,0.0175869233386877,,,,,1,EuroSAT-image-bytes+MobileSAM-encoded-bytes+per-image-eta,fixed-window,260,10,12,10,36,0.98419936381098
