policy,total_value,energy_j,useful_tasks,j_per_task,raw_bits,transmitted_bits,bw_saving,median_latency_min,p95_latency_min,oom_count,energy_violation_count,on_count,pre_count,down_count,drop_count,on_pct,pre_pct,down_pct,drop_pct,residual_energy_j,min_energy_j,energy_overrun_j,mean_decision_ms,lambda_energy_final,lambda_bandwidth_final,lambda_energy_mean,lambda_bandwidth_mean,seed,workload,contact_model,task_count,training_seed_count,training_q_states,ua_training_seed_count,ua_training_q_states,normalized_value
Deadline-Energy,51.44680039955624,2682.917010083796,60,44.7152835013966,1630080.0,825096.0,49.38309776207303,0.0140707677437603,41.79066362106866,0,0,28,0,32,0,46.66666666666666,0.0,53.333333333333336,0.0,147317.0829899161,147317.0829899161,0.0,0.0076116654478634,,,,,0,EuroSAT-image-bytes+MobileSAM-rho,fixed-window,60,10,3,10,9,0.8576276838840634
Energy-WSRPT,59.98733642384492,5174.197090875888,60,86.23661818126479,1630080.0,143368.0,91.20484884177463,0.01407076774373,0.0140707677437603,0,0,54,0,6,0,90.0,0.0,10.0,0.0,144825.8029091239,144825.8029091239,0.0,0.0103716631808007,,,,,0,EuroSAT-image-bytes+MobileSAM-rho,fixed-window,60,10,3,10,9,1.0
ActiveInf-inspired,59.98593088201481,5749.107878750984,60,95.81846464584972,1630080.0,0.0,100.0,0.01407076774373,0.0140707677437603,0,0,60,0,0,0,100.0,0.0,0.0,0.0,144250.89212124876,144250.89212124876,0.0,0.028863332408946,,,,,0,EuroSAT-image-bytes+MobileSAM-rho,fixed-window,60,10,3,10,9,0.9999765693575694
LEO-DRL-inspired,59.98593088201481,5749.107878750984,60,95.81846464584972,1630080.0,0.0,100.0,0.01407076774373,0.0140707677437603,0,0,60,0,0,0,100.0,0.0,0.0,0.0,144250.89212124876,144250.89212124876,0.0,0.0497383327456191,,,,,0,EuroSAT-image-bytes+MobileSAM-rho,fixed-window,60,10,3,10,9,0.9999765693575694
Hierarchical-RA-inspired,59.98593088201481,5749.107878750984,60,95.81846464584972,1630080.0,0.0,100.0,0.01407076774373,0.0140707677437603,0,0,60,0,0,0,100.0,0.0,0.0,0.0,144250.89212124876,144250.89212124876,0.0,0.0167599995620548,,,,,0,EuroSAT-image-bytes+MobileSAM-rho,fixed-window,60,10,3,10,9,0.9999765693575694
DRL-UA-inspired,59.98593088201481,5749.107878750984,60,95.81846464584972,1630080.0,0.0,100.0,0.01407076774373,0.0140707677437603,0,0,60,0,0,0,100.0,0.0,0.0,0.0,144250.89212124876,144250.89212124876,0.0,0.0554766661177078,,,,,0,EuroSAT-image-bytes+MobileSAM-rho,fixed-window,60,10,3,10,9,0.9999765693575694
QoS-Multihop-projected,59.98733642384492,5174.197090875888,60,86.23661818126479,1630080.0,143368.0,91.20484884177463,0.01407076774373,0.0140707677437603,0,0,54,0,6,0,90.0,0.0,10.0,0.0,144825.8029091239,144825.8029091239,0.0,0.0153749987172583,,,,,0,EuroSAT-image-bytes+MobileSAM-rho,fixed-window,60,10,3,10,9,1.0
DelayCost-adapted,59.98593088201481,5749.107878750984,60,95.81846464584972,1630080.0,0.0,100.0,0.01407076774373,0.0140707677437603,0,0,60,0,0,0,100.0,0.0,0.0,0.0,144250.89212124876,144250.89212124876,0.0,0.0137916669094314,,,,,0,EuroSAT-image-bytes+MobileSAM-rho,fixed-window,60,10,3,10,9,0.9999765693575694
Heuristic-TVD,59.98593088201481,5749.107878750984,60,95.81846464584972,1630080.0,0.0,100.0,0.01407076774373,0.0140707677437603,0,0,60,0,0,0,100.0,0.0,0.0,0.0,144250.89212124876,144250.89212124876,0.0,0.0120750012380691,,,,,0,EuroSAT-image-bytes+MobileSAM-rho,fixed-window,60,10,3,10,9,0.9999765693575694
Deadline-Energy,49.692648130835565,2299.6431515003965,60,38.32738585833994,1654480.0,1027368.0,37.903873120255305,0.0140707677437603,49.8686761004618,0,0,24,0,36,0,40.0,0.0,60.0,0.0,147700.3568484995,147700.3568484995,0.0,0.0073649993282742,,,,,1,EuroSAT-image-bytes+MobileSAM-rho,fixed-window,60,10,3,10,9,0.828382414588097
Energy-WSRPT,59.98757005910685,5078.378626230038,60,84.63964377050064,1654480.0,224472.0,86.43247425172864,0.01407076774373,0.0140707677437603,0,0,53,0,7,0,88.33333333333333,0.0,11.666666666666666,0.0,144921.62137376974,144921.62137376974,0.0,0.0098499983626728,,,,,1,EuroSAT-image-bytes+MobileSAM-rho,fixed-window,60,10,3,10,9,1.0
ActiveInf-inspired,59.98593088201481,5749.107878750984,60,95.81846464584972,1654480.0,0.0,100.0,0.01407076774373,0.0140707677437603,0,0,60,0,0,0,100.0,0.0,0.0,0.0,144250.89212124876,144250.89212124876,0.0,0.0288149987075788,,,,,1,EuroSAT-image-bytes+MobileSAM-rho,fixed-window,60,10,3,10,9,0.9999726747209392
