policy,total_value,energy_j,useful_tasks,j_per_task,raw_bits,transmitted_bits,bw_saving,median_latency_min,p95_latency_min,oom_count,energy_violation_count,on_count,pre_count,down_count,drop_count,on_pct,pre_pct,down_pct,drop_pct,residual_energy_j,min_energy_j,energy_overrun_j,mean_decision_ms,lambda_energy_final,lambda_bandwidth_final,lambda_energy_mean,lambda_bandwidth_mean,seed,workload,contact_model,task_count,training_seed_count,training_q_states,ua_training_seed_count,ua_training_q_states,normalized_value
Deadline-Energy,210.40033918530565,8623.661818126471,260,33.167930069717194,7057576.0,4612328.0,34.6471366372817,2.934462544284209,52.42323697137412,0,0,90,0,170,0,34.61538461538461,0.0,65.38461538461539,0.0,6376.338181873488,6376.338181873488,0.0,0.0108426930427622,,,,,0,EuroSAT-image-bytes+MobileSAM-encoded-bytes+per-image-eta,tle,260,10,12,10,36,0.9473348609737964
Energy-WSRPT,218.56894578928404,14947.680484752593,260,57.49107878750997,7057576.0,2385544.0,66.19881953803969,0.0140707677437603,79.63519893610938,0,0,156,0,104,0,60.0,0.0,40.0,0.0,52.31951524740708,52.31951524740708,0.0,0.0135703842925767,,,,,0,EuroSAT-image-bytes+MobileSAM-encoded-bytes+per-image-eta,tle,260,10,12,10,36,0.9841142969361788
ActiveInf-inspired,210.7446945268001,14981.414949676564,260,57.62082672952525,7057576.0,2375384.0,66.34277831368732,0.0140707677437603,86.10388019236858,0,0,156,1,103,0,60.0,0.3846153846153846,39.61538461538461,0.0,18.585050323435794,18.585050323435794,0.0,0.0307134607842621,,,,,0,EuroSAT-image-bytes+MobileSAM-encoded-bytes+per-image-eta,tle,260,10,12,10,36,0.948885332901852
LEO-DRL-inspired,210.7446945268001,14981.414949676564,260,57.62082672952525,7057576.0,2375384.0,66.34277831368732,0.0140707677437603,86.10388019236858,0,0,156,1,103,0,60.0,0.3846153846153846,39.61538461538461,0.0,18.585050323435794,18.585050323435794,0.0,0.0607846161493888,,,,,0,EuroSAT-image-bytes+MobileSAM-encoded-bytes+per-image-eta,tle,260,10,12,10,36,0.948885332901852
Hierarchical-RA-inspired,210.9023198181152,14981.414949676564,260,57.62082672952525,7057576.0,2388752.0,66.15336483801238,0.0140707677437603,86.10388019236858,0,0,156,1,103,0,60.0,0.3846153846153846,39.61538461538461,0.0,18.585050323435794,18.585050323435794,0.0,0.0162857692115581,,,,,0,EuroSAT-image-bytes+MobileSAM-encoded-bytes+per-image-eta,tle,260,10,12,10,36,0.9495950462702436
DRL-UA-inspired,214.7109433861024,14974.605135382912,260,57.59463513608812,7057576.0,2240072.0,68.26003715723358,0.0140707677437603,79.63519893610938,0,0,151,15,94,0,58.07692307692308,5.769230769230769,36.15384615384615,0.0,25.39486461708545,25.39486461708545,0.0,0.0623507694959139,,,,,0,EuroSAT-image-bytes+MobileSAM-encoded-bytes+per-image-eta,tle,260,10,12,10,36,0.9667435066398964
QoS-Multihop-projected,218.5689462644985,14981.414949676564,260,57.62082672952525,7057576.0,2376848.0,66.32203464759006,0.0140707677437603,79.63519893610938,0,0,156,1,103,0,60.0,0.3846153846153846,39.61538461538461,0.0,18.585050323435794,18.585050323435794,0.0,0.0200592295956224,,,,,0,EuroSAT-image-bytes+MobileSAM-encoded-bytes+per-image-eta,tle,260,10,12,10,36,0.9841142990758484
DelayCost-adapted,210.9023198181152,14981.414949676564,260,57.62082672952525,7057576.0,2388752.0,66.15336483801238,0.0140707677437603,86.10388019236858,0,0,156,1,103,0,60.0,0.3846153846153846,39.61538461538461,0.0,18.585050323435794,18.585050323435794,0.0,0.0149373068080212,,,,,0,EuroSAT-image-bytes+MobileSAM-encoded-bytes+per-image-eta,tle,260,10,12,10,36,0.9495950462702436
Heuristic-TVD,222.097114603202,14907.136205534967,260,57.335139252057566,7057576.0,2450096.0,65.28417122252739,0.0140707677437603,68.7981722975845,0,0,151,13,96,0,58.07692307692308,5.0,36.92307692307692,0.0,92.86379446503116,92.86379446503116,0.0,0.0153796159653351,,,,,0,EuroSAT-image-bytes+MobileSAM-encoded-bytes+per-image-eta,tle,260,10,12,10,36,1.0
Deadline-Energy,204.91062618171884,6611.474060563629,260,25.42874638678319,7049544.0,5185752.0,26.43847602057665,6.627623208007632,55.914145713193626,0,0,69,0,191,0,26.53846153846154,0.0,73.46153846153847,0.0,8388.525939436327,8388.525939436327,0.0,0.0105673078975926,,,,,1,EuroSAT-image-bytes+MobileSAM-encoded-bytes+per-image-eta,tle,260,10,12,10,36,0.8904326166257663
Energy-WSRPT,230.1247972605209,14947.680484752593,260,57.49107878750997,7049544.0,2607936.0,63.00560717118724,0.0140707677437603,64.11693998276647,0,0,156,0,104,0,60.0,0.0,40.0,0.0,52.31951524740708,52.31951524740708,0.0,0.0131796157802455,,,,,1,EuroSAT-image-bytes+MobileSAM-encoded-bytes+per-image-eta,tle,260,10,12,10,36,0.9999999960638488
ActiveInf-inspired,220.4898819820096,14981.414949676564,260,57.62082672952525,7049544.0,2634592.0,62.62748342304126,0.0140707677437603,73.71055072065003,0,0,156,1,103,0,60.0,0.3846153846153846,39.61538461538461,0.0,18.585050323435794,18.585050323435794,0.0,0.0314503847710931,,,,,1,EuroSAT-image-bytes+MobileSAM-encoded-bytes+per-image-eta,tle,260,10,12,10,36,0.958131777795831
LEO-DRL-inspired,220.2297058941927,14981.414949676564,260,57.62082672952525,7049544.0,2628224.0,62.71781550693207,0.0140707677437603,73.71055072065003,0,0,156,1,103,0,60.0,0.3846153846153846,39.61538461538461,0.0,18.585050323435794,18.585050323435794,0.0,0.0598026929835144,,,,,1,EuroSAT-image-bytes+MobileSAM-encoded-bytes+per-image-eta,tle,260,10,12,10,36,0.9570011908713012
Hierarchical-RA-inspired,220.4898819820096,14981.414949676564,260,57.62082672952525,7049544.0,2634592.0,62.62748342304126,0.0140707677437603,73.71055072065003,0,0,156,1,103,0,60.0,0.3846153846153846,39.61538461538461,0.0,18.585050323435794,18.585050323435794,0.0,0.0158053837367333,,,,,1,EuroSAT-image-bytes+MobileSAM-encoded-bytes+per-image-eta,tle,260,10,12,10,36,0.958131777795831
DRL-UA-inspired,226.84849202757945,14992.18480992869,260,57.6622492689565,7049544.0,2535880.0,64.02774420586637,0.0140707677437603,64.11693998276647,0,0,154,7,99,0,59.23076923076923,2.6923076923076925,38.07692307692308,0.0,7.815190071307157,7.815190071307157,0.0,0.0651684619907218,,,,,1,EuroSAT-image-bytes+MobileSAM-encoded-bytes+per-image-eta,tle,260,10,12,10,36,0.985762915753306
