policy,total_value,energy_j,useful_tasks,j_per_task,raw_bits,transmitted_bits,bw_saving,median_latency_min,p95_latency_min,oom_count,energy_violation_count,on_count,pre_count,down_count,drop_count,on_pct,pre_pct,down_pct,drop_pct,residual_energy_j,min_energy_j,energy_overrun_j,mean_decision_ms,lambda_energy_final,lambda_bandwidth_final,lambda_energy_mean,lambda_bandwidth_mean,seed,hardware_profile,throughput_scale,energy_scale,profile_source,normalized_value
All-Downlink,2608.328853807614,0.0,254,0.0,141896346105.7374,127474006832.71404,10.163996233050444,35.479692026056966,736.9298172144859,0,0,0,0,260,0,0.0,0.0,100.0,0.0,150000.0,150000.0,0.0,0.0003773077668693,,,,,0,RTX4090-measured,1.0,1.0,measured,0.6718181597944738
All-On-Board,2495.4586920317124,149948.95533034668,152,986.5062850680704,141896346105.7374,0.0,100.0,1.2723023214839486,1149.2038027363044,0,108,152,0,0,108,58.46153846153846,0.0,0.0,41.53846153846154,51.04466965333791,51.04466965333791,0.0,0.0003923075452733,,,,,0,RTX4090-measured,1.0,1.0,measured,0.6427465861432843
Fixed-Threshold,3070.2737789215994,94471.08069536008,257,367.5917536784439,141896346105.7374,49934240241.08709,64.80935442560487,8.822536083118454,76.86289261501675,0,0,102,94,64,0,39.23076923076923,36.15384615384615,24.615384615384617,0.0,55528.91930463973,55528.91930463973,0.0,0.0011773075899467,,,,,0,RTX4090-measured,1.0,1.0,measured,0.7907997019659826
Deadline-Energy,3747.037656026518,58049.70900277334,260,223.26811154912824,141896346105.7374,105779966974.30736,25.452649150329123,15.415767963420148,71.4423141796664,0,0,65,0,195,0,25.0,0.0,75.0,0.0,91950.2909972267,91950.2909972267,0.0,0.0100230780215217,,,,,0,RTX4090-measured,1.0,1.0,measured,0.9651114118825784
Priority-Aware,3617.477246642703,71807.82541055996,259,277.2502911604632,141896346105.7374,89315751073.92041,37.05563707231426,20.631380747971463,110.33912208829416,0,0,78,12,170,0,30.0,4.615384615384615,65.38461538461539,0.0,78192.17458944001,78192.17458944001,0.0,0.0014538464781183,,,,,0,RTX4090-measured,1.0,1.0,measured,0.9317409894040664
Heuristic-TVD,3882.4923318618953,149952.72988789337,255,588.0499211289936,141896346105.7374,42621549426.45103,69.96289855505471,1.0218073941260324,76.23202046570702,0,0,168,0,92,0,64.61538461538461,0.0,35.38461538461539,0.0,47.27011210666029,47.27011210666029,0.0,0.0147184617862177,,,,,0,RTX4090-measured,1.0,1.0,measured,1.0
All-Downlink,2566.311992562992,0.0,257,0.0,138183152908.2682,131685291155.26337,4.702354531828057,39.57007844914237,111.89255143557872,0,0,0,0,260,0,0.0,0.0,100.0,0.0,150000.0,150000.0,0.0,0.0003565398331444,,,,,1,RTX4090-measured,1.0,1.0,measured,0.6495524132129163
All-On-Board,2718.695963850633,149948.73988490662,161,931.358632825507,138183152908.2682,0.0,100.0,1.1894509169151812,1209.5554866509997,0,99,161,0,0,99,61.92307692307692,0.0,0.0,38.07692307692308,51.2601150933076,51.2601150933076,0.0,0.0004150006973829,,,,,1,RTX4090-measured,1.0,1.0,measured,0.6881219155071413
Fixed-Threshold,3067.753712850368,98632.12012848012,259,380.8189966350584,138183152908.2682,43894861169.01148,68.23428888024378,4.033877747579391,79.0500106006302,0,0,106,97,57,0,40.76923076923077,37.30769230769231,21.923076923076923,0.0,51367.879871519785,51367.879871519785,0.0,0.0012773057768264,,,,,1,RTX4090-measured,1.0,1.0,measured,0.7764709953814897
Deadline-Energy,3857.038359997837,69168.98741205335,260,266.034566969436,138183152908.2682,97623791629.69405,29.35188583046674,10.28411112853179,72.25500075728323,0,0,72,0,188,0,27.692307692307693,0.0,72.3076923076923,0.0,80831.01258794659,80831.01258794659,0.0,0.0101069229108711,,,,,1,RTX4090-measured,1.0,1.0,measured,0.9762447363577478
Priority-Aware,3730.4177721467545,81370.69273706671,260,312.964202834872,138183152908.2682,83081342987.12921,39.87592464163695,12.934506397489772,79.30292719235098,0,0,87,10,163,0,33.46153846153846,3.8461538461538463,62.69230769230769,0.0,68629.3072629333,68629.3072629333,0.0,0.0018930780172992,,,,,1,RTX4090-measured,1.0,1.0,measured,0.9441961356266384
Heuristic-TVD,3950.892861546158,149571.7581421866,258,579.7354966751418,138183152908.2682,39288217251.275154,71.56801214591164,0.9832486245364028,79.30292719235098,0,0,169,0,91,0,65.0,0.0,35.0,0.0,428.24185781330334,428.24185781330334,0.0,0.0152300001131012,,,,,1,RTX4090-measured,1.0,1.0,measured,1.0
All-Downlink,2556.686277673104,0.0,253,0.0,143551818802.25815,133655118349.4292,6.894165838791344,37.74642688290108,754.0107986472566,0,0,0,0,260,0,0.0,0.0,100.0,0.0,150000.0,150000.0,0.0,0.0003361537192876,,,,,2,RTX4090-measured,1.0,1.0,measured,0.6670860468979014
