policy,total_value,energy_j,useful_tasks,j_per_task,raw_bits,transmitted_bits,bw_saving,median_latency_min,p95_latency_min,oom_count,energy_violation_count,on_count,pre_count,down_count,drop_count,on_pct,pre_pct,down_pct,drop_pct,residual_energy_j,min_energy_j,energy_overrun_j,mean_decision_ms,lambda_energy_final,lambda_bandwidth_final,lambda_energy_mean,lambda_bandwidth_mean,seed,profile_label,energy_scale,latency_scale,normalized_value
All-Downlink,2608.328853807614,0.0,254,0.0,141896346105.7374,127474006832.71404,10.163996233050444,35.479692026056966,736.9298172144859,0,0,0,0,260,0,0.0,0.0,100.0,0.0,150000.0,150000.0,0.0,0.00030807658241918456,,,,,0,0.5x,0.5,0.5,0.6000632596719162
All-On-Board,4346.75646569949,121421.94992714656,260,467.00749971979445,141896346105.7374,0.0,100.0,0.3251271429311601,0.6610982650848504,0,0,260,0,0,0,100.0,0.0,0.0,0.0,28578.05007285333,28578.05007285333,0.0,0.0015503839956811415,,,,,0,0.5x,0.5,0.5,1.0
Fixed-Threshold,3102.93058452487,48075.02144767993,257,187.06234026334604,141896346105.7374,49934240241.08709,64.80935442560487,8.822536083118454,76.86289261501675,0,0,102,94,64,0,39.23076923076923,36.15384615384615,24.615384615384617,0.0,101924.97855232013,101924.97855232013,0.0,0.001181153437265983,,,,,0,0.5x,0.5,0.5,0.7138496506556733
Deadline-Energy,3769.6989720719807,29024.85450138667,260,111.63405577456412,141896346105.7374,105779966974.30736,25.452649150329123,15.415767963420148,71.4423141796664,0,0,65,0,195,0,25.0,0.0,75.0,0.0,120975.14549861343,120975.14549861343,0.0,0.011096154496324463,,,,,0,0.5x,0.5,0.5,0.8672441168073013
Priority-Aware,3656.847452089257,36011.080505279984,259,139.0389208698069,141896346105.7374,89315751073.92041,37.05563707231426,20.631380747971463,110.33912208829416,0,0,78,12,170,0,30.0,4.615384615384615,65.38461538461539,0.0,113988.91949472015,113988.91949472015,0.0,0.0013942308634376298,,,,,0,0.5x,0.5,0.5,0.8412818801664309
Heuristic-TVD,4346.75646569949,121421.94992714656,260,467.00749971979445,141896346105.7374,0.0,100.0,0.3251271429311601,0.6610982650848504,0,0,260,0,0,0,100.0,0.0,0.0,0.0,28578.05007285333,28578.05007285333,0.0,0.015762305814020623,,,,,0,0.5x,0.5,0.5,1.0
All-Downlink,2566.3119925629917,0.0,257,0.0,138183152908.2682,131685291155.26335,4.702354531828057,39.57007844914237,111.89255143557872,0,0,0,0,260,0,0.0,0.0,100.0,0.0,150000.0,150000.0,0.0,0.000314231370933927,,,,,1,0.5x,0.5,0.5,0.5860311071805581
All-On-Board,4379.139539042085,122890.3987361066,260,472.65537975425616,138183152908.2682,0.0,100.0,0.30817011953634693,0.6610982650848504,0,0,260,0,0,0,100.0,0.0,0.0,0.0,27109.601263893368,27109.601263893368,0.0,0.00041230792143883614,,,,,1,0.5x,0.5,0.5,1.0
Fixed-Threshold,3094.2363141337046,50182.33311423995,259,193.75418190826235,138183152908.2682,43894861169.01148,68.23428888024378,4.033877747579391,79.0500106006302,0,0,106,97,57,0,40.76923076923077,37.30769230769231,21.923076923076923,0.0,99817.66688576007,99817.66688576007,0.0,0.001075769138809007,,,,,1,0.5x,0.5,0.5,0.706585457382012
Deadline-Energy,3881.42572638784,34584.493706026675,260,133.01728348471798,138183152908.2682,97623791629.69403,29.35188583046674,10.28411112853179,72.25500075728323,0,0,72,0,188,0,27.692307692307693,0.0,72.3076923076923,0.0,115415.50629397346,115415.50629397346,0.0,0.010438076704024123,,,,,1,0.5x,0.5,0.5,0.886344381535027
