policy,total_value,energy_j,useful_tasks,j_per_task,raw_bits,transmitted_bits,bw_saving,median_latency_min,p95_latency_min,oom_count,energy_violation_count,on_count,pre_count,down_count,drop_count,on_pct,pre_pct,down_pct,drop_pct,residual_energy_j,min_energy_j,energy_overrun_j,mean_decision_ms,lambda_energy_final,lambda_bandwidth_final,lambda_energy_mean,lambda_bandwidth_mean,dpp_energy_queue_final,dpp_bandwidth_queue_final,seed,memory_gb,normalized_value
ActiveInf-inspired,3568.1176685115756,149995.4469045332,254,590.5332555296583,141896346105.7374,30448518722.83657,78.5417175575845,0.9832486245364028,736.8176803410713,0,0,177,28,55,0,68.07692307692308,10.76923076923077,21.153846153846153,0.0,4.5530954665696015,4.5530954665696015,0.0,0.04455807603125532,,,,,,,0,6.0,0.9228673763240764
PeakMem-inspired,3832.573318792672,91620.88969312,257,356.50151631564205,141896346105.7374,74924346130.36127,47.197832652766394,1.1445659766541212,71.4423141796664,0,0,116,0,144,0,44.61538461538461,0.0,55.38461538461539,0.0,58379.11030687993,58379.11030687993,0.0,0.023822692590049252,,,,,,,0,6.0,0.9912668840765213
PBR-adapted,3866.3385011223827,149886.37557989339,255,587.7897081564447,141896346105.7374,35302368472.91293,75.12101654357855,0.7175219706068068,76.86770202973865,0,0,181,5,74,0,69.61538461538461,1.9230769230769231,28.46153846153846,0.0,113.62442010659788,113.62442010659788,0.0,6.195094615955336,,,,,,,0,6.0,1.0
Heuristic-TVD,3801.764797609959,146870.50495040003,257,571.4805640093387,141896346105.7374,35437610687.608284,75.0257059746971,0.9832486245364028,71.31453943440867,0,0,178,16,66,0,68.46153846153847,6.153846153846154,25.384615384615383,0.0,3129.495049599957,3129.495049599957,0.0,0.017651922938127357,,,,,,,0,6.0,0.9832984867999327
ActiveInf-inspired,3692.053411811254,149971.48507365322,257,583.5466345278336,138183152908.2682,24862128324.876007,82.00784408112287,0.9832486245364028,111.8881604990192,0,0,182,31,47,0,70.0,11.923076923076923,18.076923076923077,0.0,28.514926346563726,28.514926346563726,0.0,0.03958653900414132,,,,,,,1,6.0,0.9380371696740673
PeakMem-inspired,3904.898314453495,103126.4545212801,259,398.17163907830155,138183152908.2682,67351814377.979675,51.25902618339397,0.9832486245363953,66.92749238033477,0,0,129,0,131,0,49.61538461538461,0.0,50.38461538461539,0.0,46873.54547871988,46873.54547871988,0.0,0.024655385193629906,,,,,,,1,6.0,0.9921145103255754
PBR-adapted,3935.9350899646165,149987.27693248008,259,579.1014553377609,138183152908.2682,34640196493.3514,74.93167888827445,0.6502542858623201,69.4705752306186,0,0,179,0,81,0,68.84615384615384,0.0,31.153846153846153,0.0,12.72306751993915,12.72306751993915,0.0,5.550863461730142,,,,,,,1,6.0,1.0
Heuristic-TVD,3863.048009674464,147044.31014058672,259,567.7386491914546,138183152908.2682,27768442327.131092,79.90461084241944,0.7175219706068143,64.79888611759633,0,0,183,16,61,0,70.38461538461539,6.153846153846154,23.46153846153846,0.0,2955.6898594133045,2955.6898594133045,0.0,0.01903538448879352,,,,,,,1,6.0,0.9814816355899793
ActiveInf-inspired,3599.156106704008,149997.23685781314,253,592.8744539834512,143551818802.25815,35358912248.63821,75.36853761682747,0.8230202608942061,753.8664932918881,0,0,173,32,55,0,66.53846153846153,12.307692307692308,21.153846153846153,0.0,2.7631421866076096,2.7631421866076096,0.0,0.04079499933420895,,,,,,,2,6.0,0.9394959669899329
PeakMem-inspired,3830.9436476192714,101820.75707221334,258,394.6540971791215,143551818802.25815,68952661339.54503,51.966710059921326,1.050726471318285,62.07368108576433,0,0,129,0,131,0,49.61538461538461,0.0,50.38461538461539,0.0,48179.242927786705,48179.242927786705,0.0,0.025894230706259035,,,,,,,2,6.0,1.0
