policy,total_value,energy_j,useful_tasks,j_per_task,raw_bits,transmitted_bits,bw_saving,median_latency_min,p95_latency_min,oom_count,energy_violation_count,on_count,pre_count,down_count,drop_count,on_pct,pre_pct,down_pct,drop_pct,residual_energy_j,min_energy_j,energy_overrun_j,mean_decision_ms,lambda_energy_final,lambda_bandwidth_final,lambda_energy_mean,lambda_bandwidth_mean,dpp_energy_queue_final,dpp_bandwidth_queue_final,seed,charge_power_w,normalized_value
Deadline-Energy,3747.037656026518,58049.70900277334,260,223.26811154912824,141896346105.7374,105779966974.30736,25.452649150329123,15.415767963420148,71.4423141796664,0,0,65,0,195,0,25.0,0.0,75.0,0.0,120279.32421202875,67500.0,0.0,0.00937153773310666,,,,,,,0,2.0,0.8873074341121098
EH-DORA-adapted,3796.17547439662,178227.59348303976,256,696.2015370431241,141896346105.7374,25226002025.42653,82.22223283563004,0.9832486245364028,63.07358865411409,0,0,195,17,48,0,75.0,6.538461538461538,18.46153846153846,0.0,101.43973176208212,2.669869628208289,28227.59348303976,0.027212693105236843,,,,,,,0,2.0,0.8989433864398686
Adaptive-TVD,4154.685181703023,156486.4608905599,260,601.8710034252304,141896346105.7374,48764489309.23432,65.63372444213869,0.7175219706068068,49.46060545094037,0,0,176,0,84,0,67.6923076923077,0.0,32.30769230769231,0.0,21842.57232424203,21842.57232424203,6486.460890559887,0.016734615760819558,1.106560552633529,0.0,1.0714357530213583,0.018035502958579884,,,0,2.0,0.98383933830806
Heuristic-TVD,4222.9305334018945,164438.31839914658,260,632.4550707659483,141896346105.7374,29438621033.19267,79.2534326350759,0.6502542858624414,33.17954546833036,0,0,202,0,58,0,77.6923076923077,0.0,22.307692307692307,0.0,13890.7148156554,13890.7148156554,14438.318399146578,0.014491155161522329,,,,,,,0,2.0,1.0
Deadline-Energy,3857.038359997837,69168.98741205335,260,266.03456696943596,138183152908.2682,97623791629.69403,29.35188583046674,10.28411112853179,72.25500075728323,0,0,72,0,188,0,27.692307692307693,0.0,72.3076923076923,0.0,109679.60560798782,67500.0,0.0,0.010006153360546496,,,,,,,1,2.0,0.9119790507487066
EH-DORA-adapted,3968.929357400651,178274.63398639968,260,685.6716691784603,138183152908.2682,22985565931.660225,83.36586953771491,0.721079132218559,53.19882323225991,0,0,200,15,45,0,76.92307692307692,5.769230769230769,17.307692307692307,0.0,573.9590336413108,5.197966933477375,28274.633986399684,0.02496499991348873,,,,,,,1,2.0,0.9384351645009177
Adaptive-TVD,4204.077824196261,153107.308648,260,588.8742640307693,138183152908.2682,48000837797.124985,65.26288712706535,0.7175219706068068,50.28658389241811,0,0,165,0,95,0,63.46153846153846,0.0,36.53846153846154,0.0,25741.28437204129,25741.28437204129,3107.3086480000056,0.014266538290450206,0.31410022100688195,0.0,1.333068232007604,0.018035502958579884,,,1,2.0,0.9940349422364428
Heuristic-TVD,4229.3058780586325,158192.4772258133,260,608.4326047146665,138183152908.2682,33313649459.304802,75.89167075857662,0.7130940201229048,47.70930971146344,0,0,197,0,63,0,75.76923076923077,0.0,24.23076923076923,0.0,20656.11579422798,20656.11579422798,8192.477225813287,0.013843077221491303,,,,,,,1,2.0,1.0
Deadline-Energy,3772.396708012707,71163.84858981332,260,273.70710996082045,143551818802.25815,100349432288.78314,30.09532507072311,12.860969370166428,71.43436513271442,0,0,71,1,188,0,27.307692307692307,0.38461538461538464,72.3076923076923,0.0,107471.27106225617,67500.0,0.0,0.009871922576656708,,,,,,,2,2.0,0.9012242475963448
EH-DORA-adapted,3818.059653744937,178587.16411338627,256,697.6061098179151,143551818802.25815,27129609867.815792,81.10117301600567,0.6903653243352286,65.69931941118278,0,0,199,16,45,0,76.53846153846153,6.153846153846154,17.307692307692307,0.0,47.95553868290267,10.287338179427138,28587.164113386272,0.025904230894341778,,,,,,,2,2.0,0.9121331092818489
Adaptive-TVD,4072.616248032768,158163.11532778663,260,608.3196743376409,143551818802.25815,44292207187.80642,69.14549215930263,0.7175219706068163,48.401626613933885,0,0,168,0,92,0,64.61538461538461,0.0,35.38461538461539,0.0,20472.004324282858,20472.004324282858,8163.115327786625,0.013719229900743812,1.1356395233891419,0.0,1.0552824586946954,0.0180433066532218,,,2,2.0,0.9729465901839125
Heuristic-TVD,4185.857979380899,161505.87101642654,260,621.1764269862559,143551818802.25815,36894613220.995804,74.2987490309559,0.6332972624675071,39.06039926961894,0,0,196,0,64,0,75.38461538461539,0.0,24.615384615384617,0.0,17129.248635642867,17129.248635642867,11505.871016426536,0.013934614589043822,,,,,,,2,2.0,1.0
Deadline-Energy,3844.9481927810575,71697.5270752,260,275.75971952000003,145714942829.99643,109056964346.36604,25.157322764350077,15.42668608128982,77.05464053457004,0,0,73,0,187,0,28.076923076923077,0.0,71.92307692307692,0.0,107109.41875650623,67500.0,0.0,0.009950384040936254,,,,,,,3,2.0,0.910955656296757
EH-DORA-adapted,3962.7052940802005,177864.83289103978,258,689.3985770970535,145714942829.99643,30498767318.461613,79.0695677971448,0.8551092942273195,51.17233070377877,0,0,196,7,57,0,75.38461538461539,2.6923076923076925,21.923076923076923,0.0,942.1129406663126,0.5731291461952424,27864.832891039783,0.026371537443572797,,,,,,,3,2.0,0.9388549912472169
Adaptive-TVD,4103.694776876406,153055.90815338658,260,588.6765698207176,145714942829.99643,51170270352.4769,64.88330616018116,0.8868006957718535,58.041837417679396,0,0,165,0,95,0,63.46153846153846,0.0,36.53846153846154,0.0,25751.03767831957,25704.161880879572,3055.908153386583,0.014542309733000226,0.20775901348167247,0.0,1.5680350994885064,0.018035502958579884,,,3,2.0,0.9722586056503177
Heuristic-TVD,4220.785244818228,156227.03288415988,260,600.8732034006149,145714942829.99643,38469427171.227745,73.59953178164473,0.7210791322186196,48.86435660430701,0,0,188,0,72,0,72.3076923076923,0.0,27.692307692307693,0.0,22579.912947546283,19475.083342452104,6227.032884159882,0.014313076546666427,,,,,,,3,2.0,1.0
Deadline-Energy,3856.879439805607,72710.54138586667,260,279.6559284071795,143751290598.0329,96634432667.29465,32.77665037630138,11.325929860212394,73.14807775617477,0,0,79,1,180,0,30.384615384615383,0.38461538461538464,69.23076923076923,0.0,106144.90148340727,67500.0,0.0,0.009395383844653575,,,,,,,4,2.0,0.8977434914926932
EH-DORA-adapted,3862.5712088380265,178815.25966746637,259,690.4064079824956,143751290598.0329,27955169700.494637,80.55310002143578,0.9832486245364028,74.22889665842,0,0,194,17,49,0,74.61538461538461,6.538461538461538,18.846153846153847,0.0,40.18320180734037,1.9267346878688159,28815.259667466365,0.02696884632594167,,,,,,,4,2.0,0.8990683316085646
Adaptive-TVD,4198.2111777082555,157230.5810377599,260,604.7330039913842,143751290598.0329,44955282687.22673,68.7270406406759,1.0218073941260324,54.85281189793013,0,0,170,0,90,0,65.38461538461539,0.0,34.61538461538461,0.0,21624.86183151397,21624.86183151397,7230.581037759897,0.015499999706382649,1.131020643585385,0.0,1.1329638661676882,0.0180384909627544,,,4,2.0,0.9771933034259997
Heuristic-TVD,4296.193151334029,168964.88152383993,260,649.8649289378459,143751290598.0329,27693147646.380898,80.73537459651868,0.8176039743769555,46.653861546065336,0,0,202,0,58,0,77.6923076923077,0.0,22.307692307692307,0.0,9890.561345433967,9890.561345433967,18964.881523839926,0.014516924476573387,,,,,,,4,2.0,1.0
Deadline-Energy,3736.392823105972,55724.94501317332,260,214.32671158912814,145966253614.7567,115042162606.88376,21.185781125471483,16.026909080403055,71.36271956499577,0,0,59,1,200,0,22.692307692307693,0.38461538461538464,76.92307692307692,0.0,123027.12587194366,66904.9364494235,0.0,0.010499998909206344,,,,,,,5,2.0,0.8971834307911283
EH-DORA-adapted,3933.182393055599,178373.70265082657,260,686.0527025031791,145966253614.7567,31164022729.936672,78.64984408506727,0.8977312939156339,31.061287303140546,0,0,196,11,53,0,75.38461538461539,4.230769230769231,20.384615384615383,0.0,378.3682342903578,24.23389889873772,28373.70265082657,0.025307692479915343,,,,,,,5,2.0,0.9444365837303713
