charge_power_w,policy,normalized_value_mean,normalized_value_ci95,total_value_mean,total_value_ci95,energy_j_mean,energy_j_ci95,median_latency_min_mean,median_latency_min_ci95,p95_latency_min_mean,p95_latency_min_ci95,mean_decision_ms_mean,mean_decision_ms_ci95,oom_count_mean,oom_count_ci95,energy_violation_count_mean,energy_violation_count_ci95,on_pct_mean,on_pct_ci95,pre_pct_mean,pre_pct_ci95,down_pct_mean,down_pct_ci95,drop_pct_mean,drop_pct_ci95,min_energy_j_mean,min_energy_j_ci95
2.0,Adaptive-TVD,0.9796582792389522,0.005290529279802684,4146.138185915744,40.80355079581142,153596.4786886826,1713.2422835572886,0.9133396310112827,0.08892451530381247,53.09302551928803,3.616699831271759,0.014822731240061468,0.0006316789521218165,0.0,0.0,0.0,0.0,63.30769230769231,1.8265975598439517,0.0,0.0,36.69230769230769,1.826597559843951,0.0,0.0,25264.242363278816,1838.2551117530095
2.0,Deadline-Energy,0.9041618805281015,0.0063079422799568715,3826.7720138921723,47.05563370100042,66667.673452016,4130.859172709681,12.91889049790974,1.3941941952452108,72.01229412018863,1.8028297362482817,0.009851153378034584,0.0002197136489991705,0.0,0.0,0.0,0.0,26.923076923076923,1.2959918993910842,0.19230769230769232,0.12564102564102564,72.88461538461537,1.2874374039282577,0.0,0.0,67440.49364494234,116.632455912993
2.0,EH-DORA-adapted,0.9196114658831313,0.01042055480841097,3891.774021461035,46.65042262279754,178641.52201761573,283.8382495100624,0.9140894331094417,0.07545646226802058,58.16339079363895,7.556500319871328,0.026078807557216633,0.0005259267136202589,0.0,0.0,0.0,0.0,75.11538461538461,0.8708291785712902,5.192307692307692,0.739042684433625,19.692307692307693,1.2040580081740226,0.0,0.0,7.593942710783628,5.099062462928225
2.0,Heuristic-TVD,1.0,0.0,4232.301671046289,38.393714845237646,160239.8059795412,2955.489531478148,0.7844555206193516,0.08096582385633946,45.05732377669074,3.865517113497569,0.014502192509378523,0.0003337700121111602,0.0,0.0,0.0,0.0,74.57692307692308,1.878574935152243,0.07692307692307693,0.15076923076923077,25.346153846153847,1.8377979705807197,0.0,0.0,18146.343136826785,2740.5697854819186
5.0,Adaptive-TVD,0.9605877866717775,0.004502586710452842,4170.580231544661,38.23593740047109,153493.01865398395,2481.5849209511193,0.8880263471348364,0.08707079503250618,53.41030262909485,4.288189728050511,0.014084038109733507,0.0002658529577879502,0.0,0.0,0.0,0.0,63.88461538461538,1.9543541300762812,0.0,0.0,36.11538461538462,1.9543541300762821,0.0,0.0,67089.13255819128,538.1642508012569
5.0,Deadline-Energy,0.8813466303709985,0.00530432167465582,3826.7720138921723,47.05563370100042,66667.673452016,4130.859172709681,12.91889049790974,1.3941941952452108,72.01229412018863,1.8028297362482817,0.010178846378739063,0.0004706329046698932,0.0,0.0,0.0,0.0,26.923076923076923,1.2959918993910842,0.19230769230769232,0.12564102564102564,72.88461538461537,1.2874374039282577,0.0,0.0,67500.0,0.0
5.0,EH-DORA-adapted,0.9999977125402045,3.1888865567797303e-06,4341.770175214665,38.51177550478405,247581.46071588248,3797.6379091374424,0.6732306089095088,0.02127534721708018,1.4007235308697805,0.031726538221135185,0.025969730777433142,0.00046945748070013253,0.0,0.0,0.0,0.0,99.96153846153847,0.07538461538461581,0.0,0.0,0.038461538461538464,0.07538461538461538,0.0,0.0,66006.90316401455,1550.2031515925812
5.0,Heuristic-TVD,0.999844368618367,0.00014957359415093896,4341.110973904522,38.82734075680238,245403.65642058649,3858.3700737709023,0.6690484268037562,0.020629933831544277,1.4032039788095354,0.0306793105786496,0.014248923163484925,0.0003945364865216646,0.0,0.0,0.0,0.0,99.57692307692308,0.1758974358974369,0.0,0.0,0.4230769230769232,0.17589743589743592,0.0,0.0,66212.92195339056,1194.2614571849654
10.0,Adaptive-TVD,0.9624821133503005,0.005011237707651156,4178.9004709098845,44.064183697087664,153570.77012325329,2477.558143092484,0.9003022053876448,0.09778667366598062,53.94129932927556,3.8996746285165376,0.014914808080692846,0.0005218531443419313,0.0,0.0,0.0,0.0,63.80769230769231,2.157077490601629,0.0,0.0,36.19230769230769,2.15707749060163,0.0,0.0,67310.1691503881,318.70798103065033
10.0,Deadline-Energy,0.8813486371403458,0.005303675949264649,3826.7720138921723,47.05563370100042,66667.673452016,4130.859172709681,12.91889049790974,1.3941941952452108,72.01229412018863,1.8028297362482817,0.01012188477593904,0.00034368107360991133,0.0,0.0,0.0,0.0,26.923076923076923,1.2959918993910842,0.19230769230769232,0.12564102564102564,72.88461538461537,1.2874374039282577,0.0,0.0,67500.0,0.0
10.0,EH-DORA-adapted,1.0,0.0,4341.770175214665,38.51177550478405,247581.46071588248,3797.6379091374424,0.6732306089095088,0.02127534721708018,1.4007235308697805,0.031726538221135185,0.026319576998223338,0.0005063601942250175,0.0,0.0,0.0,0.0,99.96153846153847,0.07538461538461581,0.0,0.0,0.038461538461538464,0.07538461538461538,0.0,0.0,67310.1691503881,318.70798103065033
10.0,Heuristic-TVD,0.9999575109463595,8.327854513521426e-05,4341.588625881253,38.6518466591737,247717.61138574913,3823.016374861295,0.6732306089095104,0.021275347217080118,1.4008845092960507,0.03155758493727873,0.014726500017926669,0.0005912223824123946,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67310.1691503881,318.70798103065033
