tasks,requested_windows,mean_decision_ms_mean,mean_decision_ms_ci95,wall_s_mean,wall_s_ci95,decisions_per_s_mean,decisions_per_s_ci95,total_value_mean,total_value_ci95,energy_j_mean,energy_j_ci95
260,16,0.013913423161004457,0.00040449465456489874,0.42748207999684384,0.006435980233291371,608.5353979206291,9.15315343252921,2866.2166894076936,84.69885429571433,149874.21899281588,49.90676533816653
260,64,0.0199476538266306,0.00030068829160787784,0.4363166999944951,0.0028530956328104997,595.9567994620977,3.8756927714809937,3413.6489032169943,117.6776013333897,149834.42045686924,78.38937343300567
260,256,0.04147903896339882,0.0006425723154715562,0.4445204299932811,0.0036573731604396744,584.9929747721242,4.824428738195857,4071.069929338109,46.73641281761443,136520.8476380479,1212.9646075492142
260,1024,0.11618373070422632,0.0032379024011019403,0.4651615100039635,0.0034466099805285175,559.0170980889976,4.11657846695302,4224.100467755707,36.308448859382416,131576.98210855463,717.4085433787659
1000,16,0.0130894000234548,0.0011119183424300734,1.6644970599969384,0.010276414764446433,600.8364793997383,3.761599337202668,2858.531372684025,45.36442121415547,149879.05249307194,85.5798908877855
1000,64,0.020759569929214194,0.0009489599618151076,1.6286317099962617,0.013125060896958234,614.1059259431471,4.956274392416014,3162.022153051485,71.61596844224486,149859.73241901328,63.57487871718816
1000,256,0.049406990021816456,0.00027060448284680174,1.6956298199977027,0.01345864474464108,589.8378832834794,4.652907897078473,4016.91871195765,106.20907821538613,149809.94885239462,63.858152161220744
1000,1024,0.11741643994755577,0.0010670717835567548,1.8174476600048366,0.010547688935940448,550.2656061293454,3.1946200512430036,15265.361621775228,197.9256182094577,144706.00840273578,1764.880362775344
2500,16,0.013002999875461682,0.0012434389628922546,4.120586370004458,0.046218101947560146,606.8859888520508,6.707791118970357,2504.4504986314896,131.9102305451325,149914.4521467466,50.6449466856605
2500,64,0.02272088003344834,0.0001730784530538683,4.175330639997265,0.04114077560273963,598.8920642422527,5.938943654289421,2785.9147084898045,141.42400205148311,149795.60213755193,65.44361419780968
2500,256,0.055499244002858175,0.0005395271957216212,4.300678060000064,0.048166206558962116,581.475331900727,6.54225081223264,3617.754694826495,139.69898003346313,149868.82742961595,50.93725133484253
2500,1024,0.15072129995329303,0.013382037124998636,4.650506099994527,0.06839524057213041,537.8530321912765,8.045527064923919,7324.33133206719,230.57617128923627,149835.84841424524,95.6810922684444
5000,16,0.01323877591989003,0.0010231944985448105,8.203175249998457,0.09638983413915907,609.7182899642054,7.201111823275026,2120.0496098306785,82.07240715220321,149878.49809758924,57.48932032165262
5000,64,0.022177738028694875,0.0016395419030259596,8.325977700002841,0.0826656142649065,600.6684553849361,5.949369889795596,2269.3582132618753,95.23710075050288,149892.435027136,66.52547673219777
5000,256,0.05801820595981553,0.0005389629401775498,8.655545200005871,0.0609092000472449,577.7317027934309,4.084804693258068,2874.5582809339207,139.21272953553847,149869.49765193596,50.2717718828218
5000,1024,0.14682246599171778,0.026110856335383882,9.330666560001555,0.15539524536422833,536.2176220562367,8.979699432945846,5463.687441578212,193.7483844790467,149897.67152688527,72.91647222271457
