backend,image,label,selector,rho,mask_count_raw,mask_count_filtered,fallback_full,sam_latency_ms
mobile_sam,data/eurosat/2750/Industrial/Industrial_1356.jpg,Industrial,sam_top1,0.010009765625,16,15,0,2583.5696114227176
mobile_sam,data/eurosat/2750/Industrial/Industrial_1356.jpg,Industrial,sam_top3,0.027099609375,16,15,0,2583.5696114227176
mobile_sam,data/eurosat/2750/Industrial/Industrial_1356.jpg,Industrial,sam_top5,0.03466796875,16,15,0,2583.5696114227176
mobile_sam,data/eurosat/2750/Industrial/Industrial_1356.jpg,Industrial,sam_all_filtered,0.161865234375,16,15,0,2583.5696114227176
mobile_sam,data/eurosat/2750/Industrial/Industrial_685.jpg,Industrial,sam_top1,0.009521484375,8,7,0,145.01976687461138
mobile_sam,data/eurosat/2750/Industrial/Industrial_685.jpg,Industrial,sam_top3,0.04052734375,8,7,0,145.01976687461138
mobile_sam,data/eurosat/2750/Industrial/Industrial_685.jpg,Industrial,sam_top5,0.07080078125,8,7,0,145.01976687461138
mobile_sam,data/eurosat/2750/Industrial/Industrial_685.jpg,Industrial,sam_all_filtered,0.08056640625,8,7,0,145.01976687461138
mobile_sam,data/eurosat/2750/Pasture/Pasture_1517.jpg,Pasture,sam_top1,0.099609375,7,6,0,155.15636280179024
mobile_sam,data/eurosat/2750/Pasture/Pasture_1517.jpg,Pasture,sam_top3,0.144287109375,7,6,0,155.15636280179024
mobile_sam,data/eurosat/2750/Pasture/Pasture_1517.jpg,Pasture,sam_top5,0.57177734375,7,6,0,155.15636280179024
mobile_sam,data/eurosat/2750/Pasture/Pasture_1517.jpg,Pasture,sam_all_filtered,0.583740234375,7,6,0,155.15636280179024
mobile_sam,data/eurosat/2750/AnnualCrop/AnnualCrop_958.jpg,AnnualCrop,sam_top1,0.033447265625,13,13,0,249.32848382741213
mobile_sam,data/eurosat/2750/AnnualCrop/AnnualCrop_958.jpg,AnnualCrop,sam_top3,0.12646484375,13,13,0,249.32848382741213
mobile_sam,data/eurosat/2750/AnnualCrop/AnnualCrop_958.jpg,AnnualCrop,sam_top5,0.399658203125,13,13,0,249.32848382741213
mobile_sam,data/eurosat/2750/AnnualCrop/AnnualCrop_958.jpg,AnnualCrop,sam_all_filtered,0.931884765625,13,13,0,249.32848382741213
mobile_sam,data/eurosat/2750/AnnualCrop/AnnualCrop_2147.jpg,AnnualCrop,sam_top1,0.148193359375,8,7,0,125.37548132240772
mobile_sam,data/eurosat/2750/AnnualCrop/AnnualCrop_2147.jpg,AnnualCrop,sam_top3,0.43701171875,8,7,0,125.37548132240772
mobile_sam,data/eurosat/2750/AnnualCrop/AnnualCrop_2147.jpg,AnnualCrop,sam_top5,0.55859375,8,7,0,125.37548132240772
mobile_sam,data/eurosat/2750/AnnualCrop/AnnualCrop_2147.jpg,AnnualCrop,sam_all_filtered,0.563232421875,8,7,0,125.37548132240772
mobile_sam,data/eurosat/2750/HerbaceousVegetation/HerbaceousVegetation_1869.jpg,HerbaceousVegetation,sam_top1,0.120849609375,2,1,0,89.30736873298883
mobile_sam,data/eurosat/2750/HerbaceousVegetation/HerbaceousVegetation_1869.jpg,HerbaceousVegetation,sam_top3,0.120849609375,2,1,0,89.30736873298883
mobile_sam,data/eurosat/2750/HerbaceousVegetation/HerbaceousVegetation_1869.jpg,HerbaceousVegetation,sam_top5,0.120849609375,2,1,0,89.30736873298883
mobile_sam,data/eurosat/2750/HerbaceousVegetation/HerbaceousVegetation_1869.jpg,HerbaceousVegetation,sam_all_filtered,0.120849609375,2,1,0,89.30736873298883
mobile_sam,data/eurosat/2750/PermanentCrop/PermanentCrop_1332.jpg,PermanentCrop,sam_top1,0.01708984375,5,4,0,93.30775309354067
mobile_sam,data/eurosat/2750/PermanentCrop/PermanentCrop_1332.jpg,PermanentCrop,sam_top3,0.087890625,5,4,0,93.30775309354067
mobile_sam,data/eurosat/2750/PermanentCrop/PermanentCrop_1332.jpg,PermanentCrop,sam_top5,0.091552734375,5,4,0,93.30775309354067
mobile_sam,data/eurosat/2750/PermanentCrop/PermanentCrop_1332.jpg,PermanentCrop,sam_all_filtered,0.091552734375,5,4,0,93.30775309354067
mobile_sam,data/eurosat/2750/SeaLake/SeaLake_2344.jpg,SeaLake,sam_top1,1.0,1,1,0,103.39865740388632
mobile_sam,data/eurosat/2750/SeaLake/SeaLake_2344.jpg,SeaLake,sam_top3,1.0,1,1,0,103.39865740388632
mobile_sam,data/eurosat/2750/SeaLake/SeaLake_2344.jpg,SeaLake,sam_top5,1.0,1,1,0,103.39865740388632
mobile_sam,data/eurosat/2750/SeaLake/SeaLake_2344.jpg,SeaLake,sam_all_filtered,1.0,1,1,0,103.39865740388632
mobile_sam,data/eurosat/2750/Forest/Forest_1272.jpg,Forest,sam_top1,1.0,1,1,0,97.40033373236656
mobile_sam,data/eurosat/2750/Forest/Forest_1272.jpg,Forest,sam_top3,1.0,1,1,0,97.40033373236656
mobile_sam,data/eurosat/2750/Forest/Forest_1272.jpg,Forest,sam_top5,1.0,1,1,0,97.40033373236656
mobile_sam,data/eurosat/2750/Forest/Forest_1272.jpg,Forest,sam_all_filtered,1.0,1,1,0,97.40033373236656
mobile_sam,data/eurosat/2750/Pasture/Pasture_1270.jpg,Pasture,sam_top1,0.013427734375,6,5,0,123.28947708010674
mobile_sam,data/eurosat/2750/Pasture/Pasture_1270.jpg,Pasture,sam_top3,0.11572265625,6,5,0,123.28947708010674
mobile_sam,data/eurosat/2750/Pasture/Pasture_1270.jpg,Pasture,sam_top5,0.388916015625,6,5,0,123.28947708010674
mobile_sam,data/eurosat/2750/Pasture/Pasture_1270.jpg,Pasture,sam_all_filtered,0.388916015625,6,5,0,123.28947708010674
mobile_sam,data/eurosat/2750/Pasture/Pasture_1265.jpg,Pasture,sam_top1,0.008056640625,7,6,0,130.22785354405642
mobile_sam,data/eurosat/2750/Pasture/Pasture_1265.jpg,Pasture,sam_top3,0.043701171875,7,6,0,130.22785354405642
mobile_sam,data/eurosat/2750/Pasture/Pasture_1265.jpg,Pasture,sam_top5,0.375,7,6,0,130.22785354405642
mobile_sam,data/eurosat/2750/Pasture/Pasture_1265.jpg,Pasture,sam_all_filtered,0.493896484375,7,6,0,130.22785354405642
mobile_sam,data/eurosat/2750/Residential/Residential_1948.jpg,Residential,sam_top1,0.008544921875,9,7,0,111.5677272900939
mobile_sam,data/eurosat/2750/Residential/Residential_1948.jpg,Residential,sam_top3,0.05615234375,9,7,0,111.5677272900939
mobile_sam,data/eurosat/2750/Residential/Residential_1948.jpg,Residential,sam_top5,0.08154296875,9,7,0,111.5677272900939
mobile_sam,data/eurosat/2750/Residential/Residential_1948.jpg,Residential,sam_all_filtered,0.091796875,9,7,0,111.5677272900939
mobile_sam,data/eurosat/2750/River/River_2086.jpg,River,sam_top1,0.155517578125,4,4,0,97.76915889233351
mobile_sam,data/eurosat/2750/River/River_2086.jpg,River,sam_top3,0.57080078125,4,4,0,97.76915889233351
mobile_sam,data/eurosat/2750/River/River_2086.jpg,River,sam_top5,0.986328125,4,4,0,97.76915889233351
mobile_sam,data/eurosat/2750/River/River_2086.jpg,River,sam_all_filtered,0.986328125,4,4,0,97.76915889233351
mobile_sam,data/eurosat/2750/HerbaceousVegetation/HerbaceousVegetation_783.jpg,HerbaceousVegetation,sam_top1,0.090576171875,4,2,0,135.4926573112607
mobile_sam,data/eurosat/2750/HerbaceousVegetation/HerbaceousVegetation_783.jpg,HerbaceousVegetation,sam_top3,0.096435546875,4,2,0,135.4926573112607
mobile_sam,data/eurosat/2750/HerbaceousVegetation/HerbaceousVegetation_783.jpg,HerbaceousVegetation,sam_top5,0.096435546875,4,2,0,135.4926573112607
mobile_sam,data/eurosat/2750/HerbaceousVegetation/HerbaceousVegetation_783.jpg,HerbaceousVegetation,sam_all_filtered,0.096435546875,4,2,0,135.4926573112607
mobile_sam,data/eurosat/2750/Forest/Forest_2666.jpg,Forest,sam_top1,1.0,1,1,0,116.84224661439657
