policy,total_value,energy_j,useful_tasks,j_per_task,raw_bits,transmitted_bits,bw_saving,median_latency_min,p95_latency_min,oom_count,energy_violation_count,on_count,pre_count,down_count,drop_count,on_pct,pre_pct,down_pct,drop_pct,residual_energy_j,min_energy_j,energy_overrun_j,mean_decision_ms,lambda_energy_final,lambda_bandwidth_final,lambda_energy_mean,lambda_bandwidth_mean,seed,variant,task_count,mpc_horizon_h,normalized_value
Deadline-Energy,902.114469560213,22313.25393488,60,371.8875655813333,32169295884.08002,20027122339.797615,37.744604631807746,3.224687690822991,68.44645567782933,0,0,21,1,38,0,35.0,1.6666666666666667,63.333333333333336,0.0,127686.74606512,127686.74606512,0.0,0.007955000425378481,,,,,0,Deadline-Energy,60,6.0,0.8805208061285651
Priority-Aware,798.6757517502829,19411.848559466667,60,323.5308093244445,32169295884.08002,13582005431.157787,57.77959990141013,14.891252228540429,765.3174332256876,0,0,19,4,37,0,31.666666666666668,6.666666666666667,61.666666666666664,0.0,130588.15144053337,130588.15144053337,0.0,0.0017016660422086716,,,,,0,Priority-Aware,60,6.0,0.7795580721694181
Heuristic-TVD,1023.3777186331589,69692.79796544,60,1161.5466327573333,32169295884.08002,0.0,100.0,0.7830388986586665,1.397037843198086,0,0,60,0,0,0,100.0,0.0,0.0,0.0,80307.20203456003,80307.20203456003,0.0,0.012034998993234089,,,,,0,Heuristic-TVD,60,6.0,0.9988814104979117
MPC-3,1024.5237401335125,60260.155163519994,60,1004.3359193919999,32169295884.08002,4589012208.38,85.73480680175219,0.6502542858624414,1.397037843198086,0,0,52,0,8,0,86.66666666666667,0.0,13.333333333333334,0.0,89739.84483648001,89739.84483648001,0.0,65.58969333467151,,,,,0,MPC-3,60,6.0,1.0
MPC-5,1024.5237401335125,60260.155163519994,60,1004.3359193919999,32169295884.08002,4589012208.38,85.73480680175219,0.6502542858624414,1.397037843198086,0,0,52,0,8,0,86.66666666666667,0.0,13.333333333333334,0.0,89739.84483648001,89739.84483648001,0.0,921.8541116647733,,,,,0,MPC-5,60,6.0,1.0
Deadline-Energy,910.2533286316561,18835.40012256,60,313.923335376,30279376129.08423,19207000044.745403,36.56738513084318,5.429031863453156,56.675459668699375,0,0,21,0,39,0,35.0,0.0,65.0,0.0,131164.59987744002,131164.59987744002,0.0,0.007336665294133127,,,,,1,Deadline-Energy,60,6.0,0.9008210331004722
Priority-Aware,798.1166940185825,18717.98587408,60,311.9664312346667,30279376129.08423,13194741845.670944,56.423336499998065,10.559264221430142,770.3597148411213,0,0,22,1,37,0,36.666666666666664,1.6666666666666667,61.666666666666664,0.0,131282.01412592005,131282.01412592005,0.0,0.0014150020433589816,,,,,1,Priority-Aware,60,6.0,0.7898463891599655
Heuristic-TVD,1007.0720358386423,56840.8831168,60,947.3480519466667,30279376129.08423,0.0,100.0,0.7175219706068068,1.2834209272177441,0,0,60,0,0,0,100.0,0.0,0.0,0.0,93159.11688320005,93159.11688320005,0.0,0.012141665016921857,,,,,1,Heuristic-TVD,60,6.0,0.9966364782148097
MPC-3,1010.4707763080526,50203.084067946664,60,836.718067799111,30279376129.08423,1970159893.2878072,93.49339337478816,0.6502542858624414,1.2785390975696844,0,0,54,0,6,0,90.0,0.0,10.0,0.0,99796.91593205338,99796.91593205338,0.0,64.38089833100094,,,,,1,MPC-3,60,6.0,1.0
MPC-5,1010.4707763080526,50203.084067946664,60,836.718067799111,30279376129.08423,1970159893.2878072,93.49339337478816,0.6502542858624414,1.2785390975696844,0,0,54,0,6,0,90.0,0.0,10.0,0.0,99796.91593205338,99796.91593205338,0.0,921.0628216669041,,,,,1,MPC-5,60,6.0,1.0
Deadline-Energy,942.7403399763656,27028.00710005333,60,450.4667850008889,29680024691.517746,17195428830.63564,42.063967232648835,1.1345482327128593,68.9904967947319,0,0,28,0,32,0,46.666666666666664,0.0,53.333333333333336,0.0,122971.99289994666,122971.99289994666,0.0,0.0073500001841845615,,,,,2,Deadline-Energy,60,6.0,0.9162560001066883
Priority-Aware,846.1181017149306,25046.467404053332,59,424.51639667887,29680024691.517746,12192201076.849373,58.921189575917765,9.550179719990972,757.5266924886117,0,0,27,2,31,0,45.0,3.3333333333333335,51.666666666666664,0.0,124953.53259594666,124953.53259594666,0.0,0.0015166685140381257,,,,,2,Priority-Aware,60,6.0,0.8223481637739424
Heuristic-TVD,1025.8576608781455,56106.172485760006,60,935.1028747626667,29680024691.517746,0.0,100.0,0.6108747008860367,1.3221965301696097,0,0,60,0,0,0,100.0,0.0,0.0,0.0,93893.82751424002,93893.82751424002,0.0,0.011458332786181321,,,,,2,Heuristic-TVD,60,6.0,0.9970383117991721
MPC-3,1028.9049565477262,51726.5020496,60,862.1083674933333,29680024691.517746,2006933811.6765933,93.23809925181715,0.5808562617726541,1.3221965301696097,0,0,56,0,4,0,93.33333333333333,0.0,6.666666666666667,0.0,98273.49795040004,98273.49795040004,0.0,63.6190433355902,,,,,2,MPC-3,60,6.0,1.0
MPC-5,1028.9049565477262,51726.5020496,60,862.1083674933333,29680024691.517746,2006933811.6765933,93.23809925181715,0.5808562617726541,1.3221965301696097,0,0,56,0,4,0,93.33333333333333,0.0,6.666666666666667,0.0,98273.49795040004,98273.49795040004,0.0,923.519893332074,,,,,2,MPC-5,60,6.0,1.0
Deadline-Energy,882.0389016466064,15987.47539178667,60,266.4579231964445,35926317175.289,25043624518.52526,30.291701216313715,11.31182862389957,72.65723221793999,0,0,19,0,41,0,31.666666666666668,0.0,68.33333333333333,0.0,134012.52460821343,134012.52460821343,0.0,0.0077250001292365296,,,,,3,Deadline-Energy,60,6.0,0.8873781572766782
Priority-Aware,815.2798933495383,12668.835518453336,60,211.14725864088894,35926317175.289,24156222503.62502,32.76176239895733,23.856005920987847,759.5611079662875,0,0,15,3,42,0,25.0,5.0,70.0,0.0,137331.16448154673,137331.16448154673,0.0,0.0014299982770656545,,,,,3,Priority-Aware,60,6.0,0.8202150359521204
