policy,total_value,energy_j,useful_tasks,j_per_task,raw_bits,transmitted_bits,bw_saving,median_latency_min,p95_latency_min,oom_count,energy_violation_count,on_count,pre_count,down_count,drop_count,on_pct,pre_pct,down_pct,drop_pct,residual_energy_j,min_energy_j,energy_overrun_j,mean_decision_ms,lambda_energy_final,lambda_bandwidth_final,lambda_energy_mean,lambda_bandwidth_mean,seed,horizon_h,sweep_type,sweep_value,sweep_label,downlink_rate_mbps,visible_min,normalized_value
All-Downlink,253.62814194671046,0.0,183,0.0,141896346105.7374,42237802927.414314,70.23333997907189,955.3086981082138,1597.047918234173,0,0,0,0,260,0,0.0,0.0,100.0,0.0,150000.0,150000.0,0.0,0.0003146155414959559,,,,,0,24,rate,5.0,5 Mbps,5.0,10.0,0.07263827463070958
All-On-Board,2495.4586920317124,149948.95533034668,152,986.5062850680703,141896346105.7374,0.0,100.0,1.2723023214839486,1149.2038027363044,0,108,152,0,0,108,58.46153846153846,0.0,0.0,41.53846153846154,51.044669653337905,51.044669653337905,0.0,0.0004423078140602089,,,,,0,24,rate,5.0,5 Mbps,5.0,10.0,0.7146912499933719
Fixed-Threshold,2620.610066588996,94471.08069536008,247,382.474010912389,141896346105.7374,40427041497.70985,71.50945559402588,103.09404653051227,918.1537454826127,0,0,102,94,64,0,39.23076923076923,36.15384615384615,24.615384615384617,0.0,55528.919304639734,55528.919304639734,0.0,0.0010946149884078365,,,,,0,24,rate,5.0,5 Mbps,5.0,10.0,0.7505341964650327
Deadline-Energy,3491.6597790372493,149948.7886779732,255,588.0344654038165,141896346105.7374,42237802927.414505,70.23333997907176,1.079645548510598,727.5653222155233,0,0,165,18,77,0,63.46153846153846,6.923076923076923,29.615384615384617,0.0,51.211322026634065,51.211322026634065,0.0,0.012737691465120476,,,,,0,24,rate,5.0,5 Mbps,5.0,10.0,1.0
Priority-Aware,1949.078861043738,71807.82541055996,255,281.59931533552924,141896346105.7374,40759979788.39454,71.27482073567893,482.73444709085805,1355.823557559319,0,0,78,12,170,0,30.0,4.615384615384615,65.38461538461539,0.0,78192.17458944001,78192.17458944001,0.0,0.0017769223911902653,,,,,0,24,rate,5.0,5 Mbps,5.0,10.0,0.5582098441392692
Heuristic-TVD,3130.7520489933554,149827.30330069334,238,629.5264844566947,141896346105.7374,19856011402.918327,86.00667885547796,1.1445659766542424,885.1027301656624,0,0,165,8,87,0,63.46153846153846,3.076923076923077,33.46153846153846,0.0,172.69669930665486,172.69669930665486,0.0,0.01496961407470875,,,,,0,24,rate,5.0,5 Mbps,5.0,10.0,0.8966372003908678
All-Downlink,210.39292162280307,0.0,178,0.0,138183152908.2682,40693201013.332565,70.5512574023069,1065.8573128987155,1724.023871517034,0,0,0,0,260,0,0.0,0.0,100.0,0.0,150000.0,150000.0,0.0,0.0003253842945783757,,,,,1,24,rate,5.0,5 Mbps,5.0,10.0,0.06186405931262903
All-On-Board,2718.6959638506332,149948.73988490662,161,931.358632825507,138183152908.2682,0.0,100.0,1.1894509169151812,1209.5554866509997,0,99,161,0,0,99,61.92307692307692,0.0,0.0,38.07692307692308,51.260115093307604,51.260115093307604,0.0,0.00039769242553470226,,,,,1,24,rate,5.0,5 Mbps,5.0,10.0,0.7994069717905937
Fixed-Threshold,2665.3914445479695,98632.12012848012,253,389.85027718766844,138183152908.2682,39759109201.01355,71.22723836862563,80.6846129090649,787.5253402564879,0,0,106,97,57,0,40.76923076923077,37.30769230769231,21.923076923076923,0.0,51367.879871519785,51367.879871519785,0.0,0.001129229964974981,,,,,1,24,rate,5.0,5 Mbps,5.0,10.0,0.7837332793567615
Deadline-Energy,3366.6942285785967,149926.19151919984,254,590.2605965322829,138183152908.2682,40693201013.33248,70.55125740230696,1.1894509169151812,756.9249602417802,0,0,159,23,78,0,61.15384615384615,8.846153846153847,30.0,0.0,73.80848079994902,73.80848079994902,0.0,0.010145383958633129,,,,,1,24,rate,5.0,5 Mbps,5.0,10.0,0.9899447654312072
Priority-Aware,2076.361325917777,81370.69273706671,258,315.39028192661516,138183152908.2682,40449172989.75605,70.72785492410358,423.70399783761985,1400.4803240550839,0,0,87,10,163,0,33.46153846153846,3.8461538461538463,62.69230769230769,0.0,68629.3072629333,68629.3072629333,0.0,0.001628846803214401,,,,,1,24,rate,5.0,5 Mbps,5.0,10.0,0.610534514327997
Heuristic-TVD,3400.890985177449,149947.0875130666,247,607.0732287978404,138183152908.2682,20475093791.896816,85.18264103766032,1.0796455485105374,929.3989918173896,0,0,170,2,88,0,65.38461538461539,0.7692307692307693,33.84615384615385,0.0,52.91248693330135,52.91248693330135,0.0,0.015396923901369939,,,,,1,24,rate,5.0,5 Mbps,5.0,10.0,1.0
All-Downlink,259.18919890193575,0.0,190,0.0,143551818802.25815,41827812369.168304,70.86222054296233,981.1771902549664,1652.7559896255154,0,0,0,0,260,0,0.0,0.0,100.0,0.0,150000.0,150000.0,0.0,0.0003088464906725746,,,,,2,24,rate,5.0,5 Mbps,5.0,10.0,0.07634621996484131
All-On-Board,2606.552789094082,149988.82686965325,159,943.3259551550518,143551818802.25815,0.0,100.0,1.1445659766542349,1232.274889842713,0,101,159,0,0,101,61.15384615384615,0.0,0.0,38.84615384615385,11.173130346692119,11.173130346692119,0.0,0.00044230680661992385,,,,,2,24,rate,5.0,5 Mbps,5.0,10.0,0.7677806537819473
