model,scale_b,quant,context_len,prefill_tokens,decode_tokens,prefill_j_per_tok,decode_j_per_tok,tokens_per_sec,peak_mem_gb,gpu_power_w,seed,run_id
/root/autodl-tmp/models/Qwen3-1.7B,1.7,FP16,1024,1024,128,0.0,2.5405595,37.2311,4.016,94.588,0,remote_4090_1782891332
/root/autodl-tmp/models/Qwen3-1.7B,1.7,FP16,1024,1024,128,0.00192927,3.02792713,38.0612,4.016,115.246,1,remote_4090_1782891336
/root/autodl-tmp/models/Qwen3-1.7B,1.7,FP16,1024,1024,128,0.0,2.95458569,39.8731,4.016,117.809,2,remote_4090_1782891339
/root/autodl-tmp/models/Qwen3-1.7B,1.7,FP16,2048,2048,128,0.00199953,3.17130092,39.515,4.8192,125.314,0,remote_4090_1782891342
/root/autodl-tmp/models/Qwen3-1.7B,1.7,FP16,2048,2048,128,0.00205547,3.16413017,39.2866,4.8192,124.308,1,remote_4090_1782891346
/root/autodl-tmp/models/Qwen3-1.7B,1.7,FP16,2048,2048,128,0.00228705,3.2266026,39.3037,4.8192,126.817,2,remote_4090_1782891349
/root/autodl-tmp/models/Qwen3-1.7B,1.7,FP16,4096,4096,128,0.00332726,3.70267851,39.285,6.4247,145.46,0,remote_4090_1782891353
/root/autodl-tmp/models/Qwen3-1.7B,1.7,FP16,4096,4096,128,0.00318422,3.68057091,39.3702,6.4247,144.905,1,remote_4090_1782891356
/root/autodl-tmp/models/Qwen3-1.7B,1.7,FP16,4096,4096,128,0.00288325,3.75847236,38.5523,6.4247,144.898,2,remote_4090_1782891360
/root/autodl-tmp/models/Qwen2.5-3B-Instruct,3.0,FP16,1024,1024,128,0.00111924,3.43246902,39.4051,6.4098,135.257,0,remote_4090_1782891368
/root/autodl-tmp/models/Qwen2.5-3B-Instruct,3.0,FP16,1024,1024,128,0.00556624,3.8278849,39.2727,6.4098,150.331,1,remote_4090_1782891371
/root/autodl-tmp/models/Qwen2.5-3B-Instruct,3.0,FP16,1024,1024,128,0.00265243,3.78547799,39.7956,6.4098,150.645,2,remote_4090_1782891374
/root/autodl-tmp/models/Qwen2.5-3B-Instruct,3.0,FP16,2048,2048,128,0.00577702,4.20315934,39.3262,7.0646,165.294,0,remote_4090_1782891378
/root/autodl-tmp/models/Qwen2.5-3B-Instruct,3.0,FP16,2048,2048,128,0.00555057,4.14050173,39.5447,7.0646,163.735,1,remote_4090_1782891381
/root/autodl-tmp/models/Qwen2.5-3B-Instruct,3.0,FP16,2048,2048,128,0.0057442,4.15900168,39.1915,7.0646,162.997,2,remote_4090_1782891385
/root/autodl-tmp/models/Qwen2.5-3B-Instruct,3.0,FP16,4096,4096,128,0.00612936,4.71214391,39.483,8.3737,186.049,0,remote_4090_1782891389
/root/autodl-tmp/models/Qwen2.5-3B-Instruct,3.0,FP16,4096,4096,128,0.00815375,4.78564489,39.5113,8.3737,189.087,1,remote_4090_1782891392
/root/autodl-tmp/models/Qwen2.5-3B-Instruct,3.0,FP16,4096,4096,128,0.00801606,4.8301177,39.3458,8.3737,190.045,2,remote_4090_1782891396
/root/autodl-tmp/models/Qwen3-8B,8.0,FP16,1024,1024,128,0.00955406,6.35814607,30.957,16.1331,196.829,0,remote_4090_1782891415
/root/autodl-tmp/models/Qwen3-8B,8.0,FP16,1024,1024,128,0.02053076,7.03180368,31.8958,16.1331,224.285,1,remote_4090_1782891419
/root/autodl-tmp/models/Qwen3-8B,8.0,FP16,1024,1024,128,0.02072032,6.95311149,32.0168,16.1331,222.616,2,remote_4090_1782891423
/root/autodl-tmp/models/Qwen3-8B,8.0,FP16,2048,2048,128,0.01251094,7.05316116,31.0222,17.0027,218.805,0,remote_4090_1782891443
/root/autodl-tmp/models/Qwen3-8B,8.0,FP16,2048,2048,128,0.02348047,7.586426,31.5582,17.0027,239.414,1,remote_4090_1782891448
/root/autodl-tmp/models/Qwen3-8B,8.0,FP16,2048,2048,128,0.02297394,7.57147477,32.2088,17.0027,243.868,2,remote_4090_1782891452
/root/autodl-tmp/models/Qwen3-8B,8.0,FP16,4096,4096,128,0.02920277,8.38151262,31.0141,18.741,259.945,0,remote_4090_1782891472
/root/autodl-tmp/models/Qwen3-8B,8.0,FP16,4096,4096,128,0.03958054,8.49046097,31.5537,18.741,300.629,1,remote_4090_1782891478
/root/autodl-tmp/models/Qwen3-8B,8.0,FP16,4096,4096,128,0.04124671,8.41398728,31.3769,18.741,312.87,2,remote_4090_1782891483
