model,scale_b,quant,context_len,prefill_tokens,decode_tokens,prefill_j_per_tok,decode_j_per_tok,tokens_per_sec,peak_mem_gb,gpu_power_w,seed,run_id
/root/autodl-tmp/models/Qwen3-1.7B,1.7,INT8,1024,1024,128,0.00776866,8.80771608,8.6171,2.7064,75.897,0,remote_4090_1782890548
/root/autodl-tmp/models/Qwen3-1.7B,1.7,INT8,1024,1024,128,0.00903155,8.88012976,8.651,2.7064,76.822,1,remote_4090_1782890563
/root/autodl-tmp/models/Qwen3-1.7B,1.7,INT8,1024,1024,128,0.0089973,8.39719542,8.9809,2.7064,75.415,2,remote_4090_1782890577
/root/autodl-tmp/models/Qwen3-1.7B,1.7,INT8,2048,2048,128,0.00438734,8.88062234,8.9855,3.5097,79.797,0,remote_4090_1782890592
/root/autodl-tmp/models/Qwen3-1.7B,1.7,INT8,2048,2048,128,0.00446088,8.91927649,8.983,3.5097,80.122,1,remote_4090_1782890606
/root/autodl-tmp/models/Qwen3-1.7B,1.7,INT8,2048,2048,128,0.00449273,9.09206918,8.7802,3.5097,79.83,2,remote_4090_1782890621
/root/autodl-tmp/models/Qwen3-1.7B,1.7,INT8,4096,4096,128,0.00371759,9.58189299,8.8197,5.1152,84.509,0,remote_4090_1782890636
/root/autodl-tmp/models/Qwen3-1.7B,1.7,INT8,4096,4096,128,0.00412743,9.63458509,8.7678,5.1152,84.474,1,remote_4090_1782890651
/root/autodl-tmp/models/Qwen3-1.7B,1.7,INT8,4096,4096,128,0.00432621,9.59663416,8.8822,5.1152,86.914,2,remote_4090_1782890666
/root/autodl-tmp/models/Qwen2.5-3B-Instruct,3.0,INT8,1024,1024,128,0.01012423,10.42753206,7.2425,3.8317,75.521,0,remote_4090_1782890700
/root/autodl-tmp/models/Qwen2.5-3B-Instruct,3.0,INT8,1024,1024,128,0.0103823,10.34072118,7.4041,3.8317,76.564,1,remote_4090_1782890717
/root/autodl-tmp/models/Qwen2.5-3B-Instruct,3.0,INT8,1024,1024,128,0.01049409,10.70957216,7.1026,3.8317,76.066,2,remote_4090_1782890736
/root/autodl-tmp/models/Qwen2.5-3B-Instruct,3.0,INT8,2048,2048,128,0.00803127,10.97642678,7.3252,4.4865,80.404,0,remote_4090_1782890754
/root/autodl-tmp/models/Qwen2.5-3B-Instruct,3.0,INT8,2048,2048,128,0.00928798,10.70529397,7.5728,4.4865,81.069,1,remote_4090_1782890771
/root/autodl-tmp/models/Qwen2.5-3B-Instruct,3.0,INT8,2048,2048,128,0.00669102,10.7040282,7.5785,4.4865,81.12,2,remote_4090_1782890789
/root/autodl-tmp/models/Qwen2.5-3B-Instruct,3.0,INT8,4096,4096,128,0.00679582,11.37938554,7.5112,5.7971,88.631,0,remote_4090_1782890806
/root/autodl-tmp/models/Qwen2.5-3B-Instruct,3.0,INT8,4096,4096,128,0.00922619,11.43069163,7.3524,5.7971,118.156,1,remote_4090_1782890824
/root/autodl-tmp/models/Qwen2.5-3B-Instruct,3.0,INT8,4096,4096,128,0.0089132,11.55654423,7.2356,5.7971,114.439,2,remote_4090_1782890843
/root/autodl-tmp/models/Qwen3-8B,8.0,INT8,1024,1024,128,0.00887492,11.77021924,7.514,9.6698,88.442,0,remote_4090_1782890885
/root/autodl-tmp/models/Qwen3-8B,8.0,INT8,1024,1024,128,0.0132919,12.07063011,7.3874,9.6698,89.171,1,remote_4090_1782890903
/root/autodl-tmp/models/Qwen3-8B,8.0,INT8,1024,1024,128,0.01531104,12.18295291,7.3238,9.6698,89.226,2,remote_4090_1782890920
/root/autodl-tmp/models/Qwen3-8B,8.0,INT8,2048,2048,128,0.01405462,12.80475448,7.3007,10.5395,110.612,0,remote_4090_1782890938
/root/autodl-tmp/models/Qwen3-8B,8.0,INT8,2048,2048,128,0.01356361,12.9345776,7.1914,10.5395,105.555,1,remote_4090_1782890957
/root/autodl-tmp/models/Qwen3-8B,8.0,INT8,2048,2048,128,0.01314104,12.82178909,7.3152,10.5395,102.335,2,remote_4090_1782890975
/root/autodl-tmp/models/Qwen3-8B,8.0,INT8,4096,4096,128,0.02283623,13.67682393,7.3828,12.2778,176.42,0,remote_4090_1782890993
/root/autodl-tmp/models/Qwen3-8B,8.0,INT8,4096,4096,128,0.02333222,13.54942535,7.4689,12.2778,182.113,1,remote_4090_1782891012
/root/autodl-tmp/models/Qwen3-8B,8.0,INT8,4096,4096,128,0.02418111,13.63059376,7.5495,12.2778,189.955,2,remote_4090_1782891030
