policy,total_value,energy_j,useful_tasks,j_per_task,raw_bits,transmitted_bits,bw_saving,median_latency_min,p95_latency_min,oom_count,energy_violation_count,on_count,pre_count,down_count,drop_count,on_pct,pre_pct,down_pct,drop_pct,residual_energy_j,min_energy_j,energy_overrun_j,mean_decision_ms,lambda_energy_final,lambda_bandwidth_final,lambda_energy_mean,lambda_bandwidth_mean,seed,horizon_h,variant,energy_factor,normalized_value
Heuristic-TVD,3561.2863688119146,89742.91559136001,254,353.31856532031503,141896346105.7374,68527915011.296295,51.70565212424067,2.5557594357374906,729.9139444542953,0,0,109,0,151,0,41.92307692307692,0.0,58.07692307692308,0.0,257.0844086399967,257.0844086399967,0.0,0.016251923023866348,,,,,0,24,0.6x energy,0.6,0.8145803338503714
Heuristic-TVD,3623.098229979647,89984.38892672003,258,348.7767012663567,138183152908.2682,73991672776.36803,46.45391191393149,4.025206412076901,79.45245474689665,0,0,105,0,155,0,40.38461538461539,0.0,59.61538461538461,0.0,15.611073279986044,15.611073279986044,0.0,0.014756539111168912,,,,,1,24,0.6x energy,0.6,0.8287186876055966
Heuristic-TVD,3484.0966755446493,89650.44078624001,253,354.34956832505935,143551818802.25815,77610369201.83159,45.93564202154802,3.668623535147708,747.424522537116,0,0,103,0,157,0,39.61538461538461,0.0,60.38461538461539,0.0,349.5592137600322,349.5592137600322,0.0,0.01676384608100097,,,,,2,24,0.6x energy,0.6,0.7969245770255045
Heuristic-TVD,3575.125704134181,89949.81898992002,255,352.74438819576477,145714942829.99643,87694548204.72891,39.81773831731115,9.942351245641415,78.20019199078811,0,0,99,1,160,0,38.07692307692308,0.38461538461538464,61.53846153846154,0.0,50.18101008002702,50.18101008002702,0.0,0.015131923114845099,,,,,3,24,0.6x energy,0.6,0.8177458333973343
Heuristic-TVD,3521.767094809342,89993.44436000002,259,347.46503613899625,143751290598.0329,73089882730.59607,49.15532067466793,8.358048341334626,726.9090733329451,0,0,107,0,153,0,41.15384615384615,0.0,58.84615384615385,0.0,6.555640000028461,6.555640000028461,0.0,0.014278462801415186,,,,,4,24,0.6x energy,0.6,0.8055410092702255
Heuristic-TVD,3696.2487630304886,89852.6358724267,259,346.92137402481353,145966253614.7567,87597980749.4044,39.987511784334416,4.226260413572344,71.37065685098756,0,0,108,0,152,0,41.53846153846154,0.0,58.46153846153846,0.0,147.36412757329413,147.36412757329413,0.0,0.015383460805214081,,,,,5,24,0.6x energy,0.6,0.8454505590315292
Heuristic-TVD,3665.5489095759754,89954.78097439995,258,348.66194176124014,136511684238.74997,70822185569.26106,48.120055829508544,4.38349604996262,77.61253372668457,0,0,105,0,155,0,40.38461538461539,0.0,59.61538461538461,0.0,45.219025600025645,45.219025600025645,0.0,0.016015769170525555,,,,,6,24,0.6x energy,0.6,0.8384285185982917
Heuristic-TVD,3532.2438946154725,89980.13880511996,254,354.2525149807872,139247165035.33093,89886307606.12364,35.448375136889176,8.00704692503914,75.23758164688583,0,0,98,0,162,0,37.69230769230769,0.0,62.30769230769231,0.0,19.861194879996788,19.861194879996788,0.0,0.01577346097642126,,,,,7,24,0.6x energy,0.6,0.8079373891734257
Heuristic-TVD,3470.0207308301356,89690.15309226669,257,348.98892253800267,147675122448.8456,83128961921.48984,43.70821534257704,7.491374304590742,78.96304636764486,0,0,100,0,160,0,38.46153846153846,0.0,61.53846153846154,0.0,309.84690773328384,309.84690773328384,0.0,0.01889846249608896,,,,,8,24,0.6x energy,0.6,0.7937049573270658
Heuristic-TVD,3665.2689097772272,89813.18226506667,256,350.8327432229167,145047080871.27374,72409178620.10655,50.078844617101815,3.4064753760649786,79.80025844459772,0,0,110,0,150,0,42.30769230769231,0.0,57.69230769230769,0.0,186.81773493327887,186.81773493327887,0.0,0.016143462226654474,,,,,9,24,0.6x energy,0.6,0.8383644736701613
Heuristic-TVD,3882.4923318618953,149952.72988789337,255,588.0499211289936,141896346105.7374,42621549426.45103,69.96289855505471,1.0218073941260324,76.23202046570702,0,0,168,0,92,0,64.61538461538461,0.0,35.38461538461539,0.0,47.27011210666029,47.27011210666029,0.0,0.016059615546300147,,,,,0,24,1.0x energy,1.0,0.8880504324381668
Heuristic-TVD,3950.892861546158,149571.7581421866,258,579.7354966751418,138183152908.2682,39288217251.275154,71.56801214591164,0.9832486245364028,79.30292719235098,0,0,169,0,91,0,65.0,0.0,35.0,0.0,428.24185781330334,428.24185781330334,0.0,0.014796922802746009,,,,,1,24,1.0x energy,1.0,0.9036958258537874
Heuristic-TVD,3832.618429904604,149875.4171290666,254,590.0606973585299,143551818802.25815,42153956555.43225,70.63502440641376,0.7668729075820011,111.32618025258745,0,0,167,0,93,0,64.23076923076923,0.0,35.76923076923077,0.0,124.58287093335002,124.58287093335002,0.0,0.016794231151624654,,,,,2,24,1.0x energy,1.0,0.8766426725729178
Heuristic-TVD,3985.6767826770415,149921.3306329599,257,583.3514810621008,145714942829.99643,48351527943.053314,66.81772850196677,1.0025280093312177,67.95993451600984,0,0,165,0,95,0,63.46153846153846,0.0,36.53846153846154,0.0,78.66936704002819,78.66936704002819,0.0,0.014495385627154835,,,,,3,24,1.0x energy,1.0,0.9116520234613593
Heuristic-TVD,3949.284705215973,149888.1055233066,259,578.718554144041,143751290598.0329,39489818184.92574,72.52906876825902,1.0777419947470057,722.8285196627825,0,0,167,0,93,0,64.23076923076923,0.0,35.76923076923077,0.0,111.89447669336346,111.89447669336346,0.0,0.017573846316036697,,,,,4,24,1.0x energy,1.0,0.9033279889587268
Heuristic-TVD,3937.198584043962,149787.40836597333,259,578.3297620307851,145966253614.7567,52641966177.041336,63.935522853126514,0.9832486245364028,61.70983823207116,0,0,166,0,94,0,63.84615384615385,0.0,36.15384615384615,0.0,212.5916340266608,212.5916340266608,0.0,0.015322693014660707,,,,,5,24,1.0x energy,1.0,0.9005635056794623
Heuristic-TVD,3955.5243328804604,149715.49098826657,257,582.550548592477,136511684238.74997,41220788579.558304,69.80420481263285,1.1445659766542198,75.21373487501121,0,0,166,0,94,0,63.84615384615385,0.0,36.15384615384615,0.0,284.50901173332545,284.50901173332545,0.0,0.015361154174360517,,,,,6,24,1.0x energy,1.0,0.9047551917892971
Heuristic-TVD,4106.0933977159775,149688.3898704532,258,580.1875576374155,139247165035.33093,47359515028.27628,65.98888385536623,1.0218073941260437,59.41933453479224,0,0,169,1,90,0,65.0,0.38461538461538464,34.61538461538461,0.0,311.6101295466981,311.6101295466981,0.0,0.015097307578588907,,,,,7,24,1.0x energy,1.0,0.9391951627434362
Heuristic-TVD,3837.9870690586226,149719.9602573866,257,582.567938744695,147675122448.8456,61385932170.2414,58.43177161305191,1.1445659766542424,75.53968085804092,0,0,155,0,105,0,59.61538461538461,0.0,40.38461538461539,0.0,280.0397426132629,280.0397426132629,0.0,0.01820153769445964,,,,,8,24,1.0x energy,1.0,0.8778706524154548
Heuristic-TVD,4021.416388909796,149539.87916986653,257,581.8672341239943,145047080871.27374,40555041023.97266,72.04008465364124,0.9832486245364028,70.43976702267629,0,0,172,1,87,0,66.15384615384616,0.38461538461538464,33.46153846153846,0.0,460.12083013330334,460.12083013330334,0.0,0.01714269243306122,,,,,9,24,1.0x energy,1.0,0.9198268168819935
Heuristic-TVD,4217.419226594388,209380.0812706132,259,808.4173022031398,141896346105.7374,13258507250.769285,90.65620249242401,0.6502542858624414,21.04800895262951,0,0,230,0,30,0,88.46153846153847,0.0,11.538461538461538,0.0,619.9187293866637,619.9187293866637,0.0,0.015197692734475892,,,,,0,24,1.4x energy,1.4,0.9646589478656078
