policy,total_value,energy_j,useful_tasks,j_per_task,raw_bits,transmitted_bits,bw_saving,median_latency_min,p95_latency_min,oom_count,energy_violation_count,on_count,pre_count,down_count,drop_count,on_pct,pre_pct,down_pct,drop_pct,residual_energy_j,min_energy_j,energy_overrun_j,mean_decision_ms,lambda_energy_final,lambda_bandwidth_final,lambda_energy_mean,lambda_bandwidth_mean,seed,horizon_h,variant,normalized_value
All-Downlink,2608.328853807614,0.0,254,0.0,141896346105.7374,127474006832.71404,0.0,35.479692026056966,736.9298172144859,0,0,0.0,0.0,260.0,0.0,0.0,0.0,100.0,0.0,150000.0,150000.0,0.0,0.00027115344822120207,,,,,0,24,main,0.6718181597944738
All-On-Board,2495.4586920317124,149948.95533034668,152,986.5062850680703,141896346105.7374,0.0,100.0,1.2723023214839486,1149.2038027363044,0,108,152.0,0.0,0.0,108.0,58.46153846153846,0.0,0.0,41.53846153846154,51.044669653337905,51.044669653337905,0.0,0.00032807718246028974,,,,,0,24,main,0.6427465861432843
Fixed-Threshold,3070.2737789215994,94471.08069536008,257,367.5917536784439,141896346105.7374,49934240241.08709,60.82790407097149,8.822536083118454,76.86289261501675,0,0,102.0,94.0,64.0,0.0,39.23076923076923,36.15384615384615,24.615384615384617,0.0,55528.919304639734,55528.919304639734,0.0,0.0009399987622880592,,,,,0,24,main,0.7907997019659826
Deadline-Energy,3747.037656026518,58049.70900277334,260,223.26811154912824,141896346105.7374,105779966974.30736,17.018402729645167,15.415767963420148,71.4423141796664,0,0,65.0,0.0,195.0,0.0,25.0,0.0,75.0,0.0,91950.2909972267,91950.2909972267,0.0,0.00882384651609195,,,,,0,24,main,0.9651114118825784
Priority-Aware,3617.477246642703,71807.82541055996,259,277.2502911604632,141896346105.7374,89315751073.92041,29.934146346297286,20.631380747971463,110.33912208829416,0,0,78.0,12.0,170.0,0.0,30.0,4.615384615384615,65.38461538461539,0.0,78192.17458944001,78192.17458944001,0.0,0.0012650003414959288,,,,,0,24,main,0.9317409894040664
Energy-WSRPT,3416.5729517209375,149979.35837264013,254,590.4699148529139,141896346105.7374,37373304106.81187,70.68162754477673,1.0218073941260324,736.9298172144859,0,0,156.0,17.0,87.0,0.0,60.0,6.538461538461538,33.46153846153846,0.0,20.641627360083703,20.641627360083703,0.0,0.012137306643685756,,,,,0,24,main,0.8799947713180619
Heuristic-TVD,3882.4923318618953,149952.72988789337,255,588.0499211289936,141896346105.7374,42621549426.45103,66.56451735891231,1.0218073941260324,76.23202046570702,0,0,168.0,0.0,92.0,0.0,64.61538461538461,0.0,35.38461538461539,0.0,47.27011210666029,47.27011210666029,0.0,0.013731923424459707,,,,,0,24,main,1.0
MILP-Ref,3183.919398166225,,260,,141896346105.7374,,,,,0,0,,,,,,,,,,,,,,,,,0,24,main,0.8200710074910409
All-Downlink,2566.3119925629917,0.0,257,0.0,138183152908.2682,131685291155.26335,0.0,39.57007844914237,111.89255143557872,0,0,0.0,0.0,260.0,0.0,0.0,0.0,100.0,0.0,150000.0,150000.0,0.0,0.00029077021351370675,,,,,1,24,main,0.6495524132129163
All-On-Board,2718.6959638506332,149948.73988490662,161,931.358632825507,138183152908.2682,0.0,100.0,1.1894509169151812,1209.5554866509997,0,99,161.0,0.0,0.0,99.0,61.92307692307692,0.0,0.0,38.07692307692308,51.260115093307604,51.260115093307604,0.0,0.00036038433721002477,,,,,1,24,main,0.6881219155071413
