policy,total_value,energy_j,useful_tasks,j_per_task,raw_bits,transmitted_bits,bw_saving,median_latency_min,p95_latency_min,oom_count,energy_violation_count,on_count,pre_count,down_count,drop_count,on_pct,pre_pct,down_pct,drop_pct,residual_energy_j,min_energy_j,energy_overrun_j,mean_decision_ms,lambda_energy_final,lambda_bandwidth_final,lambda_energy_mean,lambda_bandwidth_mean,seed,variant,penalty_value_per_kj,soft_lambda_energy,penalized_value,normalized_value,normalized_penalized_value
Heuristic-TVD,3882.4923318618953,149952.72988789337,255,588.0499211289936,141896346105.7374,42621549426.45103,69.96289855505471,1.0218073941260324,76.23202046570702,0,0,168,0,92,0,64.61538461538461,0.0,35.38461538461539,0.0,47.27011210666029,47.27011210666029,0.0,0.013417306651647847,,,,,0,hard-budget,,8.0,3882.4923318618953,0.9030680605312503,0.9030680605312503
Heuristic-TVD,4299.224500950605,242843.89985429312,260,934.0149994395889,141896346105.7374,0.0,100.0,0.6502542858624414,1.3970378431981467,0,0,260,0,0,0,100.0,0.0,0.0,0.0,-92843.89985429331,-92843.89985429331,92843.89985429312,0.013466923309561726,,,,,0,soft-penalty-0,0.0,0.0,4299.224500950605,1.0,1.0
Heuristic-TVD,3639.0383059617943,156096.76160842666,260,600.3721600324102,141896346105.7374,46120049475.473976,67.49736639370083,1.1581628549874607,76.23202046570702,0,0,160,0,100,0,61.53846153846154,0.0,38.46153846153846,0.0,-6096.761608426663,-6096.761608426663,6096.761608426663,0.013318845370891862,,,,,0,soft-penalty-1,1.0,2.0,3632.9415443533676,0.8464406325273695,0.8450225252368386
Heuristic-TVD,3969.4793061818177,155558.93116074667,260,598.3035813874872,141896346105.7374,42621549426.45103,69.96289855505471,0.9832486245364028,65.37039196679818,0,0,173,0,87,0,66.53846153846153,0.0,33.46153846153846,0.0,-5558.931160746673,-5558.931160746673,5558.931160746666,0.01327730670499687,,,,,0,soft-penalty-5,5.0,8.0,3941.6846503780844,0.9233012384685012,0.9168361990648628
Heuristic-TVD,4121.977312648935,143171.19718997332,260,550.6584507306666,141896346105.7374,46297615506.252914,67.37222854790555,0.7370819631675356,48.51740542562732,0,0,173,0,87,0,66.53846153846153,0.0,33.46153846153846,0.0,6828.802810026674,6828.802810026674,0.0,0.013251924358953077,,,,,0,soft-penalty-10,10.0,16.0,4121.977312648935,0.958772288290021,0.958772288290021
Heuristic-TVD,3950.892861546158,149571.7581421866,258,579.7354966751418,138183152908.2682,39288217251.275154,71.56801214591164,0.9832486245364028,79.30292719235098,0,0,169,0,91,0,65.0,0.0,35.0,0.0,428.24185781330334,428.24185781330334,0.0,0.013046153561355403,,,,,1,hard-budget,,8.0,3950.892861546158,0.9113023397857092,0.9113023397857092
Heuristic-TVD,4335.435880122071,245780.7974722132,260,945.3107595085123,138183152908.2682,0.0,100.0,0.6502542858623201,1.3752468809696377,0,0,260,0,0,0,100.0,0.0,0.0,0.0,-95780.79747221344,-95780.79747221344,95780.79747221319,0.013568845707385872,,,,,1,soft-penalty-0,0.0,0.0,4335.435880122071,1.0,1.0
Heuristic-TVD,3755.3449178432124,152390.7724730666,260,586.1183556656408,138183152908.2682,43912066897.462326,68.22183748650387,1.0218073941260628,78.04393456202088,0,0,164,0,96,0,63.07692307692308,0.0,36.92307692307692,0.0,-2390.772473066693,-2390.772473066693,2390.7724730666087,0.013242693295559058,,,,,1,soft-penalty-1,1.0,2.0,3752.954145370146,0.8661977761132232,0.8656463269535141
Heuristic-TVD,3982.4644372797957,151262.9523539199,260,581.780585976615,138183152908.2682,39288217251.275154,71.56801214591164,0.9832486245364028,76.71943782378185,0,0,171,0,89,0,65.76923076923077,0.0,34.23076923076923,0.0,-1262.95235392003,-1262.95235392003,1262.9523539199145,0.014070384853626959,,,,,1,soft-penalty-5,5.0,8.0,3976.149675510196,0.9185845546786552,0.9171280086832334
Heuristic-TVD,4153.8755794242525,141650.09373610668,260,544.8080528311796,138183152908.2682,45877973566.82122,66.79915561249572,0.8863393931925809,60.31993816277495,0,0,173,0,87,0,66.53846153846153,0.0,33.46153846153846,0.0,8349.906263893341,8349.906263893341,0.0,0.013374998413312893,,,,,1,soft-penalty-10,10.0,16.0,4153.8755794242525,0.958121788507986,0.958121788507986
Heuristic-TVD,3832.618429904604,149875.4171290666,254,590.0606973585299,143551818802.25815,42153956555.43225,70.63502440641376,0.7668729075820011,111.32618025258745,0,0,167,0,93,0,64.23076923076923,0.0,35.76923076923077,0.0,124.58287093335002,124.58287093335002,0.0,0.01310538500547409,,,,,2,hard-budget,,8.0,3832.618429904604,0.8963588160206394,0.8963588160206394
Heuristic-TVD,4275.7636355041495,244366.35939743978,260,939.8706130670761,143551818802.25815,0.0,100.0,0.6163402390725726,1.3518660118525316,0,0,260,0,0,0,100.0,0.0,0.0,0.0,-94366.35939743997,-94366.35939743997,94366.35939743978,0.013726924058014097,,,,,2,soft-penalty-0,0.0,0.0,4275.7636355041495,1.0,1.0
Heuristic-TVD,3684.067233752936,157807.6959319466,260,606.952676661333,143551818802.25815,45408546748.3728,68.36783600009775,0.9558835878589889,76.75047660202941,0,0,166,0,94,0,63.84615384615385,0.0,36.15384615384615,0.0,-7807.6959319466405,-7807.6959319466405,7807.695931946597,0.01366307697026059,,,,,2,soft-penalty-1,1.0,2.0,3676.2595378209894,0.8616162042171801,0.8597901687770743
Heuristic-TVD,3967.5653179067713,156711.13772170662,260,602.7351450834869,143551818802.25815,42153956555.43225,70.63502440641376,0.7175219706068314,69.96711407746054,0,0,173,0,87,0,66.53846153846153,0.0,33.46153846153846,0.0,-6711.13772170665,-6711.13772170665,6711.137721706618,0.013412693470644835,,,,,2,soft-penalty-5,5.0,8.0,3934.009629298238,0.9279197018660647,0.9200718198339755
Heuristic-TVD,4107.980742995658,147632.9946563199,260,567.819210216615,143551818802.25815,49035820346.57051,65.84103165274618,0.7055244342351292,45.43491031956053,0,0,172,0,88,0,66.15384615384616,0.0,33.84615384615385,0.0,2367.0053436800285,2367.0053436800285,0.0,0.014006922943875767,,,,,2,soft-penalty-10,10.0,16.0,4107.980742995658,0.9607595492147197,0.9607595492147197
Heuristic-TVD,3985.6767826770415,149921.3306329599,257,583.3514810621008,145714942829.99643,48351527943.053314,66.81772850196677,1.0025280093312177,67.95993451600984,0,0,165,0,95,0,63.46153846153846,0.0,36.53846153846154,0.0,78.66936704002819,78.66936704002819,0.0,0.013459614442231564,,,,,3,hard-budget,,8.0,3985.6767826770415,0.9135757410486849,0.9135757410486849
Heuristic-TVD,4362.721779479303,242886.9144479998,260,934.1804401846146,145714942829.99643,0.0,100.0,0.6502542858624414,1.3990153227836708,0,0,260,0,0,0,100.0,0.0,0.0,0.0,-92886.91444800004,-92886.91444800004,92886.91444799979,0.014553462320831247,,,,,3,soft-penalty-0,0.0,0.0,4362.721779479303,1.0,1.0
Heuristic-TVD,3866.1433404470495,154295.2006053333,260,593.4430792512819,145714942829.99643,46171451470.38673,68.31385266763318,1.0218073941260324,64.2860010873058,0,0,168,0,92,0,64.61538461538461,0.0,35.38461538461539,0.0,-4295.200605333317,-4295.200605333317,4295.200605333288,0.014285001536616338,,,,,3,soft-penalty-1,1.0,2.0,3861.848139841716,0.8861769179579632,0.8851923948041979
Heuristic-TVD,4049.1536340182943,154095.5242102399,260,592.6750931163074,145714942829.99643,48351527943.053314,66.81772850196677,0.9832486245364028,57.34093941916791,0,0,169,0,91,0,65.0,0.0,35.0,0.0,-4095.524210239972,-4095.524210239972,4095.524210239906,0.014013076277198987,,,,,3,soft-penalty-5,5.0,8.0,4028.6760129670947,0.9281255690115463,0.923431797075981
Heuristic-TVD,4131.013710527131,140865.73265311992,260,541.7912794350766,145714942829.99643,54349838986.47587,62.7012590946935,0.9832486245364028,56.403736943845026,0,0,163,0,97,0,62.69230769230769,0.0,37.30769230769231,0.0,9134.267346880044,9134.267346880044,0.0,0.013341923141314719,,,,,3,soft-penalty-10,10.0,16.0,4131.013710527131,0.9468891025684826,0.9468891025684826
Heuristic-TVD,3949.284705215973,149888.1055233066,259,578.718554144041,143751290598.0329,39489818184.92574,72.52906876825902,1.0777419947470057,722.8285196627825,0,0,167,0,93,0,64.23076923076923,0.0,35.76923076923077,0.0,111.89447669336346,111.89447669336346,0.0,0.013467307144310325,,,,,4,hard-budget,,8.0,3949.284705215973,0.9027511018689804,0.9027511018689804
Heuristic-TVD,4374.721556184982,251147.50405343986,260,965.9519386670763,143751290598.0329,0.0,100.0,0.6713495368931035,1.3970378431981467,0,0,260,0,0,0,100.0,0.0,0.0,0.0,-101147.50405343997,-101147.50405343997,101147.50405343986,0.013351153197268454,,,,,4,soft-penalty-0,0.0,0.0,4374.721556184982,1.0,1.0
Heuristic-TVD,3625.3674346151324,152121.10963509322,260,585.0811909042047,143751290598.0329,42925678189.83309,70.13892674545457,1.1445659766542424,722.8285196627825,0,0,159,0,101,0,61.15384615384615,0.0,38.84615384615385,0.0,-2121.10963509329,-2121.10963509329,2121.1096350932203,0.013211153922244333,,,,,4,soft-penalty-1,1.0,2.0,3623.2463249800394,0.8287081561772972,0.8282233002595316
Heuristic-TVD,3972.7517820452663,151340.2753409066,260,582.07798208041,143751290598.0329,39489818184.92574,72.52906876825902,1.0684849718715972,110.7864777146836,0,0,168,0,92,0,64.61538461538461,0.0,35.38461538461539,0.0,-1340.2753409066365,-1340.2753409066365,1340.2753409066063,0.013413461028204229,,,,,4,soft-penalty-5,5.0,8.0,3966.050405340733,0.9081153465478482,0.9065835058081653
Heuristic-TVD,4167.389435920581,145248.16709503994,260,558.6467965193843,143751290598.0329,42461318715.14187,70.46195652331562,1.0218073941260324,51.07068690707049,0,0,171,0,89,0,65.76923076923077,0.0,34.23076923076923,0.0,4751.832904960034,4751.832904960034,0.0,0.013456539510606,,,,,4,soft-penalty-10,10.0,16.0,4167.389435920581,0.9526067847743875,0.9526067847743875
Heuristic-TVD,3937.198584043962,149787.40836597333,259,578.3297620307851,145966253614.7567,52641966177.041336,63.935522853126514,0.9832486245364028,61.70983823207116,0,0,166,0,94,0,63.84615384615385,0.0,36.15384615384615,0.0,212.5916340266608,212.5916340266608,0.0,0.013524230654673794,,,,,5,hard-budget,,8.0,3937.198584043962,0.9218373205774553,0.9218373205774553
Heuristic-TVD,4271.034049237268,249994.23150570656,260,961.5162750219483,145966253614.7567,0.0,100.0,0.6713495368931566,1.3238063144324037,0,0,260,0,0,0,100.0,0.0,0.0,0.0,-99994.23150570663,-99994.23150570663,99994.23150570656,0.013357308097721007,,,,,5,soft-penalty-0,0.0,0.0,4271.034049237268,1.0,1.0
