contact_id,satellite,station,start_s,end_s,duration_s,mean_rate_mbps,capacity_mbit,max_elevation_deg
0,LANDSAT 8,Svalbard,800.0,1000.0,200.0,12.57055794056773,2514.111588113546,11.654843678793373
1,LANDSAT 8,Fairbanks,1060.0,1380.0,320.0,13.227684776718792,4232.859128550013,15.26954713855454
2,LANDSAT 8,Fairbanks,6900.0,7060.0,160.0,12.445867887179224,1991.338861948676,11.057055397001381
3,LANDSAT 8,Austin,11820.0,12180.0,360.0,13.615762895439985,4901.6746423583945,17.446108702057398
4,LANDSAT 8,Fairbanks,12600.0,12900.0,300.0,13.02665505181206,3907.996515543618,14.261723724260465
5,LANDSAT 8,Austin,17580.0,18100.0,520.0,16.182744557352347,8415.027169823219,35.84317677097356
6,LANDSAT 8,Fairbanks,18300.0,18780.0,480.0,15.295620424418786,7341.897803721018,28.592959981104887
7,LANDSAT 8,Fairbanks,24100.0,24680.0,580.0,19.69298987216894,11421.934125857984,83.94252126335387
8,LANDSAT 8,Svalbard,24780.0,25120.0,340.0,13.185059627313628,4482.920273286633,15.218309581786436
9,LANDSAT 8,Fairbanks,30040.0,30520.0,480.0,15.043448975317625,7220.85550815246,26.836736453756778
10,LANDSAT 8,Svalbard,30660.0,31140.0,480.0,15.032060751070777,7215.389160513973,26.74466289644189
11,LANDSAT 8,Svalbard,36560.0,37100.0,540.0,17.701678394108757,9558.90633281873,49.054039305982485
12,LANDSAT 8,Svalbard,42440.0,43020.0,580.0,19.71909756315568,11437.076586630295,83.4968694917204
13,LANDSAT 8,Svalbard,48300.0,48880.0,580.0,18.76258779374442,10882.300920371763,66.40396432101052
14,LANDSAT 8,Svalbard,54160.0,54720.0,560.0,18.28454843886143,10239.347125762404,57.437458207089726
15,LANDSAT 8,Svalbard,60020.0,60580.0,560.0,18.921600765086296,10596.096428448325,65.15238916258676
16,LANDSAT 8,Austin,61060.0,61640.0,580.0,19.69354487669281,11422.256028481828,87.81504432393373
17,LANDSAT 8,Svalbard,65880.0,66460.0,580.0,19.75960043715167,11460.568253547966,84.79839708691735
18,LANDSAT 8,Fairbanks,66640.0,66800.0,160.0,12.451007064473991,1992.1611303158384,11.041644519459034
19,LANDSAT 8,Svalbard,71780.0,72340.0,560.0,17.68938333292188,9906.054666436252,50.790778715726454
20,LANDSAT 8,Fairbanks,72400.0,72940.0,540.0,16.56127149835183,8943.086609109987,39.44658078229728
21,LANDSAT 8,Svalbard,77720.0,78220.0,500.0,15.077749103875103,7538.874551937552,27.64943186634352
22,LANDSAT 8,Fairbanks,78260.0,78820.0,560.0,18.383683102738,10294.86253753328,58.6022489766313
23,LANDSAT 8,Svalbard,83760.0,84100.0,340.0,13.302118854190454,4522.720410424754,15.700181242006973
24,LANDSAT 8,Fairbanks,84140.0,84580.0,440.0,14.321628930090823,6301.516729239962,22.21914560131277
