policy,total_value,energy_j,useful_tasks,j_per_task,raw_bits,transmitted_bits,bw_saving,median_latency_min,p95_latency_min,oom_count,energy_violation_count,on_count,pre_count,down_count,drop_count,on_pct,pre_pct,down_pct,drop_pct,residual_energy_j,min_energy_j,energy_overrun_j,mean_decision_ms,lambda_energy_final,lambda_bandwidth_final,lambda_energy_mean,lambda_bandwidth_mean,seed,horizon_h,task_count,allow_pre,contact_model,training_seed_count,training_q_states,ua_training_seed_count,ua_training_q_states,normalized_value
Deadline-Energy,902.114469560213,22313.25393488,60,371.8875655813333,32169295884.08002,20027122339.79761,37.74460463180775,3.224687690822991,68.44645567782933,0,0,21,1,38,0,35.0,1.6666666666666667,63.333333333333336,0.0,127686.74606512,127686.74606512,0.0,0.0098133338421272,,,,,0,6.0,60,1,fixed-window,10,115,10,238,0.8807372880579731
Energy-WSRPT,937.4859431176808,56475.60625722665,60,941.2601042871108,32169295884.08002,2308414179.1820965,92.82416939587264,0.6436701270292664,1.397037843198086,0,0,50,9,1,0,83.33333333333333,15.0,1.6666666666666667,0.0,93524.39374277338,93524.39374277338,0.0,0.0105716666439548,,,,,0,6.0,60,1,fixed-window,10,115,10,238,0.9152705726319428
ActiveInf-inspired,1023.3777186331588,69692.79796544,60,1161.546632757333,32169295884.08002,0.0,100.0,0.7830388986586665,1.397037843198086,0,0,60,0,0,0,100.0,0.0,0.0,0.0,80307.20203456003,80307.20203456003,0.0,0.0284549988767442,,,,,0,6.0,60,1,fixed-window,10,115,10,238,0.9991269921735396
LEO-DRL-inspired,1010.0471541597188,67632.61007167998,60,1127.210167861333,32169295884.08002,930345414.337275,97.10797084993804,0.7830388986586665,1.3970378431980868,0,0,59,0,1,0,98.33333333333331,0.0,1.6666666666666667,0.0,82367.38992832003,82367.38992832003,0.0,0.0525433322764001,,,,,0,6.0,60,1,fixed-window,10,115,10,238,0.9861123187603716
Hierarchical-RA-inspired,1023.3777186331588,69692.79796544,60,1161.546632757333,32169295884.08002,0.0,100.0,0.7830388986586665,1.397037843198086,0,0,60,0,0,0,100.0,0.0,0.0,0.0,80307.20203456003,80307.20203456003,0.0,0.015523335605394,,,,,0,6.0,60,1,fixed-window,10,115,10,238,0.9991269921735396
DRL-UA-inspired,1023.4136118652474,68890.38529525333,60,1148.1730882542222,32169295884.08002,397386743.567598,98.76470176717714,0.7457417021646051,1.397037843198086,0,0,59,0,1,0,98.33333333333331,0.0,1.6666666666666667,0.0,81109.6147047467,81109.6147047467,0.0,0.0689383334247395,,,,,0,6.0,60,1,fixed-window,10,115,10,238,0.999162034852663
QoS-Multihop-projected,1024.2719160322786,65182.10075594666,60,1086.3683459324443,32169295884.08002,1928080988.3879664,94.00645573550727,0.7193005514126904,1.397037843198086,0,0,56,0,4,0,93.33333333333331,0.0,6.666666666666667,0.0,84817.89924405336,84817.89924405336,0.0,0.0169916684778096,,,,,0,6.0,60,1,fixed-window,10,115,10,238,1.0
DelayCost-adapted,1023.3777186331588,69692.79796544,60,1161.546632757333,32169295884.08002,0.0,100.0,0.7830388986586665,1.397037843198086,0,0,60,0,0,0,100.0,0.0,0.0,0.0,80307.20203456003,80307.20203456003,0.0,0.0130383331755486,,,,,0,6.0,60,1,fixed-window,10,115,10,238,0.9991269921735396
Heuristic-TVD,1023.3777186331588,69692.79796544,60,1161.546632757333,32169295884.08002,0.0,100.0,0.7830388986586665,1.397037843198086,0,0,60,0,0,0,100.0,0.0,0.0,0.0,80307.20203456003,80307.20203456003,0.0,0.0128500003484077,,,,,0,6.0,60,1,fixed-window,10,115,10,238,0.9991269921735396
Deadline-Energy,910.253328631656,18835.40012256,60,313.923335376,30279376129.08423,19207000044.745403,36.56738513084318,5.429031863453156,56.675459668699375,0,0,21,0,39,0,35.0,0.0,65.0,0.0,131164.59987744002,131164.59987744002,0.0,0.0074683329633747,,,,,1,6.0,60,1,fixed-window,10,115,10,238,0.9010909555339954
Energy-WSRPT,949.0297423785814,52352.57846170666,60,872.5429743617776,30279376129.08423,526345400.5213668,98.26170328517505,0.6502542858624414,1.283420927217744,0,0,55,5,0,0,91.66666666666669,8.333333333333334,0.0,0.0,97647.4215382934,97647.4215382934,0.0,0.0105033337604254,,,,,1,6.0,60,1,fixed-window,10,115,10,238,0.9394770559923414
ActiveInf-inspired,1007.0720358386424,56840.8831168,60,947.3480519466668,30279376129.08423,0.0,100.0,0.7175219706068068,1.283420927217744,0,0,60,0,0,0,100.0,0.0,0.0,0.0,93159.11688320004,93159.11688320004,0.0,0.0277316653712963,,,,,1,6.0,60,1,fixed-window,10,115,10,238,0.9969351108328914
LEO-DRL-inspired,1007.0720358386424,56840.8831168,60,947.3480519466668,30279376129.08423,0.0,100.0,0.7175219706068068,1.283420927217744,0,0,60,0,0,0,100.0,0.0,0.0,0.0,93159.11688320004,93159.11688320004,0.0,0.0510383324581198,,,,,1,6.0,60,1,fixed-window,10,115,10,238,0.9969351108328914
Hierarchical-RA-inspired,1007.0720358386424,56840.8831168,60,947.3480519466668,30279376129.08423,0.0,100.0,0.7175219706068068,1.283420927217744,0,0,60,0,0,0,100.0,0.0,0.0,0.0,93159.11688320004,93159.11688320004,0.0,0.0159899980644695,,,,,1,6.0,60,1,fixed-window,10,115,10,238,0.9969351108328914
DRL-UA-inspired,997.7363929927778,53800.050449866656,60,896.6675074977776,30279376129.08423,2260547255.17574,92.5343664759182,0.7175219706068143,1.8259025202810104,0,0,56,1,3,0,93.33333333333331,1.6666666666666667,5.0,0.0,96199.94955013336,96199.94955013336,0.0,0.0623433331687313,,,,,1,6.0,60,1,fixed-window,10,115,10,238,0.9876934381381594
QoS-Multihop-projected,1010.1680890717972,53238.63998303999,60,887.3106663839998,30279376129.08423,1436277821.7128494,95.25658053326516,0.6502542858624414,1.283420927217744,0,0,56,0,4,0,93.33333333333331,0.0,6.666666666666667,0.0,96761.36001696004,96761.36001696004,0.0,0.0156916687653089,,,,,1,6.0,60,1,fixed-window,10,115,10,238,1.0
DelayCost-adapted,1007.0720358386424,56840.8831168,60,947.3480519466668,30279376129.08423,0.0,100.0,0.7175219706068068,1.283420927217744,0,0,60,0,0,0,100.0,0.0,0.0,0.0,93159.11688320004,93159.11688320004,0.0,0.0137149996589869,,,,,1,6.0,60,1,fixed-window,10,115,10,238,0.9969351108328914
Heuristic-TVD,1007.0720358386424,56840.8831168,60,947.3480519466668,30279376129.08423,0.0,100.0,0.7175219706068068,1.283420927217744,0,0,60,0,0,0,100.0,0.0,0.0,0.0,93159.11688320004,93159.11688320004,0.0,0.012190001628672,,,,,1,6.0,60,1,fixed-window,10,115,10,238,0.9969351108328914
