policy,total_value,energy_j,useful_tasks,j_per_task,raw_bits,transmitted_bits,bw_saving,median_latency_min,p95_latency_min,oom_count,energy_violation_count,on_count,pre_count,down_count,drop_count,on_pct,pre_pct,down_pct,drop_pct,residual_energy_j,min_energy_j,energy_overrun_j,mean_decision_ms,lambda_energy_final,lambda_bandwidth_final,lambda_energy_mean,lambda_bandwidth_mean,seed,horizon_h,task_count,allow_pre,contact_model,training_seed_count,training_q_states,normalized_value
Deadline-Energy,3747.037656026518,58049.70900277334,260,223.26811154912824,141896346105.7374,105779966974.30736,25.452649150329123,15.415767963420148,71.4423141796664,0,0,65,0,195,0,25.0,0.0,75.0,0.0,91950.2909972267,91950.2909972267,0.0,0.009354999817263,,,,,0,24,260,1,fixed-window,10,283,0.9651114118825784
Energy-WSRPT,3416.572951720937,149979.35837264013,254,590.4699148529139,141896346105.7374,37373304106.81187,73.66154581671731,1.0218073941260324,736.9298172144859,0,0,156,17,87,0,60.0,6.538461538461538,33.46153846153846,0.0,20.641627360083703,20.641627360083703,0.0,0.0122723063283886,,,,,0,24,260,1,fixed-window,10,283,0.8799947713180618
ActiveInf-inspired,3403.2745696990687,149991.64198074644,254,590.5182755147498,141896346105.7374,40556110134.20161,71.41849579130088,1.1894509169151812,736.9298172144859,0,0,151,23,86,0,58.07692307692308,8.846153846153847,33.07692307692308,0.0,8.358019253337659,8.358019253337659,0.0,0.0287765394135091,,,,,0,24,260,1,fixed-window,10,283,0.876569553472109
LEO-DRL-inspired,3503.710098795605,149994.69378191998,254,590.53029048,141896346105.7374,44907788086.34669,68.3516952206207,1.1894509169151737,736.9298172144859,0,0,153,11,96,0,58.84615384615385,4.230769230769231,36.92307692307692,0.0,5.306218079991993,5.306218079991993,0.0,0.0533015376556879,,,,,0,24,260,1,fixed-window,10,283,0.9024383821810048
Heuristic-TVD,3882.4923318618953,149952.72988789337,255,588.0499211289936,141896346105.7374,42621549426.45103,69.96289855505471,1.0218073941260324,76.23202046570702,0,0,168,0,92,0,64.61538461538461,0.0,35.38461538461539,0.0,47.27011210666029,47.27011210666029,0.0,0.0151273080308993,,,,,0,24,260,1,fixed-window,10,283,1.0
Deadline-Energy,3857.038359997837,69168.98741205335,260,266.034566969436,138183152908.2682,97623791629.69405,29.35188583046674,10.28411112853179,72.25500075728323,0,0,72,0,188,0,27.692307692307693,0.0,72.3076923076923,0.0,80831.01258794659,80831.01258794659,0.0,0.01039807662332,,,,,1,24,260,1,fixed-window,10,283,0.9762447363577478
Energy-WSRPT,3545.68728302179,149958.24434954658,257,583.4951142005704,138183152908.2682,35534348773.2781,74.28460125174065,0.7956735252066817,111.78914483510076,0,0,161,22,77,0,61.92307692307692,8.461538461538462,29.615384615384617,0.0,41.75565045332473,41.75565045332473,0.0,0.0122196147388492,,,,,1,24,260,1,fixed-window,10,283,0.897439492103617
ActiveInf-inspired,3627.2632596596977,149984.4624849066,257,583.5971302914654,138183152908.2682,42908622373.47966,68.94800743042518,1.1121057625823898,111.78914483510076,0,0,161,2,97,0,61.92307692307692,0.7692307692307693,37.30769230769231,0.0,15.537515093307604,15.537515093307604,0.0,0.0282400010082011,,,,,1,24,260,1,fixed-window,10,283,0.9180869709132508
LEO-DRL-inspired,3639.56450033806,149987.02060410654,257,583.6070840626713,138183152908.2682,39991118525.36186,71.05933850567901,1.1445659766542424,111.68455703195276,0,0,160,13,87,0,61.53846153846154,5.0,33.46153846153846,0.0,12.979395893288311,12.979395893288311,0.0,0.0570096157249421,,,,,1,24,260,1,fixed-window,10,283,0.9212005052735696
Heuristic-TVD,3950.892861546158,149571.7581421866,258,579.7354966751418,138183152908.2682,39288217251.275154,71.56801214591164,0.9832486245364028,79.30292719235098,0,0,169,0,91,0,65.0,0.0,35.0,0.0,428.24185781330334,428.24185781330334,0.0,0.0136803860256734,,,,,1,24,260,1,fixed-window,10,283,1.0
