policy,total_value,compute_energy_j,comm_energy_j,energy_j,useful_tasks,raw_bits,transmitted_bits,bw_saving,median_latency_min,p95_latency_min,oom_count,energy_violation_count,on_count,pre_count,down_count,drop_count,on_pct,pre_pct,down_pct,drop_pct,residual_energy_j,mean_decision_ms,seed,contact_model,window_count,capacity_gbit,training_seed_count,training_q_states,normalized_value
Deadline-Energy,2518.2193770153326,48355.97799317332,101610.02834901278,149966.0063421861,182,141896346105.7374,75970265206.38098,46.460731871298535,55.72210758720577,990.4259995180846,0,103,45,2,135,78,17.307692307692307,0.7692307692307693,51.92307692307692,30.0,33.99365781386602,0.013885768622948,0,tle-elevation-dynamic-rf-energy,25,188.74183308892847,10,295,0.976775659889796
Energy-WSRPT,2512.176799039805,146840.81273840013,3094.5279132285305,149935.34065162865,158,141896346105.7374,2304197548.465641,98.3761403223529,1.1894509169151812,1121.2201269709708,0,108,148,7,3,102,56.92307692307692,2.6923076923076925,1.1538461538461535,39.23076923076923,64.65934837148563,0.0160865388282288,0,tle-elevation-dynamic-rf-energy,25,188.74183308892847,10,295,0.9744318438015896
ActiveInf-inspired,2487.1084980713285,149616.55468074666,338.06527173697503,149954.61995248363,153,141896346105.7374,255103530.06466883,99.82021839387284,1.2723023214839635,1140.2921914543267,0,0,151,2,0,107,58.07692307692308,0.7692307692307693,0.0,41.15384615384615,45.38004751636289,0.0322530768104255,0,tle-elevation-dynamic-rf-energy,25,188.74183308892847,10,295,0.9647082643373488
LEO-DRL-inspired,2467.408406339474,139685.53331242676,10278.358322838263,149963.89163526503,155,141896346105.7374,7677574262.962087,94.58930798877586,1.3970378431980937,1135.9731927548742,0,0,140,4,11,105,53.84615384615385,1.5384615384615383,4.230769230769231,40.38461538461539,36.10836473509909,0.0470219240434324,0,tle-elevation-dynamic-rf-energy,25,188.74183308892847,10,295,0.9570669244775633
Heuristic-TVD,2578.0939067415425,147779.55780069332,2185.9509523115576,149965.5087530049,164,141896346105.7374,1650439309.9612489,98.83686976073972,1.2231146221108853,1102.522027705746,0,0,152,9,3,96,58.46153846153846,3.4615384615384617,1.1538461538461535,36.92307692307692,34.49124699510867,0.0155761535727204,0,tle-elevation-dynamic-rf-energy,25,188.74183308892847,10,295,1.0
Deadline-Energy,2863.9596899831704,52121.96994901332,97853.84786996002,149975.81781897333,198,138183152908.2682,73213201348.34262,47.01727395311016,46.0959730545322,1020.0526664839722,0,79,55,2,141,62,21.15384615384616,0.7692307692307693,54.23076923076923,23.846153846153847,24.18218102679509,0.0135534625419845,1,tle-elevation-dynamic-rf-energy,25,188.74183308892847,10,295,1.0
Energy-WSRPT,2853.9292861085114,146784.69755679992,3194.882416224425,149979.57997302437,181,138183152908.2682,2380483499.9469047,98.27729831759795,1.0031271825265018,1079.629434788572,0,80,161,16,4,79,61.92307692307692,6.153846153846154,1.5384615384615383,30.384615384615383,20.42002697559417,0.0161488467711024,1,tle-elevation-dynamic-rf-energy,25,188.74183308892847,10,295,0.9964977147165373
ActiveInf-inspired,2720.58807226576,149966.6011849066,27.13908066813318,149993.74026557474,162,138183152908.2682,20479108.207651395,99.98517973589642,1.1894509169151812,1209.5554866509997,0,0,161,1,0,98,61.92307692307692,0.3846153846153846,0.0,37.69230769230769,6.259734425174429,0.0318226923879522,1,tle-elevation-dynamic-rf-energy,25,188.74183308892847,10,295,0.9499393730230004
LEO-DRL-inspired,2837.892957807092,139120.69492170666,10875.237362315504,149995.93228402216,171,138183152908.2682,8160144851.136714,94.09468905623122,1.2231146221108853,1155.3407512069348,0,0,153,0,18,89,58.84615384615385,0.0,6.923076923076923,34.23076923076923,4.06771597785928,0.0494057684241292,1,tle-elevation-dynamic-rf-energy,25,188.74183308892847,10,295,0.9908983592655832
Heuristic-TVD,2823.716818250111,147815.87612255992,2175.2665580082767,149991.14268056818,175,138183152908.2682,1643065259.7563832,98.81095109991656,1.167008446784712,1116.6538854091802,0,0,161,8,6,85,61.92307692307692,3.076923076923077,2.3076923076923075,32.69230769230769,8.857319431696148,0.0164634599619043,1,tle-elevation-dynamic-rf-energy,25,188.74183308892847,10,295,0.9859485201995648
