policy,total_value,energy_j,useful_tasks,j_per_task,raw_bits,transmitted_bits,bw_saving,median_latency_min,p95_latency_min,oom_count,energy_violation_count,on_count,pre_count,down_count,drop_count,on_pct,pre_pct,down_pct,drop_pct,residual_energy_j,min_energy_j,energy_overrun_j,mean_decision_ms,lambda_energy_final,lambda_bandwidth_final,lambda_energy_mean,lambda_bandwidth_mean,seed,horizon_h,task_count,allow_pre,contact_model,training_seed_count,training_q_states,normalized_value,robustness_variant
Deadline-Energy,3747.037656026518,58049.70900277334,260,223.26811154912824,141896346105.7374,105779966974.30736,25.452649150329123,15.415767963420148,71.4423141796664,0,0,65,0,195,0,25.0,0.0,75.0,0.0,91950.2909972267,91950.2909972267,0.0,0.0094884617003397,,,,,0,24,260,0,fixed-window,10,283,0.9651114118825784,no-pre
Energy-WSRPT,3416.572951720937,149979.35837264013,254,590.4699148529139,141896346105.7374,37373304106.81187,73.66154581671731,1.0218073941260324,736.9298172144859,0,0,156,17,87,0,60.0,6.538461538461538,33.46153846153846,0.0,20.641627360083703,20.641627360083703,0.0,0.0125630771015914,,,,,0,24,260,0,fixed-window,10,283,0.8799947713180618,no-pre
ActiveInf-inspired,3421.80832607899,149948.95533034668,254,590.3502178360105,141896346105.7374,45964940281.98785,67.60667801288133,1.1894509169151812,736.9298172144859,0,0,152,0,108,0,58.46153846153846,0.0,41.53846153846154,0.0,51.04466965333791,51.04466965333791,0.0,0.0269046156273151,,,,,0,24,260,0,fixed-window,10,283,0.8813432284199828,no-pre
LEO-DRL-inspired,3558.447019761486,149842.4962700801,254,589.9310876774807,141896346105.7374,48102695179.10066,66.1001170930393,1.1894509169151812,736.9298172144859,0,0,153,0,107,0,58.84615384615385,0.0,41.15384615384615,0.0,157.50372992000302,157.50372992000302,0.0,0.0508023083407002,,,,,0,24,260,0,fixed-window,10,283,0.9165367798820584,no-pre
Heuristic-TVD,3882.4923318618953,149952.72988789337,255,588.0499211289936,141896346105.7374,42621549426.45103,69.96289855505471,1.0218073941260324,76.23202046570702,0,0,168,0,92,0,64.61538461538461,0.0,35.38461538461539,0.0,47.27011210666029,47.27011210666029,0.0,0.0101492307014548,,,,,0,24,260,0,fixed-window,10,283,1.0,no-pre
Deadline-Energy,3857.038359997837,69168.98741205335,260,266.034566969436,138183152908.2682,97623791629.69405,29.35188583046674,10.28411112853179,72.25500075728323,0,0,72,0,188,0,27.692307692307693,0.0,72.3076923076923,0.0,80831.01258794659,80831.01258794659,0.0,0.0095111537330712,,,,,1,24,260,0,fixed-window,10,283,0.9762447363577478,no-pre
Energy-WSRPT,3545.68728302179,149958.24434954658,257,583.4951142005704,138183152908.2682,35534348773.2781,74.28460125174065,0.7956735252066817,111.78914483510076,0,0,161,22,77,0,61.92307692307692,8.461538461538462,29.615384615384617,0.0,41.75565045332473,41.75565045332473,0.0,0.0119003845611587,,,,,1,24,260,0,fixed-window,10,283,0.897439492103617,no-pre
ActiveInf-inspired,3631.2729708214993,149948.73988490662,257,583.4581318478857,138183152908.2682,43288467486.07565,68.67312217516678,1.1121057625823898,111.78914483510076,0,0,161,0,99,0,61.92307692307692,0.0,38.07692307692308,0.0,51.2601150933076,51.2601150933076,0.0,0.0268730754704357,,,,,1,24,260,0,fixed-window,10,283,0.9191018582570276,no-pre
LEO-DRL-inspired,3705.3140581781527,149983.43954794665,257,583.5931499920104,138183152908.2682,44363978494.57557,67.89479935804746,1.1445659766542424,111.78914483510076,0,0,160,0,100,0,61.53846153846154,0.0,38.46153846153846,0.0,16.560452053315657,16.560452053315657,0.0,0.05740923191367,,,,,1,24,260,0,fixed-window,10,283,0.9378422012507068,no-pre
Heuristic-TVD,3950.892861546158,149571.7581421866,258,579.7354966751418,138183152908.2682,39288217251.275154,71.56801214591164,0.9832486245364028,79.30292719235098,0,0,169,0,91,0,65.0,0.0,35.0,0.0,428.24185781330334,428.24185781330334,0.0,0.0101411547243165,,,,,1,24,260,0,fixed-window,10,283,1.0,no-pre
Deadline-Energy,3772.396708012707,71163.84858981332,260,273.70710996082045,143551818802.25815,100349432288.78314,30.09532507072311,12.860969370166428,71.43436513271442,0,0,71,1,188,0,27.307692307692307,0.3846153846153846,72.3076923076923,0.0,78836.15141018668,78836.15141018668,0.0,0.0096280762451127,,,,,2,24,260,0,fixed-window,10,283,0.9842870551834726,no-pre
Energy-WSRPT,3321.5130395923347,149908.74235413317,253,592.5246733364947,143551818802.25815,37769024481.34253,73.68962316432288,0.721079132218559,754.0107986472566,0,0,156,26,78,0,60.0,10.0,30.0,0.0,91.25764586669428,91.25764586669428,0.0,0.0121176922290872,,,,,2,24,260,0,fixed-window,10,283,0.866643288482806,no-pre
ActiveInf-inspired,3503.876401087591,149988.82686965325,253,592.8412129235306,143551818802.25815,46598836653.9086,67.53866510176493,1.0218073941260324,754.0107986472566,0,0,159,0,101,0,61.15384615384615,0.0,38.84615384615385,0.0,11.17313034669212,11.17313034669212,0.0,0.0272634628345258,,,,,2,24,260,0,fixed-window,10,283,0.914225213172292,no-pre
LEO-DRL-inspired,3650.139754763961,149859.33771402662,253,592.3293980791566,143551818802.25815,44387986069.44715,69.07877138736127,0.9832486245364028,754.0107986472566,0,0,165,0,95,0,63.46153846153846,0.0,36.53846153846154,0.0,140.66228597334646,140.66228597334646,0.0,0.052579230396077,,,,,2,24,260,0,fixed-window,10,283,0.9523879878787764,no-pre
Heuristic-TVD,3832.618429904604,149875.4171290666,254,590.0606973585299,143551818802.25815,42153956555.43225,70.63502440641376,0.7668729075820011,111.32618025258743,0,0,167,0,93,0,64.23076923076923,0.0,35.76923076923077,0.0,124.58287093335002,124.58287093335002,0.0,0.0102276916060453,,,,,2,24,260,0,fixed-window,10,283,1.0,no-pre
Deadline-Energy,3844.9481927810575,71697.5270752,260,275.75971952000003,145714942829.99643,109056964346.36604,25.15732276435008,15.42668608128982,77.05464053457004,0,0,73,0,187,0,28.07692307692308,0.0,71.92307692307692,0.0,78302.47292479995,78302.47292479995,0.0,0.0106980776763521,,,,,3,24,260,0,fixed-window,10,283,0.9646914194077068,no-pre
Energy-WSRPT,3623.277603213673,149949.53697776,255,588.0373999127843,145714942829.99643,39833274930.7004,72.66356204993106,0.9823328932730268,77.65385075632592,0,0,159,19,82,0,61.15384615384615,7.3076923076923075,31.53846153846154,0.0,50.463022240007376,50.463022240007376,0.0,0.0122042315734478,,,,,3,24,260,0,fixed-window,10,283,0.909074619136588,no-pre
ActiveInf-inspired,3675.794092615589,149676.17291999998,255,586.965384,145714942829.99643,53119402792.70478,63.54567228243816,1.1445659766542424,78.84356683183506,0,0,158,0,102,0,60.76923076923077,0.0,39.23076923076923,0.0,323.82708000001776,323.82708000001776,0.0,0.0265149994027944,,,,,3,24,260,0,fixed-window,10,283,0.9222509232539134,no-pre
LEO-DRL-inspired,3733.148221129786,149984.66605386665,255,588.1751609955555,145714942829.99643,53594204678.18169,63.21982932065568,1.079645548510598,76.9653606780634,0,0,159,0,101,0,61.15384615384615,0.0,38.84615384615385,0.0,15.333946133347808,15.333946133347808,0.0,0.0538788466096425,,,,,3,24,260,0,fixed-window,10,283,0.9366409833720534,no-pre
Heuristic-TVD,3985.6767826770415,149921.3306329599,257,583.3514810621008,145714942829.99643,48351527943.053314,66.81772850196677,1.0025280093312177,67.95993451600984,0,0,165,0,95,0,63.46153846153846,0.0,36.53846153846154,0.0,78.66936704002819,78.66936704002819,0.0,0.0100865403790241,,,,,3,24,260,0,fixed-window,10,283,1.0,no-pre
Deadline-Energy,3856.879439805607,72710.54138586667,260,279.6559284071795,143751290598.0329,96634432667.29465,32.77665037630138,11.325929860212394,73.14807775617477,0,0,79,1,180,0,30.384615384615383,0.3846153846153846,69.23076923076923,0.0,77289.45861413333,77289.45861413333,0.0,0.0101930776369184,,,,,4,24,260,0,fixed-window,10,283,0.976602024845582,no-pre
Energy-WSRPT,3385.3319243306705,149904.75896778662,259,578.7828531574773,143751290598.0329,45158969510.27501,68.5853467315632,1.1445659766542424,726.9090733329451,0,0,153,12,95,0,58.84615384615385,4.615384615384615,36.53846153846154,0.0,95.24103221335204,95.24103221335204,0.0,0.0119430770819935,,,,,4,24,260,0,fixed-window,10,283,0.8572012850477788,no-pre
ActiveInf-inspired,3443.5041022722658,149651.71670047997,259,577.8058559864091,143751290598.0329,49692979596.54487,65.43128107593847,1.2567783273066502,726.9090733329451,0,0,153,0,107,0,58.84615384615385,0.0,41.15384615384615,0.0,348.283299520042,348.283299520042,0.0,0.025141925121156,,,,,4,24,260,0,fixed-window,10,283,0.8719310860835879,no-pre
LEO-DRL-inspired,3577.0607835361407,149869.21706005326,259,578.6456257144913,143751290598.0329,45267529603.05627,68.5098273450383,1.167008446784708,726.9090733329451,0,0,157,0,103,0,60.38461538461539,0.0,39.61538461538461,0.0,130.7829399467143,130.7829399467143,0.0,0.0507765374585198,,,,,4,24,260,0,fixed-window,10,283,0.9057490281244546,no-pre
Heuristic-TVD,3949.284705215973,149888.1055233066,259,578.718554144041,143751290598.0329,39489818184.92574,72.52906876825902,1.0777419947470055,722.8285196627825,0,0,167,0,93,0,64.23076923076923,0.0,35.76923076923077,0.0,111.89447669336346,111.89447669336346,0.0,0.0111384616152813,,,,,4,24,260,0,fixed-window,10,283,1.0,no-pre
Deadline-Energy,3736.392823105972,55724.94501317332,260,214.3267115891281,145966253614.7567,115042162606.88376,21.185781125471483,16.026909080403055,71.36271956499577,0,0,59,1,200,0,22.692307692307693,0.3846153846153846,76.92307692307692,0.0,94275.05498682668,94275.05498682668,0.0,0.0100169234568826,,,,,5,24,260,0,fixed-window,10,283,0.948997807285672,no-pre
