policy,total_value,energy_j,useful_tasks,j_per_task,raw_bits,transmitted_bits,bw_saving,median_latency_min,p95_latency_min,oom_count,energy_violation_count,on_count,pre_count,down_count,drop_count,on_pct,pre_pct,down_pct,drop_pct,residual_energy_j,min_energy_j,energy_overrun_j,mean_decision_ms,lambda_energy_final,lambda_bandwidth_final,lambda_energy_mean,lambda_bandwidth_mean,seed,horizon_h,task_count,allow_pre,contact_model,training_seed_count,training_q_states,normalized_value
Deadline-Energy,902.114469560213,22313.25393488,60,371.8875655813333,32169295884.08002,20027122339.79761,37.74460463180775,3.224687690822991,68.44645567782933,0,0,21,1,38,0,35.0,1.6666666666666667,63.333333333333336,0.0,127686.74606512,127686.74606512,0.0,0.0076399989969407,,,,,0,6.0,60,1,fixed-window,10,115,0.8815068504374836
Energy-WSRPT,937.4859431176808,56475.60625722665,60,941.2601042871108,32169295884.08002,2308414179.1820965,92.82416939587264,0.6436701270292664,1.397037843198086,0,0,50,9,1,0,83.33333333333333,15.0,1.6666666666666667,0.0,93524.39374277338,93524.39374277338,0.0,0.0105433350351328,,,,,0,6.0,60,1,fixed-window,10,115,0.9160703091814462
ActiveInf-inspired,1023.3777186331588,69692.79796544,60,1161.546632757333,32169295884.08002,0.0,100.0,0.7830388986586665,1.397037843198086,0,0,60,0,0,0,100.0,0.0,0.0,0.0,80307.20203456003,80307.20203456003,0.0,0.0273133322480134,,,,,0,6.0,60,1,fixed-window,10,115,1.0
LEO-DRL-inspired,1010.0471541597188,67632.61007167998,60,1127.210167861333,32169295884.08002,930345414.337275,97.10797084993804,0.7830388986586665,1.3970378431980868,0,0,59,0,1,0,98.33333333333331,0.0,1.6666666666666667,0.0,82367.38992832003,82367.38992832003,0.0,0.0522266661088603,,,,,0,6.0,60,1,fixed-window,10,115,0.9869739547473786
Heuristic-TVD,1023.3777186331588,69692.79796544,60,1161.546632757333,32169295884.08002,0.0,100.0,0.7830388986586665,1.397037843198086,0,0,60,0,0,0,100.0,0.0,0.0,0.0,80307.20203456003,80307.20203456003,0.0,0.0118650006091532,,,,,0,6.0,60,1,fixed-window,10,115,1.0
Deadline-Energy,910.253328631656,18835.40012256,60,313.923335376,30279376129.08423,19207000044.745403,36.56738513084318,5.429031863453156,56.675459668699375,0,0,21,0,39,0,35.0,0.0,65.0,0.0,131164.59987744002,131164.59987744002,0.0,0.0077950001771872,,,,,1,6.0,60,1,fixed-window,10,115,0.9038611899035004
Energy-WSRPT,949.0297423785814,52352.57846170666,60,872.5429743617776,30279376129.08423,526345400.5213668,98.26170328517505,0.6502542858624414,1.283420927217744,0,0,55,5,0,0,91.66666666666669,8.333333333333334,0.0,0.0,97647.4215382934,97647.4215382934,0.0,0.0104333322572832,,,,,1,6.0,60,1,fixed-window,10,115,0.9423653011954344
ActiveInf-inspired,1007.0720358386424,56840.8831168,60,947.3480519466668,30279376129.08423,0.0,100.0,0.7175219706068068,1.283420927217744,0,0,60,0,0,0,100.0,0.0,0.0,0.0,93159.11688320004,93159.11688320004,0.0,0.027689998387359,,,,,1,6.0,60,1,fixed-window,10,115,1.0
LEO-DRL-inspired,1007.0720358386424,56840.8831168,60,947.3480519466668,30279376129.08423,0.0,100.0,0.7175219706068068,1.283420927217744,0,0,60,0,0,0,100.0,0.0,0.0,0.0,93159.11688320004,93159.11688320004,0.0,0.0528149990714155,,,,,1,6.0,60,1,fixed-window,10,115,1.0
Heuristic-TVD,1007.0720358386424,56840.8831168,60,947.3480519466668,30279376129.08423,0.0,100.0,0.7175219706068068,1.283420927217744,0,0,60,0,0,0,100.0,0.0,0.0,0.0,93159.11688320004,93159.11688320004,0.0,0.0113883356486136,,,,,1,6.0,60,1,fixed-window,10,115,1.0
