policy,total_value,energy_j,useful_tasks,j_per_task,raw_bits,transmitted_bits,bw_saving,median_latency_min,p95_latency_min,oom_count,energy_violation_count,on_count,pre_count,down_count,drop_count,on_pct,pre_pct,down_pct,drop_pct,residual_energy_j,min_energy_j,energy_overrun_j,mean_decision_ms,lambda_energy_final,lambda_bandwidth_final,lambda_energy_mean,lambda_bandwidth_mean,seed,contact_model,window_count,capacity_gbit,normalized_value
All-Downlink,2608.328853807614,0.0,254,0.0,141896346105.7374,127474006832.71404,10.163996233050444,35.479692026056966,736.9298172144859,0,0,0,0,260,0,0.0,0.0,100.0,0.0,150000.0,150000.0,0.0,0.0002869235826298021,,,,,0,fixed-window,16,296.4693387431484,0.6718181597944738
All-On-Board,2495.4586920317124,149948.95533034668,152,986.5062850680703,141896346105.7374,0.0,100.0,1.2723023214839486,1149.2038027363044,0,108,152,0,0,108,58.46153846153846,0.0,0.0,41.53846153846154,51.044669653337905,51.044669653337905,0.0,0.00032269219026112784,,,,,0,fixed-window,16,296.4693387431484,0.6427465861432843
Fixed-Threshold,3070.2737789215994,94471.08069536008,257,367.5917536784439,141896346105.7374,49934240241.08709,64.80935442560487,8.822536083118454,76.86289261501675,0,0,102,94,64,0,39.23076923076923,36.15384615384615,24.615384615384617,0.0,55528.919304639734,55528.919304639734,0.0,0.0010388456687975961,,,,,0,fixed-window,16,296.4693387431484,0.7907997019659826
Deadline-Energy,3747.037656026518,58049.70900277334,260,223.26811154912824,141896346105.7374,105779966974.30736,25.452649150329123,15.415767963420148,71.4423141796664,0,0,65,0,195,0,25.0,0.0,75.0,0.0,91950.2909972267,91950.2909972267,0.0,0.009094614786310838,,,,,0,fixed-window,16,296.4693387431484,0.9651114118825784
Priority-Aware,3617.477246642703,71807.82541055996,259,277.2502911604632,141896346105.7374,89315751073.92041,37.05563707231426,20.631380747971463,110.33912208829416,0,0,78,12,170,0,30.0,4.615384615384615,65.38461538461539,0.0,78192.17458944001,78192.17458944001,0.0,0.0012792300997087015,,,,,0,fixed-window,16,296.4693387431484,0.9317409894040664
Heuristic-TVD,3882.4923318618953,149952.72988789337,255,588.0499211289936,141896346105.7374,42621549426.45103,69.96289855505471,1.0218073941260324,76.23202046570702,0,0,168,0,92,0,64.61538461538461,0.0,35.38461538461539,0.0,47.27011210666029,47.27011210666029,0.0,0.014147308068529058,,,,,0,fixed-window,16,296.4693387431484,1.0
All-Downlink,2214.3162450861596,0.0,254,0.0,141896346105.7374,132500946904.88548,6.621311583210687,50.475419917613664,188.37091740533216,0,0,0,0,260,0,0.0,0.0,100.0,0.0,150000.0,150000.0,0.0,0.000272691473723031,,,,,0,tle-derived,25,188.74183308892847,0.5707261947613453
All-On-Board,2495.4586920317124,149948.95533034668,152,986.5062850680703,141896346105.7374,0.0,100.0,1.2723023214839486,1149.2038027363044,0,108,152,0,0,108,58.46153846153846,0.0,0.0,41.53846153846154,51.044669653337905,51.044669653337905,0.0,0.0009446149656119255,,,,,0,tle-derived,25,188.74183308892847,0.6431889061230124
Fixed-Threshold,3073.3527940692443,94471.08069536008,259,364.7532073179926,141896346105.7374,54679942310.149025,61.464869384724686,9.100794250704425,88.42341530134239,0,0,102,94,64,0,39.23076923076923,36.15384615384615,24.615384615384617,0.0,55528.919304639734,55528.919304639734,0.0,0.0009915380640170323,,,,,0,tle-derived,25,188.74183308892847,0.7921375048440915
Deadline-Energy,3706.5070528813435,74242.05993642665,260,285.54638437087175,141896346105.7374,102687834277.71008,27.631798072383184,18.2938328705658,101.39133485483057,0,0,76,0,184,0,29.23076923076923,0.0,70.76923076923077,0.0,75757.94006357338,75757.94006357338,0.0,0.01109192358294072,,,,,0,tle-derived,25,188.74183308892847,0.9553290641485345
Priority-Aware,3606.4593692838816,71807.82541055996,260,276.1839438867691,141896346105.7374,96378605730.14479,32.078162422641945,21.524466512367752,115.05619857810778,0,0,78,12,170,0,30.0,4.615384615384615,65.38461538461539,0.0,78192.17458944001,78192.17458944001,0.0,0.0013207702207952165,,,,,0,tle-derived,25,188.74183308892847,0.9295423980022791
Heuristic-TVD,3879.822348108794,149831.9900123734,257,583.0038521882234,141896346105.7374,47171833455.71634,66.75613238091054,1.0451746570634592,69.79858179948845,0,0,166,0,94,0,63.84615384615385,0.0,36.15384615384615,0.0,168.00998762664744,168.00998762664744,0.0,0.014519614566010065,,,,,0,tle-derived,25,188.74183308892847,1.0
All-Downlink,2566.3119925629917,0.0,257,0.0,138183152908.2682,131685291155.26335,4.702354531828057,39.57007844914237,111.89255143557872,0,0,0,0,260,0,0.0,0.0,100.0,0.0,150000.0,150000.0,0.0,0.0002742297231004788,,,,,1,fixed-window,16,296.4693387431484,0.6495524132129163
All-On-Board,2718.6959638506332,149948.73988490662,161,931.358632825507,138183152908.2682,0.0,100.0,1.1894509169151812,1209.5554866509997,0,99,161,0,0,99,61.92307692307692,0.0,0.0,38.07692307692308,51.260115093307604,51.260115093307604,0.0,0.00033538425878549996,,,,,1,fixed-window,16,296.4693387431484,0.6881219155071413
Fixed-Threshold,3067.7537128503677,98632.12012848012,259,380.8189966350584,138183152908.2682,43894861169.01148,68.23428888024378,4.033877747579391,79.0500106006302,0,0,106,97,57,0,40.76923076923077,37.30769230769231,21.923076923076923,0.0,51367.879871519785,51367.879871519785,0.0,0.0009549986526298409,,,,,1,fixed-window,16,296.4693387431484,0.7764709953814897
Deadline-Energy,3857.038359997837,69168.98741205335,260,266.03456696943596,138183152908.2682,97623791629.69403,29.35188583046674,10.28411112853179,72.25500075728323,0,0,72,0,188,0,27.692307692307693,0.0,72.3076923076923,0.0,80831.01258794659,80831.01258794659,0.0,0.009268846882220644,,,,,1,fixed-window,16,296.4693387431484,0.9762447363577478
Priority-Aware,3730.4177721467545,81370.69273706671,260,312.96420283487197,138183152908.2682,83081342987.12921,39.87592464163695,12.934506397489773,79.30292719235098,0,0,87,10,163,0,33.46153846153846,3.8461538461538463,62.69230769230769,0.0,68629.3072629333,68629.3072629333,0.0,0.0012519245501607656,,,,,1,fixed-window,16,296.4693387431484,0.9441961356266385
Heuristic-TVD,3950.892861546158,149571.7581421866,258,579.7354966751418,138183152908.2682,39288217251.275154,71.56801214591164,0.9832486245364028,79.30292719235098,0,0,169,0,91,0,65.0,0.0,35.0,0.0,428.24185781330334,428.24185781330334,0.0,0.013606923256212702,,,,,1,fixed-window,16,296.4693387431484,1.0
All-Downlink,2114.2404399998936,0.0,259,0.0,138183152908.2682,136132237873.40103,1.4842004916682194,65.68862684184205,152.29521110913896,0,0,0,0,260,0,0.0,0.0,100.0,0.0,150000.0,150000.0,0.0,0.00027076916572136374,,,,,1,tle-derived,25,188.74183308892847,0.5266259554390758
All-On-Board,2718.6959638506332,149948.73988490662,161,931.358632825507,138183152908.2682,0.0,100.0,1.1894509169151812,1209.5554866509997,0,99,161,0,0,99,61.92307692307692,0.0,0.0,38.07692307692308,51.260115093307604,51.260115093307604,0.0,0.0005473078300173467,,,,,1,tle-derived,25,188.74183308892847,0.6771868669351868
Fixed-Threshold,3133.0480913104884,98632.12012848012,259,380.8189966350584,138183152908.2682,45908600727.91635,66.77699143368626,3.157587160853457,82.07225679222445,0,0,106,97,57,0,40.76923076923077,37.30769230769231,21.923076923076923,0.0,51367.879871519785,51367.879871519785,0.0,0.0009688470387258208,,,,,1,tle-derived,25,188.74183308892847,0.7803958401831731
Deadline-Energy,3737.4096626199844,66273.10336853331,260,254.8965514174358,138183152908.2682,98798174225.01123,28.502011898224932,15.770853533796041,92.39834126759361,0,0,72,2,186,0,27.692307692307693,0.7692307692307693,71.53846153846153,0.0,83726.89663146666,83726.89663146666,0.0,0.00992653781745153,,,,,1,tle-derived,25,188.74183308892847,0.9309333494938646
Priority-Aware,3691.8476998467545,81370.69273706671,260,312.96420283487197,138183152908.2682,86719497139.69693,37.24307535719279,21.31689103210483,111.04509163474525,0,0,87,10,163,0,33.46153846153846,3.8461538461538463,62.69230769230769,0.0,68629.3072629333,68629.3072629333,0.0,0.0012988464172499685,,,,,1,tle-derived,25,188.74183308892847,0.9195845399057115
Heuristic-TVD,4014.6909170801127,149619.30930117326,259,577.6807308925609,138183152908.2682,44338677668.42206,67.91310898959155,0.9880170542284759,70.35701400159182,0,0,170,1,89,0,65.38461538461539,0.38461538461538464,34.23076923076923,0.0,380.69069882662734,380.69069882662734,0.0,0.013969231692429345,,,,,1,tle-derived,25,188.74183308892847,1.0
All-Downlink,2556.686277673104,0.0,253,0.0,143551818802.25815,133655118349.42921,6.894165838791344,37.746426882901076,754.0107986472566,0,0,0,0,260,0,0.0,0.0,100.0,0.0,150000.0,150000.0,0.0,0.00030923155673707905,,,,,2,fixed-window,16,296.4693387431484,0.6670860468979014
